600021 上海电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/10/29	3.11	3.29	2.92	3.21	138166412	1178839680.00
2003/10/30	3.21	3.27	3.13	3.25	43666782	378356832.00
2003/10/31	3.23	3.54	3.18	3.26	66070811	587398208.00
2003/11/03	3.26	3.40	3.24	3.37	32493916	287982656.00
2003/11/04	3.38	3.64	3.33	3.42	50659907	460677664.00
2003/11/05	3.40	3.53	3.39	3.49	23714776	215118416.00
2003/11/06	3.49	3.52	3.38	3.45	23644986	213959632.00
2003/11/07	3.43	3.50	3.23	3.30	27530480	244479744.00
2003/11/10	3.29	3.37	3.21	3.37	12243788	107677392.00
2003/11/11	3.36	3.51	3.34	3.49	17953796	162128864.00
2003/11/12	3.47	3.47	3.31	3.35	14036219	125382784.00
2003/11/13	3.34	3.43	3.30	3.36	10123852	90400352.00
2003/11/14	3.37	3.53	3.35	3.46	21646201	196260032.00
2003/11/17	3.47	3.50	3.30	3.42	19250827	172732720.00
2003/11/18	3.40	3.40	3.22	3.25	16247610	142559184.00
2003/11/19	3.22	3.36	3.21	3.26	10048050	88421768.00
2003/11/20	3.26	3.44	3.21	3.40	17124363	152084080.00
2003/11/21	3.42	3.57	3.32	3.35	21026618	190364896.00
2003/11/24	3.34	3.53	3.30	3.50	16913881	152941584.00
2003/11/25	3.53	3.56	3.43	3.46	23129823	210943488.00
2003/11/26	3.47	3.73	3.46	3.61	32650966	305054816.00
2003/11/27	3.61	3.66	3.49	3.50	13932779	128332776.00
2003/11/28	3.50	3.65	3.50	3.55	12473144	115484400.00
2003/12/01	3.57	3.71	3.57	3.67	18051111	169066576.00
2003/12/02	3.72	3.76	3.66	3.67	16060865	151579776.00
2003/12/03	3.67	4.17	3.63	3.84	35103345	339477472.00
2003/12/04	3.83	3.88	3.78	3.83	20341447	196354704.00
2003/12/05	3.83	3.87	3.73	3.81	10247816	98164368.00
2003/12/08	3.83	3.95	3.77	3.80	9847081	95330352.00
2003/12/09	3.79	3.88	3.78	3.85	8275948	79736680.00
2003/12/10	3.86	3.97	3.84	3.92	16545789	161601664.00
