600023 浙能电力 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2013/12/19	5.08	5.77	4.98	5.38	277465911	2439180544.00
2013/12/20	4.70	4.83	4.69	4.69	33114584	265410800.00
2013/12/23	4.08	4.56	4.08	4.24	151465265	1115784576.00
2013/12/24	4.15	4.38	4.02	4.34	120782281	888552192.00
2013/12/25	4.22	4.36	4.15	4.19	84249835	621184000.00
2013/12/26	4.12	4.30	4.02	4.09	70219364	511828960.00
2013/12/27	4.04	4.26	4.02	4.15	66838696	487258464.00
2013/12/30	4.17	4.20	3.84	3.87	85897675	610047808.00
2013/12/31	3.78	3.84	3.66	3.75	61696743	417556704.00
2014/01/02	3.74	3.85	3.73	3.79	44545195	303900512.00
2014/01/03	3.76	3.79	3.58	3.72	60690350	404486080.00
2014/01/06	3.69	3.90	3.67	3.75	56959661	388626464.00
2014/01/07	3.72	3.75	3.61	3.68	31335026	208980864.00
2014/01/08	3.66	3.86	3.64	3.73	46937432	318113664.00
2014/01/09	3.68	3.75	3.53	3.57	43098091	286285056.00
2014/01/10	3.54	3.61	3.42	3.47	39336363	253386480.00
2014/01/13	3.48	3.52	3.22	3.25	42398794	264653376.00
2014/01/14	3.23	3.29	3.17	3.27	33816201	206293888.00
2014/01/15	3.28	3.28	3.17	3.20	29126895	176566112.00
2014/01/16	3.21	3.67	3.19	3.52	93288084	602315904.00
2014/01/17	3.42	3.48	3.25	3.28	52563516	328968992.00
2014/01/20	3.23	3.35	3.21	3.27	23158026	142312320.00
2014/01/21	3.25	3.46	3.25	3.36	36766176	229930176.00
2014/01/22	3.32	3.52	3.30	3.47	47070950	299584704.00
2014/01/23	3.45	3.45	3.35	3.38	37107905	233897296.00
2014/01/24	3.37	3.50	3.35	3.45	40057669	254663760.00
2014/01/27	3.40	3.42	3.26	3.28	35813151	222293808.00
2014/01/28	3.35	3.60	3.31	3.45	59511011	381004000.00
2014/01/29	3.42	3.47	3.35	3.40	33505642	210961072.00
2014/01/30	3.38	3.38	3.28	3.32	17136556	106500128.00
2014/02/07	3.28	3.32	3.21	3.32	17430811	107062464.00
