600025 华能水电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/12/15	2.22	2.74	2.22	2.74	3242494	10068969.00
2017/12/18	3.05	3.05	3.05	3.05	1923883	6598919.00
2017/12/19	3.39	3.39	3.39	3.39	2368529	8929354.00
2017/12/20	3.77	3.77	3.77	3.77	3927349	16298498.00
2017/12/21	4.19	4.19	3.90	4.19	754467875	3381054976.00
2017/12/22	4.22	4.65	4.19	4.65	404553755	1933577600.00
2017/12/25	5.09	5.15	4.63	4.67	891008394	4711083008.00
2017/12/26	4.76	5.18	4.63	5.18	601921738	3198402304.00
2017/12/27	5.41	5.74	5.33	5.74	807041052	4833708032.00
2017/12/28	5.73	5.73	5.37	5.50	622355235	3674795520.00
2017/12/29	5.22	5.29	4.91	4.92	578188774	3103801856.00
2018/01/02	4.83	5.11	4.79	4.96	346440422	1847257088.00
2018/01/03	4.87	4.95	4.75	4.89	315443702	1653315072.00
2018/01/04	4.79	5.04	4.64	4.97	525425549	2744447232.00
2018/01/05	4.89	5.01	4.82	4.84	275383490	1453642496.00
2018/01/08	4.75	4.85	4.72	4.80	221018700	1136866816.00
2018/01/09	4.80	4.86	4.72	4.74	188853833	974376000.00
2018/01/10	4.69	4.72	4.53	4.58	268449181	1341450240.00
2018/01/11	4.54	4.71	4.43	4.59	225287606	1119393152.00
2018/01/12	4.58	4.59	4.43	4.44	204350099	994597568.00
2018/01/15	4.38	4.38	4.15	4.19	203351226	941727424.00
2018/01/16	4.16	4.65	4.12	4.65	395792153	1960494336.00
2018/01/17	4.90	5.07	4.72	4.78	548478266	2897082112.00
2018/01/18	4.65	4.80	4.48	4.67	283594868	1415170048.00
2018/01/19	4.60	4.80	4.54	4.62	190817077	964069888.00
2018/01/22	4.57	4.57	4.43	4.51	147959385	722717568.00
2018/01/23	4.46	4.56	4.46	4.54	119723472	583765376.00
2018/01/24	4.57	4.69	4.48	4.55	150490567	746469824.00
2018/01/25	4.51	4.57	4.45	4.49	131454007	641572864.00
2018/01/26	4.45	4.51	4.44	4.45	96941673	468846432.00
2018/01/29	4.48	4.57	4.45	4.49	120648549	587471296.00
2018/01/30	4.55	4.57	4.47	4.53	127520211	625012352.00
2018/01/31	4.48	4.51	4.27	4.33	140008035	665785344.00
2018/02/01	4.35	4.36	4.14	4.19	115500037	532413056.00
2018/02/02	4.18	4.36	3.98	4.24	102610646	470623040.00
2018/02/05	4.12	4.19	4.07	4.14	70714678	319992416.00
2018/02/06	4.04	4.09	3.82	3.83	116290313	506800512.00
2018/02/07	3.92	3.99	3.72	3.87	90435825	384538720.00
2018/02/08	3.83	3.89	3.82	3.86	62267425	263843504.00
2018/02/09	3.75	3.75	3.54	3.58	107172090	430619296.00
2018/02/12	3.63	3.67	3.60	3.65	53352202	214601808.00
2018/02/13	3.67	3.71	3.63	3.64	54858262	222118000.00
2018/02/14	3.65	3.66	3.60	3.62	37176863	148661504.00
2018/02/22	3.65	3.71	3.63	3.69	53306045	216134448.00
2018/02/23	3.69	4.02	3.66	3.85	103408030	437599936.00
2018/02/26	3.83	3.97	3.82	3.93	85781185	367887648.00
2018/02/27	3.91	3.92	3.84	3.86	65424321	278012160.00
2018/02/28	3.82	3.89	3.78	3.85	51545829	217266432.00
2018/03/01	3.81	3.85	3.79	3.83	54134806	227488736.00
2018/03/02	3.79	3.97	3.78	3.86	80396287	341567808.00
2018/03/05	3.85	3.85	3.79	3.81	57848579	242355872.00
2018/03/06	3.81	3.90	3.80	3.88	84638269	357466912.00
2018/03/07	3.85	4.00	3.84	3.90	128849681	554084736.00
2018/03/08	3.85	3.95	3.82	3.89	86648362	369348448.00
2018/03/09	3.87	3.91	3.85	3.90	84949818	362186080.00
2018/03/12	3.91	3.94	3.88	3.90	83792716	358619584.00
2018/03/13	3.89	3.90	3.83	3.85	71851206	304777056.00
2018/03/14	3.83	3.89	3.82	3.82	57301328	241808928.00
