600026 中远海能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/05/23	1.00	1.09	0.85	0.93	268457052	1200805888.00
2002/05/24	0.91	0.94	0.75	0.81	73276139	314760800.00
2002/05/27	0.82	0.86	0.77	0.83	19293068	82806584.00
2002/05/29	0.73	0.78	0.68	0.73	29164830	121789968.00
2002/05/30	0.75	0.85	0.71	0.83	30204444	128953456.00
2002/05/31	0.82	0.84	0.75	0.76	17552794	74806608.00
2002/06/03	0.75	0.81	0.70	0.79	15514549	65537724.00
2002/06/04	0.79	0.83	0.76	0.82	10304385	44052584.00
2002/06/05	0.82	0.82	0.75	0.77	10869904	46236908.00
2002/06/06	0.75	0.94	0.75	0.88	37256285	162771936.00
2002/06/07	0.88	0.98	0.86	0.91	48847597	216885024.00
2002/06/10	0.89	0.93	0.89	0.90	10897491	48005264.00
2002/06/11	0.90	0.99	0.89	0.93	32545068	144828512.00
2002/06/12	0.92	0.94	0.89	0.92	8924727	39388496.00
2002/06/13	0.92	0.95	0.89	0.89	7022717	31026392.00
2002/06/14	0.89	0.89	0.83	0.85	12386400	53837884.00
2002/06/17	0.82	0.87	0.81	0.85	5524200	23868316.00
2002/06/18	0.87	0.96	0.86	0.94	13884800	61475340.00
2002/06/19	0.94	0.94	0.91	0.91	5105200	22586706.00
2002/06/20	0.90	0.98	0.89	0.94	12951900	57837452.00
2002/06/21	0.94	1.09	0.94	1.05	40267400	184000512.00
2002/06/24	1.40	1.40	1.40	1.40	27080800	136758048.00
2002/06/25	1.80	1.80	1.73	1.80	59416000	328961824.00
2002/06/26	1.99	2.23	1.82	2.23	231836100	1376861312.00
2002/06/27	2.20	2.71	2.14	2.71	121169200	773540608.00
2002/06/28	2.92	3.15	2.54	2.75	154945700	1071649152.00
2002/07/01	2.69	3.26	2.58	3.02	91553900	639993728.00
2002/07/02	2.91	3.07	2.85	2.94	51934100	366288800.00
2002/07/03	2.96	3.22	2.94	3.06	45527600	328431264.00
2002/07/04	3.07	3.10	2.90	2.96	43310400	306747584.00
2002/07/05	2.96	3.09	2.84	3.05	43256300	304715328.00
2002/07/08	3.05	3.11	2.98	3.02	25727000	184184848.00
2002/07/09	3.01	3.51	2.92	3.32	85858400	635870080.00
2002/07/10	3.24	3.38	3.18	3.22	56656200	422025120.00
2002/07/11	3.16	3.26	3.04	3.06	40928600	297786272.00
2002/07/12	3.00	3.10	2.85	2.93	44886600	316232768.00
2002/07/15	2.92	3.03	2.88	2.94	24063700	169749216.00
2002/07/16	2.95	3.10	2.89	2.95	24890900	176516864.00
2002/07/17	2.95	3.06	2.94	3.06	18846300	133961160.00
2002/07/18	3.06	3.10	2.96	2.99	21967200	156533264.00
2002/07/19	2.99	3.06	2.96	2.99	11686900	83000080.00
2002/07/22	2.98	2.99	2.54	2.65	39959900	274448704.00
2002/07/23	2.62	2.75	2.60	2.67	25759400	172777392.00
2002/07/24	2.65	2.71	2.53	2.57	22561700	148089680.00
2002/07/25	2.59	2.67	2.54	2.58	16097100	106277272.00
2002/07/26	2.55	2.71	2.54	2.61	18212900	121299800.00
2002/07/29	2.61	2.87	2.58	2.85	28177747	191544352.00
2002/07/30	2.82	2.89	2.76	2.82	20530779	141215984.00
2002/07/31	2.82	2.83	2.64	2.66	17103656	115420000.00
2002/08/01	2.64	2.72	2.58	2.66	11250897	74910528.00
2002/08/02	2.67	2.71	2.62	2.65	6092899	40706124.00
2002/08/05	2.65	2.65	2.58	2.60	7042902	46464832.00
2002/08/06	2.58	3.10	2.58	2.88	48414970	339395264.00
2002/08/07	2.83	2.88	2.77	2.79	14713410	101017080.00
2002/08/08	2.81	2.96	2.81	2.84	13560282	94131560.00
2002/08/09	2.80	2.85	2.78	2.79	7703654	52846876.00
2002/08/12	2.76	2.80	2.70	2.77	6351873	43067936.00
2002/08/13	2.75	2.88	2.74	2.80	6667842	45849424.00
2002/08/14	2.84	2.90	2.80	2.89	10262445	71164288.00
2002/08/15	2.89	2.92	2.77	2.79	6949254	47863408.00
2002/08/16	2.76	2.99	2.65	2.86	20072736	138534288.00
2002/08/19	2.84	2.87	2.80	2.82	4980309	34308928.00
2002/08/20	2.88	2.99	2.85	2.94	20223481	142074832.00
2002/08/21	2.96	3.00	2.86	2.88	15295248	107284640.00
2002/08/22	2.86	2.93	2.78	2.84	20137656	139155632.00
2002/08/23	2.84	2.88	2.81	2.85	6427305	44366780.00
2002/08/26	2.85	2.85	2.73	2.75	14039147	95493960.00
2002/08/27	2.74	2.78	2.67	2.71	11313960	76187552.00
2002/08/28	2.71	2.78	2.68	2.73	5325640	35975464.00
2002/08/29	2.72	2.75	2.69	2.71	3332608	22436388.00
2002/08/30	2.71	2.73	2.68	2.71	3125761	21020328.00
