600027 华电国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2005/02/03	1.38	2.65	1.32	2.01	196781389	790418432.00
2005/02/04	1.66	1.66	1.66	1.66	11143800	45243828.00
2005/02/16	1.35	1.50	1.35	1.43	80917057	302883392.00
2005/02/17	1.38	1.60	1.38	1.53	70754510	274808096.00
2005/02/18	1.50	1.55	1.44	1.48	32158456	123340224.00
2005/02/21	1.48	1.51	1.44	1.50	25183889	96313816.00
2005/02/22	1.50	1.58	1.46	1.55	40941406	159267776.00
2005/02/23	1.55	1.55	1.52	1.54	29335587	114162416.00
2005/02/24	1.53	1.55	1.46	1.52	31030926	119130336.00
2005/02/25	1.55	1.80	1.52	1.72	83486317	340506112.00
2005/02/28	1.69	1.69	1.63	1.68	26485853	107672456.00
2005/03/01	1.68	1.75	1.66	1.71	21489617	88867128.00
2005/03/02	1.71	1.78	1.63	1.65	25325270	104269800.00
2005/03/03	1.65	1.69	1.60	1.68	16215842	65507216.00
2005/03/04	1.68	1.77	1.66	1.68	21803603	90047608.00
2005/03/07	1.68	1.70	1.55	1.58	25103021	99736880.00
2005/03/08	1.58	1.70	1.57	1.69	22510929	90603000.00
2005/03/09	1.71	1.72	1.65	1.67	20646211	84310160.00
2005/03/10	1.66	1.68	1.58	1.60	13313314	53267608.00
2005/03/11	1.59	1.65	1.58	1.59	8800613	35123008.00
2005/03/14	1.58	1.58	1.48	1.53	13836579	53826184.00
2005/03/15	1.54	1.55	1.49	1.52	7405034	28688538.00
2005/03/16	1.52	1.52	1.45	1.45	9272899	35280948.00
2005/03/17	1.45	1.51	1.45	1.46	6413918	24491808.00
2005/03/18	1.46	1.48	1.36	1.39	7458400	27924708.00
2005/03/21	1.38	1.44	1.38	1.42	4439308	16578532.00
2005/03/22	1.42	1.42	1.14	1.17	18381971	64089876.00
2005/03/23	1.08	1.24	0.92	1.15	8453844	28907002.00
2005/03/24	1.15	1.22	1.11	1.22	6323159	21670446.00
2005/03/25	1.22	1.22	1.16	1.17	4585370	15723104.00
2005/03/28	1.17	1.17	1.06	1.11	6072409	20200800.00
2005/03/29	1.08	1.14	1.08	1.09	4539517	15145016.00
2005/03/30	1.08	1.08	0.97	0.98	7116622	22851170.00
2005/03/31	0.95	1.05	0.94	1.04	7402836	23771470.00
2005/04/01	1.04	1.28	0.99	1.18	15651968	52606884.00
2005/04/04	1.15	1.22	1.10	1.14	11367013	38778788.00
2005/04/05	1.12	1.17	1.08	1.09	5797550	19495618.00
2005/04/06	1.10	1.23	1.10	1.20	11613597	39935816.00
2005/04/07	1.22	1.27	1.18	1.19	14434652	50527884.00
2005/04/08	1.17	1.23	1.15	1.22	9245369	31939910.00
2005/04/11	1.21	1.25	1.16	1.18	8222260	28466696.00
2005/04/12	1.19	1.25	1.16	1.17	7668470	26546516.00
2005/04/13	1.23	1.28	1.18	1.23	11163848	39131788.00
2005/04/14	1.23	1.25	1.16	1.17	6654643	23014912.00
2005/04/15	1.16	1.17	1.07	1.08	7736071	25765606.00
2005/04/18	1.08	1.08	1.00	1.04	4554096	14766091.00
2005/04/19	1.04	1.07	1.03	1.05	3736937	12202771.00
2005/04/20	1.06	1.06	1.02	1.02	3130259	10151996.00
2005/04/21	1.02	1.05	0.93	0.98	5980864	19077696.00
2005/04/22	0.98	1.07	0.95	1.06	4807572	15434583.00
