600028 中国石化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/08/08	-0.75	-0.69	-0.93	-0.90	677553200	3015767040.00
2001/08/09	-0.91	-0.90	-0.98	-0.95	156809700	671175296.00
2001/08/10	-0.95	-0.87	-0.96	-0.91	80839200	349732800.00
2001/08/13	-0.92	-0.90	-0.95	-0.93	38012700	163570912.00
2001/08/14	-0.93	-0.90	-0.95	-0.95	28286800	121521160.00
2001/08/15	-0.95	-0.93	-0.96	-0.95	19902600	85130728.00
2001/08/16	-0.95	-0.94	-0.97	-0.97	23650500	100679000.00
2001/08/17	-0.96	-0.91	-0.97	-0.93	30386800	129895760.00
2001/08/20	-0.93	-0.93	-0.96	-0.96	10645000	45411352.00
2001/08/21	-0.95	-0.95	-0.97	-0.97	21154800	89907744.00
2001/08/22	-0.97	-0.96	-1.04	-1.03	78141500	324714656.00
2001/08/23	-1.04	-1.04	-1.10	-1.05	35309400	143967616.00
2001/08/27	-1.08	-1.08	-1.17	-1.14	33867300	134824672.00
2001/08/28	-1.16	-1.11	-1.17	-1.12	26103800	103591256.00
2001/08/29	-1.11	-1.10	-1.13	-1.13	12700500	50647584.00
2001/08/30	-1.13	-1.09	-1.15	-1.10	14503100	57842672.00
2001/08/31	-1.10	-1.10	-1.12	-1.12	5425900	21702000.00
2001/09/03	-1.12	-1.12	-1.16	-1.16	11589700	45782128.00
2001/09/04	-1.16	-1.11	-1.16	-1.13	12026600	47732668.00
2001/09/05	-1.12	-1.11	-1.14	-1.13	8398400	33481830.00
2001/09/06	-1.13	-1.13	-1.15	-1.15	7806600	30859504.00
2001/09/07	-1.15	-1.15	-1.21	-1.21	24770400	96419712.00
2001/09/10	-1.23	-1.10	-1.26	-1.18	19470300	75948528.00
2001/09/11	-1.18	-1.12	-1.20	-1.14	15392500	60395192.00
2001/09/12	-1.12	-0.90	-1.13	-1.03	127953100	527594816.00
2001/09/13	-1.04	-1.04	-1.13	-1.12	30487300	122275344.00
2001/09/14	-1.13	-1.09	-1.17	-1.13	17368500	68711488.00
2001/09/17	-1.13	-1.13	-1.18	-1.18	15349300	60128328.00
2001/09/18	-1.16	-1.13	-1.18	-1.16	6411600	25127796.00
2001/09/19	-1.15	-1.14	-1.18	-1.15	5588300	21932510.00
2001/09/20	-1.14	-1.13	-1.16	-1.15	5577000	22017244.00
2001/09/21	-1.15	-1.14	-1.18	-1.16	7015300	27476060.00
2001/09/24	-1.16	-1.16	-1.18	-1.17	4078500	15947075.00
2001/09/25	-1.16	-1.15	-1.18	-1.16	7242700	28304494.00
2001/09/26	-1.17	-1.17	-1.21	-1.20	10379800	40155936.00
2001/09/27	-1.20	-1.19	-1.21	-1.20	6692000	25834220.00
2001/09/28	-1.20	-1.18	-1.21	-1.18	5709000	22098188.00
2001/10/08	-1.18	-1.14	-1.21	-1.20	5674000	22026946.00
2001/10/09	-1.20	-1.17	-1.20	-1.18	4509500	17493134.00
2001/10/10	-1.18	-1.18	-1.24	-1.23	11281600	43263248.00
2001/10/11	-1.23	-1.21	-1.27	-1.27	12217100	46029960.00
2001/10/12	-1.27	-1.18	-1.33	-1.21	18752700	70684992.00
2001/10/15	-1.22	-1.22	-1.27	-1.25	10330500	38959176.00
2001/10/16	-1.25	-1.24	-1.32	-1.30	12381100	45845364.00
2001/10/17	-1.28	-1.22	-1.30	-1.29	8465900	31687640.00
2001/10/18	-1.28	-1.26	-1.31	-1.30	6554900	24331216.00
2001/10/19	-1.30	-1.24	-1.33	-1.31	15643600	57841968.00
2001/10/22	-1.33	-1.31	-1.37	-1.36	12179800	44100184.00
2001/10/23	-1.21	-1.14	-1.25	-1.14	78028800	305348448.00
2001/10/24	-1.12	-1.08	-1.21	-1.18	53275300	209849056.00
2001/10/25	-1.19	-1.18	-1.24	-1.23	17896600	68701536.00
2001/10/26	-1.24	-1.21	-1.30	-1.22	18577200	69879640.00
2001/10/29	-1.23	-1.20	-1.24	-1.22	6928700	26531276.00
2001/10/30	-1.22	-1.21	-1.26	-1.25	8025600	30391956.00
2001/10/31	-1.25	-1.25	-1.29	-1.26	8823700	32865766.00
2001/11/01	-1.25	-1.22	-1.26	-1.24	7934000	30086854.00
2001/11/02	-1.24	-1.21	-1.26	-1.26	6417300	24338706.00
2001/11/05	-1.27	-1.25	-1.28	-1.25	6039700	22657234.00
2001/11/06	-1.25	-1.25	-1.28	-1.28	6748800	25239916.00
2001/11/07	-1.28	-1.27	-1.33	-1.33	13452500	49516896.00
2001/11/08	-1.42	-1.35	-1.47	-1.36	32251000	113993080.00
2001/11/09	-1.37	-1.35	-1.40	-1.36	8802100	31444190.00
2001/11/12	-1.36	-1.31	-1.38	-1.34	10180300	36901168.00
2001/11/13	-1.36	-1.31	-1.39	-1.33	6736000	24455178.00
2001/11/14	-1.33	-1.32	-1.35	-1.35	3249600	11788681.00
2001/11/15	-1.36	-1.33	-1.36	-1.34	6060000	21929852.00
2001/11/16	-1.25	-1.21	-1.33	-1.32	23614300	87835776.00
2001/11/19	-1.33	-1.30	-1.34	-1.31	6941500	25405136.00
2001/11/20	-1.31	-1.28	-1.33	-1.30	11371800	41963200.00
2001/11/21	-1.30	-1.29	-1.31	-1.31	5547700	20435940.00
2001/11/22	-1.31	-1.30	-1.34	-1.32	9922000	36278704.00
2001/11/23	-1.31	-1.25	-1.31	-1.30	14389200	53479992.00
2001/11/26	-1.31	-1.31	-1.34	-1.32	6332500	23115400.00
2001/11/27	-1.32	-1.31	-1.34	-1.32	5833600	21264256.00
2001/11/28	-1.32	-1.31	-1.32	-1.31	8792600	32244912.00
2001/11/29	-1.31	-1.31	-1.34	-1.33	11861100	43213988.00
2001/11/30	-1.33	-1.32	-1.34	-1.32	11900400	43289176.00
2001/12/03	-1.33	-1.30	-1.33	-1.30	18090400	66326472.00
2001/12/04	-1.31	-1.30	-1.31	-1.30	8385000	30873222.00
2001/12/05	-1.31	-1.28	-1.33	-1.31	21642600	80015176.00
2001/12/06	-1.31	-1.30	-1.35	-1.34	17443600	63515652.00
2001/12/07	-1.34	-1.33	-1.35	-1.34	14641300	53038172.00
2001/12/10	-1.36	-1.34	-1.39	-1.36	50828800	182197840.00
2001/12/11	-1.36	-1.34	-1.38	-1.37	16848300	60327624.00
2001/12/12	-1.37	-1.36	-1.39	-1.38	21710800	77225936.00
2001/12/13	-1.38	-1.37	-1.42	-1.41	26133100	92243712.00
2001/12/14	-1.41	-1.40	-1.42	-1.42	11907900	41722896.00
2001/12/17	-1.42	-1.40	-1.43	-1.43	14387900	50181336.00
2001/12/18	-1.42	-1.42	-1.45	-1.43	23722300	82108728.00
2001/12/19	-1.43	-1.42	-1.43	-1.43	10196700	35473500.00
2001/12/20	-1.43	-1.43	-1.49	-1.48	29038500	99170832.00
2001/12/21	-1.49	-1.47	-1.49	-1.48	13130500	44470256.00
2001/12/24	-1.48	-1.48	-1.55	-1.54	20222800	67083604.00
2001/12/25	-1.54	-1.53	-1.60	-1.54	16960400	55192280.00
2001/12/26	-1.54	-1.48	-1.55	-1.49	22963800	76792144.00
2001/12/27	-1.49	-1.44	-1.49	-1.49	31462400	107823512.00
2001/12/28	-1.49	-1.44	-1.49	-1.45	23955500	81993080.00
2001/12/31	-1.45	-1.42	-1.45	-1.45	16069900	55737772.00
2002/01/04	-1.45	-1.45	-1.50	-1.49	8518400	28915306.00
2002/01/07	-1.50	-1.49	-1.54	-1.50	9383900	31243716.00
2002/01/08	-1.51	-1.48	-1.52	-1.52	5957000	19963648.00
2002/01/09	-1.52	-1.43	-1.55	-1.50	12226100	40889984.00
2002/01/10	-1.50	-1.49	-1.55	-1.49	16523600	54927396.00
2002/01/11	-1.50	-1.50	-1.54	-1.54	14673800	48594276.00
2002/01/14	-1.55	-1.51	-1.57	-1.56	18520500	60571480.00
