600030 中信证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/01/06	-3.37	-3.35	-3.51	-3.50	194288556	998892608.00
2003/01/07	-3.51	-3.49	-3.54	-3.53	58977717	290622432.00
2003/01/08	-3.54	-3.41	-3.54	-3.41	72064078	368411104.00
2003/01/09	-3.34	-3.28	-3.35	-3.28	110086868	636358016.00
2003/01/10	-3.20	-3.14	-3.22	-3.20	206393422	1300495488.00
2003/01/13	-3.18	-3.13	-3.23	-3.18	109178302	685740352.00
2003/01/14	-3.18	-3.03	-3.21	-3.12	149481283	977541632.00
2003/01/15	-3.13	-3.03	-3.15	-3.05	138174975	919559360.00
2003/01/16	-3.05	-3.01	-3.09	-3.05	65483154	444285056.00
2003/01/17	-3.05	-3.04	-3.12	-3.11	65358762	434861792.00
2003/01/20	-3.13	-3.01	-3.14	-3.05	69181845	468747488.00
2003/01/21	-3.04	-3.03	-3.12	-3.11	42863113	284742624.00
2003/01/22	-3.11	-3.09	-3.14	-3.13	32035252	209619840.00
2003/01/23	-3.13	-3.07	-3.14	-3.13	31538563	207919168.00
2003/01/24	-3.13	-2.97	-3.13	-3.01	92707075	637719040.00
2003/01/27	-3.02	-2.99	-3.05	-3.01	39473854	274235040.00
2003/01/28	-3.01	-2.98	-3.03	-2.99	25966421	181092736.00
2003/01/29	-2.99	-2.98	-3.03	-3.03	29621035	207060768.00
2003/02/10	-3.03	-3.03	-3.07	-3.06	21876077	148955168.00
2003/02/11	-3.07	-3.05	-3.07	-3.05	10495713	71109712.00
2003/02/12	-3.05	-3.01	-3.07	-3.01	20137979	138916464.00
2003/02/13	-3.01	-2.96	-3.03	-3.02	39872166	281763296.00
2003/02/14	-3.03	-3.00	-3.04	-3.02	15996400	110958112.00
2003/02/17	-3.02	-3.01	-3.07	-3.05	20410160	139692304.00
2003/02/18	-3.05	-3.02	-3.06	-3.04	11018398	75383480.00
2003/02/19	-3.04	-3.00	-3.04	-3.02	19591574	136072928.00
2003/02/20	-3.02	-3.00	-3.04	-3.04	13589081	94154320.00
2003/02/21	-3.03	-3.03	-3.09	-3.08	25195497	170253536.00
2003/02/24	-3.08	-3.06	-3.08	-3.08	10146333	68270224.00
2003/02/25	-3.08	-3.02	-3.08	-3.04	16671100	114282760.00
2003/02/26	-3.03	-3.01	-3.05	-3.04	13132247	90695872.00
2003/02/27	-3.03	-3.01	-3.04	-3.04	12605305	87028640.00
2003/02/28	-3.03	-3.02	-3.05	-3.04	7605945	52180176.00
2003/03/03	-3.04	-3.02	-3.04	-3.02	12137912	83780648.00
2003/03/04	-3.02	-2.97	-3.02	-3.00	31272894	219827104.00
2003/03/05	-3.00	-3.00	-3.03	-3.03	14751704	102226368.00
2003/03/06	-3.02	-3.02	-3.06	-3.05	13965720	95479464.00
2003/03/07	-3.05	-3.04	-3.06	-3.06	7661784	52109096.00
2003/03/10	-3.06	-3.05	-3.09	-3.08	12145886	81707264.00
2003/03/11	-3.09	-3.06	-3.09	-3.08	4683682	31442488.00
2003/03/12	-3.08	-3.07	-3.13	-3.11	12532111	82211464.00
2003/03/13	-3.11	-3.10	-3.13	-3.13	6690300	43726284.00
2003/03/14	-3.13	-3.11	-3.13	-3.13	5312821	34610548.00
2003/03/17	-3.13	-3.11	-3.14	-3.11	6878435	44854264.00
2003/03/18	-3.11	-3.08	-3.12	-3.12	8161909	53941092.00
2003/03/19	-3.12	-3.09	-3.15	-3.11	10682340	69944384.00
2003/03/20	-3.11	-3.08	-3.12	-3.10	7169375	47412956.00
2003/03/21	-3.11	-3.09	-3.12	-3.10	5210189	34387008.00
2003/03/24	-3.10	-3.09	-3.13	-3.12	6024189	39436728.00
2003/03/25	-3.13	-3.12	-3.19	-3.18	22622042	143858640.00
2003/03/26	-3.19	-3.17	-3.21	-3.20	12328623	76948024.00
2003/03/27	-3.20	-3.06	-3.21	-3.10	41263829	269637984.00
2003/03/28	-3.10	-3.05	-3.11	-3.09	32190500	215465760.00
2003/03/31	-3.09	-3.06	-3.10	-3.08	11286282	75687240.00
2003/04/01	-3.08	-2.99	-3.08	-3.01	32629350	224963328.00
2003/04/02	-3.01	-2.97	-3.03	-2.98	39927359	281804128.00
2003/04/03	-2.97	-2.93	-3.00	-2.99	35800690	257187808.00
2003/04/04	-2.98	-2.94	-3.01	-2.95	30099531	214106720.00
2003/04/07	-2.97	-2.89	-2.97	-2.93	41087378	301428992.00
2003/04/08	-2.93	-2.88	-2.93	-2.91	23619218	174116448.00
2003/04/09	-2.91	-2.72	-2.91	-2.73	73556800	580092608.00
2003/04/10	-2.71	-2.68	-2.78	-2.74	79241065	642915520.00
2003/04/11	-2.74	-2.69	-2.77	-2.73	43281335	352032832.00
2003/04/14	-2.73	-2.56	-2.73	-2.59	51802663	436885920.00
2003/04/15	-2.63	-2.51	-2.65	-2.59	37860121	331907264.00
2003/04/16	-2.59	-2.44	-2.65	-2.61	56071457	495307264.00
2003/04/17	-2.61	-2.57	-2.67	-2.63	33326035	284704320.00
2003/04/18	-2.63	-2.62	-2.71	-2.71	28371073	235700192.00
2003/04/21	-2.72	-2.71	-2.87	-2.79	47236481	370039968.00
2003/04/22	-2.80	-2.76	-2.83	-2.79	23611975	185633152.00
2003/04/23	-2.81	-2.77	-2.84	-2.83	18426085	142885184.00
2003/04/24	-2.85	-2.82	-2.91	-2.86	30550135	231243632.00
2003/04/25	-2.85	-2.81	-2.90	-2.87	22694866	173423472.00
2003/04/28	-2.88	-2.68	-2.91	-2.68	50879811	405131104.00
2003/04/29	-2.71	-2.68	-2.75	-2.73	45212860	369373184.00
2003/04/30	-2.73	-2.64	-2.73	-2.71	34590300	286516352.00
2003/05/12	-2.71	-2.61	-2.75	-2.64	23170500	194644384.00
2003/05/13	-2.64	-2.59	-2.75	-2.73	39266723	327715456.00
2003/05/14	-2.76	-2.69	-2.77	-2.69	18948327	154178608.00
2003/05/15	-2.70	-2.64	-2.72	-2.66	19335928	160908784.00
2003/05/16	-2.66	-2.61	-2.68	-2.64	17936598	152065056.00
2003/05/19	-2.64	-2.63	-2.70	-2.68	13099007	109334936.00
2003/05/20	-2.68	-2.68	-2.74	-2.72	13627955	111280536.00
2003/05/21	-2.72	-2.69	-2.74	-2.73	7416213	60493872.00
2003/05/22	-2.73	-2.66	-2.74	-2.67	14830446	122687568.00
2003/05/23	-2.67	-2.62	-2.68	-2.66	30201313	255715936.00
2003/05/26	-2.66	-2.62	-2.67	-2.65	17088306	144669648.00
2003/05/27	-2.63	-2.56	-2.65	-2.58	42619539	367580384.00
2003/05/28	-2.57	-2.56	-2.68	-2.67	27395219	234991664.00
2003/05/29	-2.67	-2.63	-2.70	-2.63	14281338	119209040.00
2003/05/30	-2.63	-2.60	-2.65	-2.64	13910837	118536480.00
2003/06/02	-2.65	-2.63	-2.69	-2.65	8987554	75484384.00
