600033 福建高速 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/02/09	0.26	0.36	0.19	0.28	105687700	928934656.00
2001/02/12	0.27	0.27	0.22	0.25	15577100	135397952.00
2001/02/13	0.25	0.25	0.20	0.22	12615300	108744128.00
2001/02/14	0.22	0.27	0.22	0.26	11608000	101625288.00
2001/02/15	0.26	0.27	0.22	0.24	5207800	45355320.00
2001/02/16	0.22	0.24	0.19	0.23	7621600	65102684.00
2001/02/19	0.23	0.24	0.20	0.23	3078400	26553888.00
2001/02/20	0.22	0.24	0.19	0.20	6610000	56647688.00
2001/02/21	0.19	0.19	0.11	0.12	8316200	69091776.00
2001/02/22	0.13	0.16	0.12	0.13	3505100	29017738.00
2001/02/23	0.13	0.17	0.12	0.16	3938100	32576708.00
2001/02/26	0.16	0.19	0.15	0.19	3176000	26805060.00
2001/02/27	0.19	0.20	0.17	0.19	3103000	26305784.00
2001/02/28	0.21	0.24	0.19	0.19	2462300	21020908.00
2001/03/01	0.19	0.21	0.18	0.20	3282500	27903396.00
2001/03/02	0.20	0.23	0.20	0.20	2902900	24884104.00
2001/03/05	0.20	0.21	0.18	0.18	1892800	16041035.00
2001/03/06	0.18	0.22	0.17	0.21	2434600	20628102.00
2001/03/07	0.21	0.23	0.20	0.21	2502100	21482988.00
2001/03/08	0.22	0.24	0.21	0.23	3979600	34370144.00
2001/03/09	0.23	0.23	0.19	0.20	3871400	33184600.00
2001/03/12	0.20	0.20	0.18	0.19	2148300	18193948.00
2001/03/13	0.19	0.21	0.18	0.19	1671900	14188428.00
2001/03/14	0.19	0.22	0.18	0.22	1632200	13894979.00
2001/03/15	0.21	0.25	0.21	0.22	3251800	28070962.00
2001/03/16	0.22	0.25	0.21	0.23	4433500	38428104.00
2001/03/19	0.23	0.27	0.23	0.26	7686500	67487568.00
2001/03/20	0.27	0.28	0.24	0.27	3580100	31417068.00
2001/03/21	0.27	0.27	0.25	0.26	3624900	31806408.00
2001/03/22	0.27	0.31	0.27	0.28	7112000	63131672.00
2001/03/23	0.28	0.29	0.23	0.23	5337600	46784584.00
2001/03/26	0.23	0.28	0.23	0.28	3432900	30127658.00
2001/03/27	0.28	0.29	0.26	0.27	2839700	24984376.00
2001/03/28	0.27	0.28	0.26	0.27	2774500	24426636.00
2001/03/29	0.27	0.27	0.25	0.26	2641500	23160596.00
2001/03/30	0.24	0.27	0.24	0.27	2310300	20251302.00
2001/04/02	0.27	0.32	0.27	0.30	7055700	63030952.00
2001/04/03	0.30	0.30	0.28	0.30	2665300	23720236.00
2001/04/04	0.31	0.32	0.26	0.27	3354600	29808854.00
2001/04/05	0.27	0.32	0.26	0.31	5358100	47838184.00
2001/04/06	0.32	0.35	0.30	0.33	7229700	65505248.00
2001/04/09	0.33	0.36	0.31	0.34	5755400	52287348.00
2001/04/12	0.36	0.36	0.30	0.32	5082000	46107412.00
2001/04/13	0.32	0.33	0.30	0.31	3237600	29065916.00
2001/04/16	0.32	0.35	0.32	0.33	3905900	35403252.00
2001/04/17	0.34	0.34	0.30	0.31	4179700	37534240.00
2001/04/18	0.31	0.32	0.28	0.28	3983700	35438988.00
2001/04/19	0.28	0.30	0.27	0.29	2958200	26235500.00
2001/04/20	0.30	0.31	0.27	0.28	2835500	25180660.00
2001/04/23	0.28	0.28	0.24	0.25	3177400	27808180.00
2001/04/24	0.25	0.28	0.25	0.26	1882400	16501632.00
2001/04/25	0.26	0.26	0.22	0.22	2620200	22697830.00
2001/04/26	0.22	0.23	0.21	0.22	1775600	15273614.00
2001/04/27	0.22	0.24	0.22	0.24	1176400	10170915.00
2001/04/30	0.24	0.24	0.22	0.23	824800	7131494.00
2001/05/08	0.23	0.25	0.22	0.25	971400	8450862.00
2001/05/09	0.26	0.26	0.22	0.24	952100	8267299.00
2001/05/10	0.24	0.24	0.22	0.23	1272900	10983563.00
2001/05/11	0.23	0.24	0.22	0.23	1065700	9207530.00
2001/05/14	0.23	0.25	0.21	0.25	2213700	19197236.00
2001/05/15	0.26	0.27	0.25	0.25	1362300	11923250.00
2001/05/16	0.26	0.26	0.24	0.26	1340400	11704334.00
2001/05/17	0.27	0.28	0.25	0.26	1498500	13133097.00
2001/05/18	0.26	0.27	0.25	0.27	1359500	11926115.00
2001/05/21	0.27	0.31	0.26	0.29	3018000	26793762.00
2001/05/22	0.29	0.30	0.26	0.27	1398700	12358475.00
2001/05/23	0.27	0.27	0.23	0.25	1685600	14708939.00
2001/05/24	0.25	0.26	0.24	0.26	1498900	13075455.00
2001/05/25	0.25	0.26	0.24	0.25	1834900	15993016.00
2001/05/28	0.26	0.27	0.23	0.25	1695600	14747544.00
2001/05/29	0.25	0.29	0.24	0.27	3744300	32996646.00
2001/05/30	0.28	0.31	0.26	0.30	5397100	48005504.00
2001/05/31	0.31	0.31	0.28	0.29	1758200	15666043.00
2001/06/01	0.29	0.37	0.29	0.36	10010500	90671504.00
2001/06/04	0.40	0.41	0.35	0.37	18506300	170507440.00
2001/06/05	0.37	0.38	0.35	0.35	6260400	57517660.00
2001/06/06	0.35	0.36	0.35	0.36	3762300	34437508.00
2001/06/07	0.36	0.38	0.35	0.37	4303300	39524264.00
2001/06/08	0.39	0.43	0.39	0.43	13250700	123824912.00
2001/06/11	0.44	0.44	0.40	0.41	5456800	51357532.00
2001/06/12	0.41	0.43	0.40	0.42	2615700	24574392.00
2001/06/13	0.42	0.43	0.37	0.41	3757200	35004544.00
2001/06/14	0.39	0.41	0.33	0.34	5296900	48853784.00
2001/06/15	0.34	0.36	0.32	0.36	4070100	37027612.00
2001/06/18	0.35	0.38	0.33	0.34	3134100	28604030.00
2001/06/19	0.34	0.37	0.34	0.34	1500100	13693762.00
2001/06/20	0.35	0.37	0.34	0.34	1615600	14760379.00
2001/06/21	0.34	0.38	0.34	0.37	1474500	13564735.00
2001/06/22	0.37	0.38	0.36	0.38	1545100	14226795.00
2001/06/25	0.39	0.40	0.34	0.40	2576100	23939744.00
2001/06/26	0.40	0.41	0.38	0.39	1999400	18597926.00
2001/06/27	0.39	0.39	0.36	0.36	1506800	13895505.00
2001/06/28	0.37	0.40	0.35	0.38	1756800	16157938.00
2001/06/29	0.39	0.42	0.36	0.40	5651300	52838444.00
2001/07/02	0.40	0.41	0.38	0.38	1136300	10583326.00
2001/07/03	0.39	0.40	0.36	0.39	828700	7655544.00
2001/07/04	0.39	0.40	0.37	0.37	649700	5999829.00
2001/07/05	0.36	0.37	0.33	0.34	2190800	19953896.00
2001/07/06	0.34	0.34	0.32	0.33	1092900	9901063.00
2001/07/09	0.32	0.34	0.32	0.33	1058400	9563425.00
2001/07/10	0.33	0.39	0.33	0.35	1047400	9557154.00
2001/07/11	0.34	0.36	0.33	0.33	983800	8959089.00
2001/07/12	0.33	0.36	0.32	0.35	897200	8145640.00
2001/07/13	0.35	0.36	0.33	0.33	630500	5738782.00
2001/07/16	0.34	0.36	0.31	0.32	1778800	16067132.00
2001/07/17	0.32	0.32	0.27	0.30	1395500	12420982.00
2001/07/18	0.30	0.31	0.29	0.29	550900	4909530.00
2001/07/19	0.29	0.31	0.29	0.30	675800	6024875.00
2001/07/20	0.30	0.34	0.30	0.33	1068000	9658477.00
2001/07/23	0.31	0.34	0.31	0.33	789200	7145761.00
2001/07/24	0.32	0.32	0.29	0.30	974900	8717147.00
2001/07/25	0.29	0.32	0.28	0.30	924000	8246167.00
2001/07/26	0.30	0.30	0.26	0.27	1130400	9984412.00
2001/07/27	0.27	0.29	0.25	0.26	971700	8529619.00
2001/07/30	0.26	0.28	0.19	0.19	2237000	19404988.00
2001/07/31	0.14	0.22	0.14	0.17	1718500	14500250.00
2001/08/01	0.19	0.24	0.18	0.23	1233200	10565668.00
2001/08/02	0.23	0.23	0.17	0.17	1142700	9714983.00
2001/08/03	0.22	0.25	0.20	0.24	1082600	9382756.00
2001/08/06	0.23	0.23	0.17	0.20	1203100	10242913.00
2001/08/07	0.22	0.24	0.19	0.23	897000	7711789.00
2001/08/08	0.23	0.24	0.22	0.24	589500	5110224.00
2001/08/09	0.26	0.27	0.24	0.26	866400	7571456.00
2001/08/10	0.26	0.29	0.26	0.29	2119300	18697260.00
2001/08/13	0.30	0.32	0.28	0.29	4049900	36255212.00
2001/08/14	0.29	0.32	0.26	0.28	1440500	12780089.00
2001/08/15	0.28	0.30	0.26	0.29	716600	6337364.00
2001/08/16	0.30	0.30	0.26	0.26	933100	8224000.00
2001/08/17	0.26	0.28	0.25	0.27	879600	7744831.00
2001/08/20	0.27	0.30	0.26	0.29	689200	6113951.00
2001/08/21	0.29	0.31	0.29	0.30	743600	6629076.00
2001/08/22	0.29	0.29	0.24	0.26	948200	8301841.00
2001/08/23	0.24	0.27	0.22	0.26	609900	5306075.00
2001/08/24	0.27	0.27	0.22	0.22	804100	6967304.00
2001/08/27	0.22	0.22	0.17	0.18	1261100	10668678.00
2001/08/28	0.17	0.21	0.16	0.21	749300	6321314.00
2001/08/29	0.21	0.24	0.19	0.20	478600	4103873.00
2001/08/30	0.20	0.20	0.17	0.19	326700	2768668.00
2001/08/31	0.20	0.20	0.18	0.18	186300	1579000.00
2001/09/03	0.18	0.21	0.17	0.17	376500	3178154.00
2001/09/04	0.17	0.21	0.16	0.21	509500	4328942.00
2001/09/05	0.22	0.23	0.19	0.20	550000	4726639.00
2001/09/06	0.21	0.22	0.19	0.20	307500	2625360.00
2001/09/07	0.19	0.21	0.16	0.16	908700	7637577.00
2001/09/10	0.14	0.20	0.13	0.20	722500	6081708.00
2001/09/11	0.18	0.21	0.18	0.19	564000	4795674.00
2001/09/12	0.16	0.18	0.14	0.17	581500	4882582.00
2001/09/13	0.17	0.19	0.17	0.17	315600	2669711.00
2001/09/14	0.18	0.18	0.15	0.16	584900	4891542.00
2001/09/17	0.15	0.17	0.09	0.10	1320800	10823978.00
2001/09/18	0.09	0.14	0.09	0.11	647200	5268898.00
2001/09/19	0.11	0.12	0.08	0.11	554800	4508982.00
2001/09/20	0.12	0.18	0.12	0.16	983900	8201563.00
2001/09/21	0.16	0.17	0.14	0.16	586100	4894980.00
2001/09/24	0.14	0.14	0.11	0.11	475300	3914964.00
2001/09/25	0.12	0.14	0.12	0.13	426700	3523258.00
2001/09/26	0.12	0.14	0.11	0.12	458700	3765259.00
2001/09/27	0.12	0.13	0.10	0.12	583000	4785391.00
2001/09/28	0.12	0.14	0.11	0.14	620500	5118036.00
2001/10/08	0.14	0.15	0.10	0.12	479800	3935087.00
2001/10/09	0.11	0.18	0.11	0.16	1105900	9255221.00
2001/10/10	0.16	0.16	0.12	0.14	1076100	8905963.00
2001/10/11	0.12	0.14	0.02	0.06	1753500	14103986.00
2001/10/12	0.05	0.12	-0.01	0.11	2144600	16973764.00
2001/10/16	0.09	0.11	0.04	0.11	1493800	11970813.00
2001/10/17	0.10	0.11	0.05	0.10	644700	5198404.00
2001/10/18	0.09	0.09	0.03	0.07	463200	3677098.00
2001/10/19	0.02	0.05	-0.02	0.03	1411400	10944293.00
2001/10/22	0.00	0.00	-0.10	-0.07	1372700	10223034.00
2001/10/23	0.04	0.10	0.04	0.10	3116700	25159764.00
2001/10/24	0.18	0.19	0.09	0.13	6461400	53790476.00
2001/10/25	0.10	0.11	0.06	0.08	1598600	12863751.00
2001/10/26	0.08	0.11	0.04	0.11	852800	6831080.00
2001/10/29	0.12	0.13	0.09	0.13	743300	6095483.00
2001/10/30	0.14	0.14	0.09	0.12	590600	4849528.00
2001/10/31	0.11	0.14	0.09	0.14	1146300	9430313.00
2001/11/01	0.12	0.17	0.12	0.17	3226900	26987332.00
2001/11/02	0.16	0.18	0.13	0.13	1373800	11447908.00
2001/11/05	0.12	0.13	0.11	0.11	415100	3405018.00
2001/11/06	0.11	0.14	0.11	0.12	484500	3977028.00
2001/11/07	0.12	0.12	0.00	0.02	1471700	11664148.00
2001/11/08	0.00	0.05	-0.03	0.04	572000	4444839.00
2001/11/09	0.04	0.08	0.01	0.06	465600	3693448.00
2001/11/12	0.07	0.09	0.03	0.05	268700	2142218.00
2001/11/13	0.03	0.12	0.02	0.09	1054200	8509362.00
2001/11/14	0.07	0.10	0.07	0.07	238000	1913721.00
2001/11/15	0.11	0.11	0.07	0.09	315400	2540755.00
2001/11/16	0.14	0.19	0.11	0.14	4110200	34271516.00
2001/11/19	0.11	0.16	0.11	0.16	982300	8168382.00
2001/11/20	0.18	0.18	0.14	0.16	1433200	11954599.00
2001/11/21	0.14	0.19	0.14	0.19	4319900	36440684.00
2001/11/22	0.20	0.20	0.17	0.19	1649200	13970243.00
2001/11/23	0.17	0.21	0.17	0.18	1781200	15147666.00
2001/11/26	0.17	0.18	0.13	0.15	1261500	10473635.00
2001/11/27	0.14	0.19	0.14	0.19	684500	5743000.00
2001/11/28	0.19	0.20	0.17	0.18	1096800	9266508.00
2001/11/29	0.17	0.19	0.15	0.18	934000	7838967.00
2001/11/30	0.18	0.20	0.17	0.19	2211900	18757856.00
2001/12/03	0.21	0.21	0.17	0.19	1981400	16838496.00
2001/12/04	0.19	0.21	0.17	0.20	1752000	14896098.00
2001/12/05	0.21	0.25	0.19	0.22	5557000	47897712.00
2001/12/06	0.21	0.25	0.19	0.24	3886300	33606108.00
2001/12/07	0.25	0.27	0.21	0.23	2845200	24715446.00
2001/12/10	0.22	0.24	0.19	0.24	1381800	11882628.00
2001/12/11	0.23	0.26	0.19	0.22	1941400	16630589.00
2001/12/12	0.20	0.22	0.19	0.21	1003300	8570873.00
2001/12/13	0.19	0.21	0.16	0.19	2391000	20258878.00
2001/12/14	0.18	0.21	0.16	0.19	2102100	17787604.00
2001/12/17	0.18	0.20	0.17	0.20	798200	6774092.00
2001/12/18	0.19	0.23	0.17	0.22	1833300	15688348.00
2001/12/19	0.21	0.24	0.18	0.21	1477900	12685298.00
2001/12/20	0.19	0.21	0.13	0.17	2420800	20266734.00
2001/12/21	0.16	0.18	0.13	0.18	979900	8203844.00
2001/12/24	0.19	0.19	0.14	0.17	681300	5714971.00
2001/12/25	0.16	0.17	0.08	0.13	1312500	10742518.00
2001/12/26	0.12	0.14	0.09	0.14	1070300	8792187.00
2001/12/27	0.14	0.17	0.14	0.16	1361000	11364084.00
2001/12/28	0.16	0.20	0.15	0.19	1392100	11727789.00
2001/12/31	0.19	0.27	0.19	0.26	3882400	33526352.00
2002/01/04	0.24	0.24	0.18	0.20	913200	7795105.00
2002/01/07	0.19	0.19	0.14	0.18	875500	7350040.00
2002/01/08	0.17	0.17	0.14	0.16	858700	7153950.00
2002/01/09	0.14	0.15	0.08	0.11	1042600	8509256.00
2002/01/10	0.09	0.15	0.07	0.15	1267100	10350063.00
2002/01/11	0.15	0.15	0.09	0.11	543900	4469172.00
