600036 招商银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/04/09	-2.61	-2.51	-2.61	-2.57	414108800	4418821632.00
2002/04/10	-2.57	-2.56	-2.64	-2.58	67945400	716684288.00
2002/04/11	-2.58	-2.56	-2.61	-2.60	22788200	240963536.00
2002/04/12	-2.61	-2.57	-2.61	-2.59	21256400	224059904.00
2002/04/15	-2.59	-2.58	-2.65	-2.64	18531100	193306928.00
2002/04/16	-2.65	-2.64	-2.70	-2.70	24925400	254942368.00
2002/04/17	-2.70	-2.67	-2.71	-2.68	11459300	116550896.00
2002/04/18	-2.69	-2.69	-2.71	-2.71	8533200	86436776.00
2002/04/19	-2.71	-2.70	-2.74	-2.70	15722200	157784096.00
2002/04/22	-2.71	-2.71	-2.74	-2.73	6593800	66105564.00
2002/04/23	-2.74	-2.71	-2.76	-2.74	7376544	73759696.00
2002/04/24	-2.74	-2.74	-2.81	-2.80	17241356	169554784.00
2002/04/25	-2.80	-2.78	-2.80	-2.79	9960272	97420592.00
2002/04/26	-2.78	-2.77	-2.79	-2.78	8169213	80382992.00
2002/04/29	-2.78	-2.77	-2.81	-2.78	9036087	88537528.00
2002/04/30	-2.77	-2.70	-2.79	-2.73	18262505	182699168.00
2002/05/08	-2.74	-2.73	-2.77	-2.76	4228300	41990480.00
2002/05/09	-2.77	-2.72	-2.77	-2.75	4470394	44552492.00
2002/05/10	-2.76	-2.76	-2.79	-2.79	4638480	45667176.00
2002/05/13	-2.79	-2.79	-2.84	-2.83	12725497	122595408.00
2002/05/14	-2.84	-2.83	-2.88	-2.87	8239948	78665000.00
2002/05/15	-2.88	-2.85	-2.92	-2.92	9708385	91212160.00
2002/05/16	-2.92	-2.92	-2.98	-2.95	19517141	178313616.00
2002/05/17	-2.95	-2.92	-2.98	-2.93	10010112	91833344.00
2002/05/20	-2.96	-2.95	-3.01	-3.00	11297072	101667312.00
2002/05/21	-2.95	-2.93	-2.99	-2.95	12608352	115523920.00
2002/05/22	-2.94	-2.94	-3.02	-3.01	7338358	66043320.00
2002/05/23	-3.01	-2.96	-3.01	-3.00	7188925	64749340.00
2002/05/24	-3.00	-2.98	-3.05	-3.03	10526000	92941496.00
2002/05/27	-3.02	-3.01	-3.05	-3.02	5439444	48160844.00
2002/05/28	-3.02	-3.00	-3.02	-3.01	5607677	50176392.00
2002/05/29	-3.01	-3.01	-3.09	-3.08	7480150	65398180.00
2002/05/30	-3.08	-3.05	-3.12	-3.06	13179829	113645568.00
2002/05/31	-3.06	-3.03	-3.08	-3.07	4669199	40944136.00
2002/06/04	-3.09	-2.99	-3.11	-3.03	21315760	188202672.00
2002/06/05	-2.94	-2.94	-3.06	-3.06	9149476	80995384.00
2002/06/06	-3.06	-2.97	-3.07	-2.99	12530992	112008800.00
2002/06/07	-2.99	-2.98	-3.02	-3.00	11760656	105772504.00
2002/06/10	-3.00	-2.98	-3.01	-3.00	4910142	44206176.00
2002/06/11	-3.00	-2.99	-3.01	-3.01	2848153	25522714.00
2002/06/12	-2.99	-2.99	-3.04	-3.03	3036753	26911352.00
2002/06/13	-3.03	-3.03	-3.06	-3.05	2861462	25179530.00
2002/06/14	-3.06	-3.06	-3.08	-3.07	2939500	25580232.00
