600037 歌华有线 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2001/02/08	4.73	4.87	3.81	3.91	45480700	1400461824.00
2001/02/09	4.04	4.55	4.04	4.29	15662000	472699264.00
2001/02/12	4.24	4.65	4.16	4.53	9643200	297612416.00
2001/02/13	4.55	4.59	4.44	4.50	3484400	108265152.00
2001/02/14	4.50	4.82	4.46	4.73	5799000	185205664.00
2001/02/15	4.75	4.79	4.52	4.56	2441600	77107856.00
2001/02/16	4.50	5.05	4.43	5.02	6642700	214228944.00
2001/02/19	5.05	5.19	4.91	4.94	6161200	205019024.00
2001/02/20	4.96	5.13	4.85	4.93	6726600	221702544.00
2001/02/21	4.91	5.02	4.86	4.91	3685200	121221808.00
2001/02/22	4.91	5.19	4.88	4.95	3769100	125998240.00
2001/02/23	4.96	5.13	4.91	5.10	2145600	71011832.00
2001/02/26	5.10	5.18	5.03	5.11	2245100	75508192.00
2001/02/27	5.09	5.14	4.93	4.96	3124100	103287440.00
2001/02/28	4.96	5.00	4.82	4.89	2249800	73570296.00
2001/03/01	4.89	5.00	4.87	4.89	1152800	37835840.00
2001/03/02	4.91	5.10	4.90	5.03	1617800	53762952.00
2001/03/05	4.96	5.04	4.89	4.91	998500	32834504.00
2001/03/06	4.86	5.10	4.86	5.09	1610600	53432612.00
2001/03/07	5.09	5.18	5.03	5.08	1716200	57819064.00
2001/03/08	5.08	5.49	5.06	5.42	4746700	164926512.00
2001/03/09	5.42	5.57	5.33	5.38	2544500	89509024.00
2001/03/12	5.38	5.49	5.35	5.45	1111800	38856216.00
2001/03/13	5.47	5.53	5.30	5.33	2013200	70059656.00
2001/03/14	5.30	5.38	5.30	5.35	1353600	46902392.00
2001/03/15	5.37	5.49	5.31	5.44	1493800	52039044.00
2001/03/16	5.44	5.51	5.38	5.39	1416400	49626712.00
2001/03/19	5.38	5.38	5.23	5.34	1877900	64574020.00
2001/03/20	5.34	5.48	5.28	5.35	1081400	37682112.00
2001/03/21	5.35	5.45	5.31	5.38	1164100	40596624.00
2001/03/22	5.39	5.68	5.38	5.58	1770400	62706064.00
2001/03/23	5.56	5.62	5.32	5.42	1468200	51555204.00
2001/03/26	5.38	5.53	5.37	5.53	823100	28916672.00
2001/03/27	5.57	5.78	5.49	5.65	1900000	68293528.00
2001/03/28	5.70	5.70	5.52	5.56	1112600	39589192.00
2001/03/29	5.54	5.63	5.49	5.54	966600	34321104.00
2001/03/30	5.52	5.68	5.50	5.57	952700	34024504.00
2001/04/02	5.59	5.86	5.56	5.73	1841000	67030888.00
2001/04/03	5.73	5.78	5.61	5.77	883700	31927310.00
2001/04/04	5.67	5.93	5.67	5.77	2644200	97314720.00
2001/04/05	5.72	6.23	5.70	6.22	3093700	117189272.00
2001/04/06	6.30	6.49	6.23	6.25	3287800	128042328.00
2001/04/09	6.26	6.58	6.17	6.54	1557900	60943728.00
2001/04/10	6.58	6.75	6.50	6.57	1994600	80131232.00
2001/04/11	6.58	6.74	6.44	6.52	1480500	59214868.00
2001/04/12	6.54	7.01	6.49	6.64	3258900	133280144.00
2001/04/13	6.65	6.93	6.60	6.93	1583100	64383920.00
2001/04/16	7.11	7.54	7.04	7.48	4817900	209200848.00
2001/04/17	7.53	7.65	7.31	7.50	3135900	137650912.00
2001/04/18	7.49	7.60	7.20	7.53	2503000	108865352.00
2001/04/19	7.50	7.54	7.07	7.18	5717600	245897792.00
2001/04/20	7.13	7.27	6.57	6.60	5454500	227294400.00
2001/04/23	6.58	6.81	6.51	6.72	3195700	128713112.00
2001/04/24	6.73	6.98	6.67	6.77	1947700	79928112.00
2001/04/25	6.74	6.75	6.24	6.27	4847800	190487072.00
2001/04/26	6.24	6.53	6.21	6.32	2499100	97750296.00
2001/04/27	6.28	6.58	6.28	6.37	1535900	60338612.00
2001/04/30	6.39	6.61	6.35	6.53	1060100	42142300.00
2001/05/08	6.53	6.60	6.49	6.56	668200	26642536.00
2001/05/09	6.56	6.56	6.23	6.32	1575500	61299152.00
2001/05/10	6.26	6.53	6.21	6.29	1069900	41423888.00
2001/05/11	6.35	6.44	6.24	6.44	549900	21441402.00
2001/05/14	6.44	6.69	6.44	6.67	1483800	59579660.00
2001/05/15	6.72	6.75	6.53	6.60	1092100	43811196.00
2001/05/16	6.60	6.92	6.54	6.83	1499400	61061008.00
2001/05/17	6.91	6.91	6.71	6.72	953900	39031012.00
2001/05/18	6.72	6.88	6.62	6.78	1248100	50676268.00
2001/05/21	6.81	7.02	6.72	6.83	1151300	47489720.00
2001/05/22	6.81	6.84	6.55	6.56	745100	30009930.00
2001/05/23	6.56	6.56	6.26	6.34	1877500	73425480.00
2001/05/24	6.33	6.43	6.28	6.35	651300	25378940.00
2001/05/25	6.35	6.39	6.12	6.28	1473600	56753692.00
2001/05/28	6.25	6.26	6.00	6.05	1564800	59321900.00
2001/05/29	6.02	6.20	5.98	6.16	538000	20394188.00
2001/05/30	6.13	6.42	6.00	6.37	1049200	40149200.00
2001/05/31	6.42	6.46	6.23	6.31	515900	20046152.00
2001/06/01	6.30	6.43	6.23	6.30	651000	25417552.00
2001/06/04	6.30	6.50	6.26	6.39	1025400	40127368.00
2001/06/05	6.39	6.41	6.33	6.35	492200	19208252.00
2001/06/06	6.33	6.35	6.17	6.19	628300	24174036.00
2001/06/07	6.19	6.19	6.02	6.05	1339400	50680032.00
2001/06/08	6.04	6.21	6.02	6.12	577800	21905876.00
2001/06/11	6.12	6.28	6.07	6.15	677800	25832854.00
2001/06/12	6.16	6.23	6.10	6.14	341800	13010858.00
2001/06/13	6.12	6.39	6.11	6.37	862300	33476618.00
2001/06/14	6.36	6.37	6.04	6.10	1120500	42881984.00
2001/06/15	6.09	6.21	6.04	6.14	721300	27454004.00
2001/06/18	6.10	6.14	5.87	6.06	1311000	49183080.00
2001/06/19	6.06	6.39	5.89	6.35	2067500	79469544.00
2001/06/20	6.33	6.42	6.19	6.23	1002200	39102176.00
2001/06/21	6.21	6.37	6.19	6.29	373800	14457146.00
2001/06/22	6.34	6.46	6.26	6.42	1240300	48623548.00
2001/06/26	6.57	6.57	6.42	6.46	1345700	53288800.00
2001/06/27	6.51	6.51	6.30	6.35	566600	22187864.00
2001/06/28	6.35	6.39	6.16	6.21	463700	17867280.00
2001/06/29	6.23	6.47	6.21	6.24	602400	23553654.00
2001/07/02	6.33	6.43	6.30	6.35	494300	19302960.00
2001/07/03	6.36	6.46	6.30	6.39	553600	21705588.00
2001/07/04	6.44	6.44	6.32	6.32	267100	10419681.00
2001/07/05	6.30	6.41	6.19	6.32	568000	22090930.00
2001/07/06	6.32	6.49	6.23	6.36	1506400	59269632.00
2001/07/09	6.36	6.75	6.35	6.65	2451800	98379536.00
2001/07/10	6.72	6.76	6.56	6.69	1186100	47767176.00
2001/07/11	6.71	6.78	6.58	6.75	1448300	58688532.00
