600038 中直股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/12/18	5.17	5.49	4.57	5.17	38355600	692765184.00
2000/12/19	5.06	5.23	4.91	5.01	10639600	196803856.00
2000/12/20	5.00	5.67	4.98	5.67	9869900	192185968.00
2000/12/21	5.76	5.95	5.53	5.79	13469900	274477088.00
2000/12/22	5.75	5.81	5.49	5.53	5779500	116114176.00
2000/12/25	5.53	5.71	5.49	5.50	3247000	64728648.00
2000/12/26	5.50	5.67	5.42	5.66	3133700	61884668.00
2000/12/27	5.66	5.71	5.42	5.45	2318800	46034232.00
2000/12/28	5.43	5.49	5.28	5.32	2482300	47903456.00
2000/12/29	5.33	5.46	5.30	5.38	1460500	28286028.00
2001/01/02	5.42	5.59	5.35	5.52	1488600	29189180.00
2001/01/03	5.49	5.70	5.39	5.60	2924400	57750272.00
2001/01/04	5.64	5.72	5.55	5.57	2012700	40397224.00
2001/01/05	5.57	5.85	5.57	5.77	3639500	74294880.00
2001/01/08	5.82	5.85	5.49	5.63	1825300	36848840.00
2001/01/09	5.60	5.70	5.52	5.59	1165200	23242980.00
2001/01/10	5.59	5.70	5.51	5.63	985900	19749780.00
2001/01/11	5.64	5.75	5.60	5.61	1562500	31572928.00
2001/01/12	5.60	5.60	5.43	5.45	1455300	28722020.00
2001/01/15	5.37	5.44	5.14	5.14	1945700	37129532.00
2001/01/16	5.06	5.22	5.03	5.20	1110500	20751252.00
2001/01/17	5.21	5.24	5.06	5.09	660500	12317851.00
2001/01/18	5.06	5.19	5.06	5.10	728400	13585204.00
2001/01/19	5.19	5.28	5.12	5.25	705500	13401813.00
2001/02/05	5.26	5.27	4.89	4.91	1108900	20395290.00
2001/02/06	4.84	4.89	4.59	4.74	1247500	21907952.00
2001/02/07	4.74	4.88	4.71	4.79	547800	9684775.00
2001/02/08	4.80	4.85	4.67	4.68	561100	9876855.00
2001/02/09	4.71	4.87	4.71	4.82	510000	9046360.00
2001/02/12	4.84	4.85	4.71	4.82	263400	4673228.00
2001/02/13	4.85	4.91	4.78	4.81	297500	5326326.00
2001/02/14	4.74	4.83	4.74	4.79	410400	7263429.00
2001/02/15	4.76	4.80	4.75	4.77	163900	2898172.00
2001/02/16	4.71	4.83	4.64	4.81	356500	6207251.00
2001/02/19	4.81	4.91	4.76	4.88	334900	6012577.00
2001/02/20	4.89	4.92	4.71	4.74	431800	7717377.00
2001/02/21	4.64	4.74	4.64	4.69	374800	6530929.00
2001/02/22	4.67	4.80	4.66	4.70	226600	3976412.00
2001/02/23	4.74	4.85	4.70	4.84	266400	4697960.00
2001/02/26	4.83	4.96	4.76	4.93	640800	11507599.00
2001/02/27	4.93	4.96	4.83	4.93	619300	11190697.00
2001/02/28	4.93	4.93	4.81	4.85	358300	6430794.00
2001/03/01	4.83	4.91	4.82	4.89	274200	4933507.00
2001/03/02	4.89	4.98	4.88	4.92	533800	9685077.00
2001/03/05	4.96	5.06	4.95	5.01	692200	12709537.00
2001/03/06	5.01	5.03	4.94	5.01	372300	6801704.00
2001/03/07	5.01	5.06	4.97	5.02	566500	10408483.00
2001/03/08	5.02	5.20	5.02	5.09	812000	15181274.00
2001/03/09	5.10	5.17	5.08	5.14	686600	12825203.00
2001/03/12	5.14	5.26	5.14	5.25	1038400	19671504.00
2001/03/13	5.27	5.27	5.12	5.17	763900	14389425.00
2001/03/14	5.14	5.19	5.10	5.19	506100	9516372.00
2001/03/15	5.19	5.24	5.14	5.15	477500	8980778.00
2001/03/16	5.17	5.19	5.03	5.04	661600	12254792.00
2001/03/19	5.03	5.10	5.00	5.06	410200	7583841.00
2001/03/20	5.07	5.23	5.04	5.23	466600	8731805.00
2001/03/21	5.23	5.28	5.16	5.26	516100	9780612.00
2001/03/22	5.26	5.36	5.24	5.31	850400	16261538.00
2001/03/23	5.31	5.32	5.11	5.12	746300	14093442.00
2001/03/27	5.26	5.34	5.23	5.28	581400	11096427.00
2001/03/28	5.30	5.31	5.19	5.24	537400	10231186.00
2001/03/29	5.20	5.39	5.20	5.32	994400	19140168.00
2001/03/30	5.35	5.44	5.33	5.38	866800	16827008.00
2001/04/02	5.40	5.48	5.37	5.43	889900	17413112.00
2001/04/03	5.43	5.46	5.32	5.38	528800	10243548.00
2001/04/04	5.37	5.37	5.15	5.19	747300	14260110.00
2001/04/05	5.15	5.62	5.14	5.54	1768700	34509720.00
2001/04/06	5.55	5.62	5.51	5.52	1601100	31833990.00
2001/04/09	5.52	5.57	5.46	5.53	597300	11802138.00
2001/04/10	5.54	5.63	5.53	5.58	802400	16019998.00
2001/04/11	5.60	5.67	5.55	5.63	1100100	22050892.00
2001/04/12	5.64	5.66	5.51	5.54	732200	14632254.00
2001/04/13	5.53	5.62	5.48	5.56	728200	14434460.00
2001/04/16	5.58	5.73	5.52	5.67	1231500	24792456.00
2001/04/17	5.72	6.03	5.65	5.92	3241500	67045716.00
2001/04/18	5.92	6.03	5.84	5.91	1468300	30631544.00
2001/04/19	5.91	5.96	5.76	5.93	1487900	30864012.00
2001/04/20	5.93	6.31	5.89	5.89	5285400	113294472.00
2001/04/23	5.85	6.16	5.80	6.07	4901300	103904888.00
2001/04/24	6.09	6.21	6.01	6.14	2299200	49218112.00
2001/04/25	6.17	6.25	5.79	5.85	2788800	58490100.00
2001/04/26	5.78	6.03	5.75	5.94	3017100	62824400.00
2001/04/27	5.89	6.30	5.89	6.25	5112600	110307664.00
2001/04/30	6.30	6.67	6.25	6.56	5588000	124947136.00
2001/05/08	6.61	6.64	6.43	6.54	2443300	55435068.00
2001/05/09	6.59	6.61	6.37	6.46	1566200	35169676.00
