600039 四川路桥 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2003/03/25	0.84	0.89	0.83	0.86	47150355	427765216.00
2003/03/26	0.85	0.86	0.81	0.83	15149117	134929216.00
2003/03/27	0.82	0.96	0.81	0.96	26921118	252923776.00
2003/03/28	1.01	1.05	0.98	0.99	45136818	456486432.00
2003/03/31	0.98	1.02	0.96	1.00	15234325	151824672.00
2003/04/01	0.99	1.01	0.97	0.98	11795655	117521152.00
2003/04/02	0.97	1.01	0.96	0.97	9277420	91987000.00
2003/04/03	0.96	0.99	0.96	0.99	5049947	49949176.00
2003/04/04	0.99	1.00	0.97	0.98	4084421	40620096.00
2003/04/07	0.97	0.98	0.91	0.91	11832630	113923688.00
2003/04/08	0.91	0.93	0.90	0.92	6744903	64043608.00
2003/04/09	0.92	0.93	0.86	0.90	10273000	95969720.00
2003/04/10	0.90	0.98	0.90	0.94	11003806	106613304.00
2003/04/11	0.93	0.97	0.92	0.95	7482634	72788864.00
2003/04/14	0.96	1.06	0.95	1.00	12890983	130596568.00
2003/04/15	1.00	1.01	0.97	0.99	7189829	71681240.00
2003/04/16	0.99	1.14	0.98	1.10	25998400	272400576.00
2003/04/17	1.10	1.13	1.06	1.08	13349289	142744832.00
2003/04/18	1.08	1.11	1.06	1.06	7654621	81036000.00
2003/04/21	1.06	1.06	1.00	1.03	6523331	66769708.00
2003/04/22	1.03	1.06	1.02	1.03	2904397	29878936.00
2003/04/23	1.03	1.04	0.96	0.97	5506058	55135916.00
2003/04/24	0.97	1.00	0.94	0.96	4185376	41173620.00
2003/04/25	0.96	0.98	0.91	0.92	3169626	30639414.00
2003/04/28	0.90	0.97	0.88	0.96	4787635	45679872.00
2003/04/29	0.92	0.92	0.85	0.86	7826766	71454584.00
2003/04/30	0.86	0.89	0.85	0.87	3774300	34528680.00
2003/05/12	0.87	0.87	0.81	0.83	3485600	31009444.00
2003/05/13	0.83	0.84	0.72	0.78	6354559	53447000.00
2003/05/14	0.78	0.83	0.78	0.83	6193355	53751692.00
2003/05/15	0.82	0.86	0.80	0.86	4952790	44338132.00
2003/05/16	0.86	0.87	0.84	0.84	2794235	25129764.00
2003/05/19	0.84	0.86	0.82	0.85	2877364	25780814.00
2003/05/20	0.85	0.85	0.82	0.82	2173049	19187312.00
2003/05/21	0.82	0.88	0.82	0.86	4159365	37646840.00
2003/05/22	0.85	0.86	0.83	0.85	1822399	16418214.00
2003/05/23	0.85	0.90	0.85	0.87	4549152	41885240.00
2003/05/26	0.87	0.93	0.87	0.91	5863226	55186244.00
2003/05/27	0.91	0.93	0.88	0.89	3861766	36049576.00
2003/05/28	0.89	0.90	0.85	0.86	3173233	29092076.00
2003/05/29	0.85	0.87	0.84	0.87	2252238	20344940.00
2003/05/30	0.87	0.88	0.85	0.87	2392929	21837208.00
2003/06/02	0.87	0.88	0.86	0.88	1601401	14688465.00
2003/06/03	0.87	0.89	0.85	0.85	1535932	14012593.00
2003/06/04	0.85	0.87	0.84	0.86	1449847	13142727.00
2003/06/05	0.86	0.86	0.84	0.84	1602459	14463016.00
2003/06/06	0.83	0.84	0.81	0.81	2302063	20329044.00
2003/06/09	0.81	0.81	0.79	0.79	1217976	10533474.00
2003/06/10	0.80	0.82	0.80	0.81	715135	6237146.00
2003/06/11	0.82	0.84	0.81	0.84	1053140	9330161.00
2003/06/12	0.84	0.85	0.82	0.85	1495901	13361427.00
