600048 保利地产 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/07/31	-1.97	-1.90	-2.05	-1.95	93617254	1846673408.00
2006/08/01	-1.97	-1.87	-2.01	-1.93	25865877	528773504.00
2006/08/02	-1.94	-1.84	-1.95	-1.87	21449920	456345120.00
2006/08/03	-1.87	-1.86	-1.92	-1.88	11632691	245761792.00
2006/08/04	-1.89	-1.83	-1.91	-1.86	14576344	314332896.00
2006/08/07	-1.85	-1.76	-1.87	-1.79	14323413	321071296.00
2006/08/08	-1.78	-1.74	-1.81	-1.77	9679870	220951072.00
2006/08/09	-1.78	-1.78	-1.85	-1.83	9328782	207184816.00
2006/08/10	-1.84	-1.81	-1.86	-1.82	8555872	187582272.00
2006/08/11	-1.82	-1.71	-1.83	-1.72	12181275	282284384.00
2006/08/14	-1.70	-1.68	-1.75	-1.72	11282717	269495616.00
2006/08/15	-1.75	-1.67	-1.77	-1.68	11575453	273770336.00
2006/08/16	-1.68	-1.66	-1.71	-1.70	7642225	185399648.00
2006/08/17	-1.71	-1.67	-1.73	-1.72	6462346	155574384.00
2006/08/18	-1.72	-1.70	-1.74	-1.73	4765777	113198272.00
2006/08/21	-1.79	-1.72	-1.79	-1.74	5687730	132309560.00
2006/08/22	-1.74	-1.70	-1.75	-1.74	3776118	89607216.00
2006/08/23	-1.74	-1.72	-1.77	-1.75	4716143	110003224.00
2006/08/24	-1.75	-1.69	-1.76	-1.69	6377857	153027200.00
2006/08/25	-1.69	-1.68	-1.71	-1.71	3786390	91328544.00
2006/08/28	-1.70	-1.56	-1.71	-1.56	9611396	245851920.00
2006/08/29	-1.51	-1.47	-1.56	-1.53	10993224	296459744.00
2006/08/30	-1.55	-1.37	-1.56	-1.40	10122071	284170112.00
2006/08/31	-1.41	-1.37	-1.42	-1.39	6868496	197908864.00
2006/09/01	-1.39	-1.26	-1.40	-1.39	8725988	260194240.00
2006/09/04	-1.39	-1.34	-1.42	-1.36	6911356	200658944.00
2006/09/05	-1.37	-1.30	-1.42	-1.41	6801913	198559696.00
2006/09/06	-1.40	-1.40	-1.49	-1.43	6910210	193934512.00
2006/09/07	-1.44	-1.40	-1.45	-1.42	3986985	113504040.00
2006/09/08	-1.41	-1.34	-1.42	-1.41	5120598	149630112.00
2006/09/11	-1.40	-1.38	-1.47	-1.41	4630661	131300048.00
2006/09/12	-1.41	-1.38	-1.43	-1.40	3626083	104334952.00
2006/09/13	-1.39	-1.38	-1.46	-1.45	3325057	94641760.00
2006/09/14	-1.47	-1.43	-1.49	-1.43	4887994	135815712.00
2006/09/15	-1.44	-1.41	-1.46	-1.43	3365652	95266408.00
2006/09/18	-1.43	-1.38	-1.43	-1.41	3189348	91568048.00
2006/09/19	-1.41	-1.41	-1.45	-1.45	3813322	107725480.00
2006/09/20	-1.45	-1.31	-1.45	-1.36	8643435	253955776.00
2006/09/22	-1.34	-1.32	-1.39	-1.36	4030055	118963688.00
2006/09/25	-1.37	-1.33	-1.43	-1.41	4053557	118034792.00
2006/09/26	-1.42	-1.41	-1.52	-1.49	6257932	172464208.00
2006/09/27	-1.49	-1.47	-1.52	-1.49	2123147	57882880.00
2006/09/28	-1.49	-1.43	-1.51	-1.47	4136554	115213416.00
2006/09/29	-1.47	-1.42	-1.48	-1.47	3136216	87822952.00
2006/10/09	-1.46	-1.44	-1.50	-1.46	5969175	164735904.00
2006/10/10	-1.47	-1.46	-1.59	-1.56	11108025	295139104.00
2006/10/11	-1.58	-1.56	-1.60	-1.57	5406733	140700976.00
2006/10/12	-1.57	-1.57	-1.63	-1.62	5404765	137874864.00
