600050 中国联通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/10/09	1.60	1.66	1.48	1.49	1304738321	3911240448.00
2002/10/10	1.47	1.50	1.44	1.47	202927101	576092992.00
2002/10/11	1.48	1.54	1.47	1.53	173135913	504271968.00
2002/10/14	1.54	1.58	1.53	1.57	178761083	534049632.00
2002/10/15	1.57	1.57	1.54	1.56	90834152	271086336.00
2002/10/16	1.56	1.60	1.56	1.56	111936407	337916512.00
2002/10/17	1.56	1.57	1.55	1.56	81004244	242238144.00
2002/10/18	1.56	1.59	1.55	1.57	60059481	180426816.00
2002/10/21	1.57	1.59	1.57	1.59	53577800	161786064.00
2002/10/22	1.59	1.61	1.59	1.60	92634896	282630432.00
2002/10/23	1.60	1.60	1.58	1.59	51837602	157496512.00
2002/10/24	1.60	1.60	1.58	1.59	43407924	131766824.00
2002/10/25	1.59	1.60	1.56	1.56	88674495	268069840.00
2002/10/28	1.56	1.57	1.53	1.53	96863324	286858208.00
2002/10/29	1.53	1.55	1.52	1.55	47253958	139364032.00
2002/10/30	1.55	1.55	1.54	1.54	42917829	127003032.00
2002/10/31	1.54	1.55	1.53	1.53	56153139	165986688.00
2002/11/01	1.53	1.56	1.53	1.54	46558034	137578816.00
2002/11/04	1.55	1.58	1.55	1.58	66981553	200595856.00
2002/11/05	1.58	1.62	1.58	1.61	179164985	547365376.00
2002/11/06	1.60	1.61	1.59	1.60	78191682	238204048.00
2002/11/07	1.60	1.62	1.59	1.60	104716347	320456032.00
2002/11/08	1.62	1.62	1.56	1.58	191440505	579721984.00
2002/11/11	1.59	1.59	1.56	1.57	58728797	176648224.00
2002/11/12	1.58	1.61	1.57	1.58	158733028	482846688.00
2002/11/13	1.58	1.58	1.54	1.57	88517586	264886352.00
2002/11/14	1.57	1.58	1.55	1.56	35543272	106258912.00
2002/11/15	1.55	1.58	1.55	1.56	61146580	183170944.00
2002/11/18	1.57	1.58	1.56	1.57	32454787	97110336.00
2002/11/19	1.57	1.57	1.56	1.57	31297952	93536080.00
2002/11/20	1.57	1.57	1.54	1.54	70282343	208812848.00
2002/11/21	1.54	1.54	1.51	1.51	66025732	192866816.00
2002/11/22	1.52	1.53	1.51	1.52	51161927	149501056.00
2002/11/25	1.52	1.53	1.51	1.51	29049891	84673064.00
2002/11/26	1.51	1.53	1.48	1.49	43376499	125699184.00
2002/11/27	1.48	1.52	1.48	1.51	49331960	142402368.00
2002/11/28	1.51	1.56	1.51	1.56	69704488	205363888.00
2002/11/29	1.56	1.57	1.54	1.55	131883015	393016128.00
2002/12/02	1.54	1.55	1.51	1.52	38110225	111869296.00
2002/12/03	1.52	1.54	1.51	1.53	20469369	60057608.00
2002/12/04	1.53	1.54	1.52	1.53	26128470	76830024.00
2002/12/05	1.53	1.53	1.51	1.52	26240991	76619104.00
2002/12/06	1.52	1.53	1.51	1.53	9515072	27740020.00
2002/12/09	1.52	1.53	1.50	1.51	19872043	57741700.00
2002/12/10	1.51	1.52	1.50	1.50	26011411	75435664.00
2002/12/11	1.50	1.51	1.49	1.50	32432870	93523512.00
2002/12/12	1.50	1.51	1.50	1.50	21076546	60937740.00
2002/12/13	1.49	1.51	1.48	1.51	17655690	50825068.00
2002/12/16	1.51	1.51	1.49	1.50	21275399	61380564.00
2002/12/17	1.50	1.51	1.50	1.50	26187607	75698176.00
2002/12/18	1.50	1.51	1.49	1.49	28919468	83318392.00
2002/12/19	1.49	1.50	1.47	1.48	29071800	83127168.00
2002/12/20	1.48	1.50	1.48	1.50	22588857	64850440.00
2002/12/24	1.50	1.51	1.48	1.50	26935347	77363312.00
2002/12/25	1.50	1.50	1.47	1.48	40899670	116699448.00
2002/12/26	1.48	1.48	1.44	1.45	58037108	163055104.00
2002/12/27	1.44	1.45	1.43	1.44	37370639	104085208.00
2002/12/30	1.44	1.44	1.39	1.41	42780245	117324976.00
2002/12/31	1.40	1.41	1.38	1.38	29311700	79446072.00
2003/01/02	1.38	1.38	1.35	1.35	36585366	97193256.00
2003/01/03	1.35	1.36	1.35	1.36	17660804	46715096.00
2003/01/06	1.36	1.37	1.34	1.36	20262089	53673908.00
2003/01/07	1.36	1.38	1.35	1.36	18887950	50222016.00
2003/01/08	1.36	1.49	1.35	1.46	83701629	233558752.00
2003/01/09	1.45	1.50	1.42	1.46	181109647	512344320.00
2003/01/10	1.46	1.48	1.44	1.44	84321116	237933360.00
2003/01/13	1.44	1.46	1.43	1.44	39387854	110098328.00
2003/01/14	1.44	1.61	1.44	1.61	196609153	589924736.00
2003/01/15	1.80	1.80	1.74	1.80	969183343	3265302016.00
2003/01/16	1.78	1.85	1.75	1.81	403742024	1366664832.00
2003/01/17	1.81	1.83	1.73	1.73	341648399	1135330688.00
2003/01/20	1.73	1.76	1.71	1.75	196918636	645440640.00
2003/01/21	1.75	1.75	1.66	1.66	184762404	591766080.00
2003/01/22	1.66	1.68	1.65	1.67	84701813	268823936.00
2003/01/23	1.66	1.72	1.66	1.68	112954635	362435616.00
2003/01/24	1.67	1.73	1.66	1.72	155203282	501776992.00
2003/01/27	1.72	1.74	1.71	1.71	73267347	238366416.00
2003/01/28	1.71	1.72	1.69	1.72	53988375	174476352.00
2003/01/29	1.71	1.74	1.70	1.71	59277851	192855568.00
2003/02/10	1.69	1.69	1.63	1.64	106756398	335174112.00
2003/02/11	1.63	1.66	1.63	1.66	37102320	116126000.00
2003/02/12	1.66	1.68	1.65	1.68	51984414	164608112.00
2003/02/13	1.68	1.69	1.65	1.65	62230288	197654384.00
2003/02/14	1.65	1.67	1.65	1.66	36196700	113983424.00
2003/02/17	1.66	1.66	1.62	1.63	58754012	182875504.00
2003/02/18	1.63	1.65	1.62	1.64	31568885	98224112.00
