600051 宁波联合 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/10	7.03	7.33	6.58	6.73	19118800	595473856.00
1997/04/11	6.75	7.66	6.74	7.66	5608700	185682080.00
1997/04/14	8.66	8.68	8.60	8.68	1165500	43677696.00
1997/04/15	9.24	9.28	8.39	8.71	5006000	188547680.00
1997/04/16	8.69	8.71	8.18	8.36	3040300	110929120.00
1997/04/17	8.26	8.51	8.17	8.22	1726700	62371856.00
1997/04/18	8.25	8.62	8.03	8.45	1745000	62812344.00
1997/04/21	8.57	8.60	8.27	8.27	1278100	46725212.00
1997/04/22	8.33	8.54	8.27	8.35	880300	32119364.00
1997/04/23	8.50	8.96	8.31	8.76	2287700	85983136.00
1997/04/24	8.68	9.53	8.42	9.52	3420400	131924280.00
1997/04/25	9.55	9.67	8.86	8.99	3146600	125067600.00
1997/04/28	9.16	9.40	8.84	8.84	2949100	114403272.00
1997/04/29	8.39	8.76	7.93	8.44	1701600	61519124.00
1997/04/30	8.47	8.78	8.46	8.53	1897200	70386544.00
1997/05/05	8.48	8.80	8.42	8.64	1650800	61613116.00
1997/05/06	8.69	9.20	8.65	8.95	1874700	72029704.00
1997/05/07	8.99	9.13	8.78	8.81	1722300	65519624.00
1997/05/08	8.79	8.81	7.69	8.11	1725700	64273284.00
1997/05/09	8.24	8.63	8.17	8.60	1290700	47069576.00
1997/05/12	8.60	8.84	8.42	8.60	1115300	41383148.00
1997/05/13	8.60	8.60	8.24	8.42	750300	27394180.00
1997/05/14	8.29	8.33	7.87	7.87	1334600	47119276.00
1997/05/15	7.83	8.24	7.83	8.23	648900	22965536.00
1997/05/16	7.16	7.96	7.15	7.20	1578000	52438656.00
1997/05/19	7.34	7.54	7.26	7.39	503600	16669497.00
1997/05/20	7.50	8.14	7.48	8.12	1160000	40429184.00
1997/05/21	8.08	8.11	7.69	7.84	1334000	46308448.00
1997/05/22	7.05	7.48	6.80	6.94	1504600	48887828.00
1997/05/23	7.03	7.48	7.03	7.42	843100	27735392.00
1997/05/26	7.65	7.93	7.48	7.90	849900	29090092.00
1997/05/27	7.96	8.39	7.83	7.96	979500	34663376.00
1997/05/28	7.93	8.29	7.84	7.93	723500	25357378.00
1997/05/29	7.93	8.05	7.85	7.86	562500	19775320.00
1997/05/30	7.93	7.99	7.75	7.96	369800	12883792.00
1997/06/02	8.17	8.54	8.04	8.06	587700	20980844.00
1997/06/03	8.08	8.17	7.81	7.96	629500	22104292.00
1997/06/04	8.14	8.14	7.93	8.06	610100	21516108.00
1997/06/05	8.08	8.40	8.02	8.29	1396600	50230556.00
1997/06/06	7.60	8.05	7.48	7.72	1115500	38340232.00
1997/06/09	7.99	7.99	7.36	7.52	452400	10806631.00
1997/06/10	7.49	7.62	6.94	7.07	359200	8469409.00
1997/06/11	7.15	7.15	6.31	6.72	619800	13443365.00
1997/06/12	6.73	6.90	6.52	6.61	399700	8715704.00
1997/06/13	5.81	6.89	5.81	6.73	685300	14610042.00
1997/06/16	6.93	6.98	6.65	6.73	643900	14321812.00
1997/06/17	6.73	6.73	6.56	6.61	341200	7429454.00
1997/06/18	6.65	6.85	6.52	6.53	350500	7608537.00
1997/06/19	6.56	6.73	6.56	6.60	326600	7097777.00
1997/06/20	6.73	7.17	6.65	7.15	620400	13987893.00
1997/06/23	7.40	7.70	6.94	7.24	960600	22515388.00
1997/06/24	7.28	7.48	7.09	7.32	508800	11771669.00
1997/06/25	7.32	7.45	7.19	7.26	463800	10821688.00
1997/06/26	7.15	7.61	6.98	7.48	846500	20171008.00
1997/06/27	7.62	8.20	7.50	7.76	2016700	49619400.00
1997/07/02	7.89	7.99	6.73	7.45	831300	19931256.00
1997/07/03	7.36	7.36	6.94	6.98	578900	13325471.00
1997/07/04	6.93	7.28	6.77	7.03	578100	13153519.00
1997/07/07	7.02	7.23	6.31	6.67	371400	8265199.00
1997/07/08	6.86	6.94	6.32	6.75	383600	8356254.00
1997/07/09	6.77	6.90	6.64	6.72	271200	5979171.00
1997/07/10	6.90	6.90	6.65	6.65	228900	5033221.00
1997/07/11	7.49	7.51	7.10	7.35	1191200	27742660.00
1997/07/14	7.49	7.57	7.24	7.35	526700	12350827.00
1997/07/15	7.36	7.41	7.07	7.19	432500	9972533.00
1997/07/16	7.19	7.78	7.11	7.62	2249800	54029560.00
1997/07/17	7.70	7.78	7.41	7.45	1182000	28554842.00
1997/07/18	7.53	7.74	7.36	7.71	838300	20053556.00
1997/07/21	7.78	7.78	7.37	7.41	514100	12316114.00
1997/07/22	7.36	7.45	7.07	7.35	464200	10798182.00
1997/07/23	7.43	7.70	7.15	7.31	346800	8201554.00
1997/07/24	7.26	7.45	7.07	7.09	294900	6778487.00
1997/07/25	6.95	7.20	6.92	7.15	332400	7563159.00
1997/07/28	7.07	7.07	6.69	6.75	278400	6177626.00
1997/07/29	6.73	6.98	6.63	6.73	291300	6437799.00
1997/07/30	6.77	6.90	6.61	6.86	234400	5179630.00
1997/07/31	6.96	7.07	6.82	6.88	178800	4029100.00
1997/08/01	6.89	7.26	6.79	7.24	343000	7813960.00
1997/08/04	7.16	7.17	6.98	7.01	109300	2484596.00
1997/08/05	7.02	7.24	6.82	7.05	228900	5232847.00
1997/08/06	7.11	7.22	6.88	6.94	122200	2789182.00
1997/08/07	6.87	7.15	6.77	7.09	163100	3658943.00
1997/08/08	6.99	7.78	6.99	7.78	3074100	72672464.00
1997/08/11	7.66	7.66	7.14	7.19	525600	12349069.00
1997/08/12	7.19	7.35	6.94	6.94	267000	6166696.00
1997/08/13	6.95	7.27	6.90	7.03	252700	5763036.00
1997/08/14	7.07	7.24	6.98	7.15	264300	6069008.00
1997/08/15	7.36	7.36	6.90	6.99	186400	4249891.00
1997/08/18	6.99	7.07	6.80	6.99	159300	3561989.00
1997/08/19	7.07	7.17	6.98	7.01	64300	1465534.00
1997/08/20	7.01	7.16	6.96	7.11	86200	1967813.00
1997/08/21	7.09	7.12	7.02	7.11	184800	4224848.00
1997/08/22	7.07	7.36	7.06	7.21	564900	13054039.00
1997/08/25	7.15	7.36	7.15	7.25	158500	3684169.00
1997/08/26	7.37	7.40	7.27	7.31	330400	7743750.00
1997/08/27	7.36	7.36	7.12	7.19	171800	3973681.00
1997/08/28	7.23	7.24	6.99	7.03	244200	5566465.00
1997/08/29	7.07	7.10	6.90	6.99	256800	5807239.00
1997/09/01	6.98	7.00	6.82	6.82	306700	6842225.00
1997/09/02	6.86	7.04	6.86	6.92	279100	6282194.00
1997/09/03	6.93	7.15	6.93	7.15	282100	6450009.00
1997/09/04	7.24	7.26	7.11	7.15	285400	6581739.00
1997/09/05	7.15	7.22	7.06	7.16	291900	6706533.00
1997/09/08	7.16	7.17	6.98	7.15	209500	4780384.00
1997/09/09	7.13	7.17	7.06	7.12	166700	3815669.00
1997/09/10	7.07	7.14	6.94	7.00	185300	4202065.00
1997/09/11	7.02	7.41	6.98	7.14	426800	9846308.00
1997/09/12	7.15	7.15	6.94	6.95	197100	4472125.00
1997/09/15	6.92	7.03	6.82	6.83	183600	4109075.00
1997/09/16	6.82	6.90	6.79	6.82	101900	2262573.00
1997/09/17	6.87	6.87	6.65	6.72	102900	2268185.00
1997/09/18	6.73	6.86	6.73	6.74	110300	2439051.00
1997/09/19	6.82	6.82	6.64	6.69	107400	2355994.00
1997/09/22	6.73	6.73	6.14	6.14	146400	3086104.00
1997/09/23	6.06	6.06	5.30	5.41	226600	4452362.00
1997/09/24	5.56	5.83	5.56	5.83	221500	4321205.00
1997/09/25	5.89	6.06	5.81	5.82	212800	4272217.00
1997/09/26	5.83	5.83	5.62	5.68	115400	2255713.00
1997/09/29	5.66	5.66	5.47	5.50	129100	2466155.00
1997/09/30	5.58	6.13	5.58	5.69	130700	2561157.00
1997/10/06	5.70	5.72	5.64	5.70	42200	823033.00
1997/10/07	5.74	5.74	5.60	5.74	30800	601084.00
1997/10/08	5.89	6.05	5.81	5.95	117200	2357776.00
1997/10/09	5.89	5.97	5.81	5.81	59100	1181712.00
1997/10/10	5.73	5.93	5.73	5.89	48400	964971.00
1997/10/13	5.89	6.02	5.81	5.81	52200	1043373.00
1997/10/14	5.81	5.81	5.68	5.74	42400	834367.00
1997/10/15	5.74	6.18	5.74	6.11	249800	5076208.00
1997/10/16	6.14	6.47	6.14	6.44	301100	6346922.00
1997/10/17	6.51	6.94	6.45	6.74	358700	7902255.00
1997/10/20	6.88	6.92	6.73	6.79	458200	10133647.00
1997/10/21	6.79	6.86	6.65	6.86	186000	4093296.00
