600052 浙江广厦 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/15	5.60	6.09	5.60	6.03	25274700	458471168.00
1997/04/16	5.95	5.95	5.69	5.74	8099900	146077696.00
1997/04/17	5.71	5.82	5.60	5.63	3189500	56024464.00
1997/04/18	5.62	5.68	5.53	5.64	2982100	50761980.00
1997/04/21	5.70	5.77	5.64	5.66	2176000	38063076.00
1997/04/22	5.67	5.82	5.64	5.79	2939900	52321668.00
1997/04/23	5.79	5.85	5.60	5.82	3396800	60987804.00
1997/04/24	5.79	5.93	5.75	5.89	4439700	81473320.00
1997/04/25	5.91	6.25	5.91	6.22	7799400	154112480.00
1997/04/28	6.45	6.62	6.45	6.62	6172400	136276976.00
1997/04/29	6.68	6.85	6.29	6.83	6875100	150923568.00
1997/04/30	6.98	7.28	6.81	7.07	3700200	90466952.00
1997/05/05	7.05	7.15	6.93	7.05	1936400	47037208.00
1997/05/06	7.03	7.24	6.94	7.16	2804600	69408640.00
1997/05/07	7.17	7.21	7.01	7.10	2458800	60567168.00
1997/05/08	7.09	7.09	6.62	6.70	2574400	61099400.00
1997/05/09	6.76	6.97	6.63	6.97	1694600	39308656.00
1997/05/12	7.03	7.07	6.78	6.89	1411800	33586932.00
1997/05/13	6.88	6.88	6.71	6.80	1269500	29135684.00
1997/05/14	6.74	6.87	6.66	6.74	1255200	28658752.00
1997/05/15	6.77	6.86	6.69	6.83	774700	17843344.00
1997/05/16	6.37	6.78	6.37	6.45	1263400	27373264.00
1997/05/19	6.48	6.64	6.29	6.48	596600	12571395.00
1997/05/20	6.48	6.60	6.43	6.57	855100	18617836.00
1997/05/21	6.56	6.56	6.29	6.41	585500	12481958.00
1997/05/22	6.04	6.36	6.00	6.01	844100	16700161.00
1997/05/23	6.09	6.22	5.99	6.19	702400	13789710.00
1997/05/26	6.24	6.29	6.09	6.28	621600	12502169.00
1997/05/27	6.32	6.48	6.29	6.44	1215500	25677124.00
1997/05/28	6.45	6.48	6.32	6.38	934600	19646340.00
1997/05/29	6.38	6.47	6.37	6.41	546800	11586370.00
1997/05/30	6.43	6.43	6.19	6.25	1399900	28729264.00
1997/06/02	6.38	6.38	6.23	6.33	1354000	27907388.00
1997/06/03	6.36	6.71	6.27	6.58	5766400	124981952.00
1997/06/04	6.64	6.67	6.56	6.64	3099600	68856592.00
1997/06/05	6.64	6.64	6.48	6.58	1606100	35058156.00
1997/06/06	6.29	6.42	6.21	6.25	2154700	44534552.00
1997/06/09	6.25	6.34	6.23	6.30	566100	11601231.00
1997/06/10	6.31	6.38	6.15	6.15	432100	8862664.00
1997/06/11	6.19	6.34	6.11	6.34	812200	16172840.00
1997/06/12	6.34	6.34	6.18	6.21	386900	7862256.00
1997/06/13	6.09	6.34	6.01	6.32	537400	10878011.00
1997/06/16	6.42	6.54	6.36	6.36	820300	17544912.00
1997/06/17	6.36	6.46	6.36	6.40	405900	8591293.00
1997/06/18	6.48	6.48	6.29	6.33	440000	9277822.00
1997/06/19	6.43	6.46	6.32	6.33	391500	8193749.00
1997/06/20	6.39	6.57	6.36	6.52	855900	18366876.00
1997/06/24	6.58	6.74	6.54	6.60	1613400	36028068.00
1997/06/25	6.62	6.68	6.46	6.54	946900	20714156.00
1997/06/26	6.54	6.68	6.46	6.60	1338200	29477700.00
1997/06/27	6.64	6.77	6.54	6.66	1846000	41482240.00
1997/07/02	6.69	6.72	6.21	6.56	1083500	23398852.00
1997/07/03	6.42	6.48	6.20	6.31	1252600	26011072.00
