600053 九鼎投资 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/18	5.03	5.26	4.73	4.92	24543000	327350656.00
1997/04/21	5.06	5.47	5.06	5.47	6677100	95696192.00
1997/04/22	5.88	6.07	5.84	6.07	15525800	245781408.00
1997/04/23	6.33	6.73	6.29	6.40	12266500	209997920.00
1997/04/24	6.41	7.09	6.41	7.09	8127200	143459680.00
1997/04/25	7.36	7.85	7.32	7.85	6276100	126432200.00
1997/04/28	8.31	8.69	8.30	8.69	3854100	85303424.00
1997/04/29	9.53	9.61	7.77	8.35	8027000	181152608.00
1997/04/30	8.20	8.46	7.76	8.43	4560000	97760504.00
1997/05/05	8.43	9.13	8.43	8.74	3367700	75892360.00
1997/05/06	8.84	9.09	8.30	8.78	4192700	94149584.00
1997/05/07	8.70	8.72	8.46	8.61	2750300	61081524.00
1997/05/08	8.51	9.01	8.10	8.11	3348900	74476176.00
1997/05/09	8.22	8.51	7.86	8.45	3000800	63699136.00
1997/05/12	8.43	8.64	8.27	8.37	2491200	54389680.00
1997/05/13	8.18	8.37	8.02	8.18	1553900	32876064.00
1997/05/14	8.00	8.43	7.94	7.98	1492200	31453308.00
1997/05/15	8.02	8.10	7.57	8.02	1398000	28576230.00
1997/05/16	7.28	7.77	7.17	7.17	1908200	37080732.00
1997/05/19	6.99	7.49	6.87	7.24	1387200	25787660.00
1997/05/20	7.28	7.47	7.24	7.42	1177600	22648176.00
1997/05/21	7.45	7.45	7.07	7.16	1065900	20002530.00
1997/05/22	6.39	6.99	6.39	6.40	1689500	29147272.00
1997/05/23	6.40	7.07	6.40	6.92	1557300	27608720.00
1997/05/26	7.08	7.24	6.52	6.89	1097200	19786056.00
1997/05/27	6.93	7.03	6.79	6.93	990200	17984338.00
1997/05/28	6.94	7.07	6.75	6.98	934100	16878740.00
1997/05/29	6.96	7.20	6.77	6.93	1138800	21057570.00
1997/05/30	6.87	7.03	6.78	6.97	616500	11128210.00
1997/06/02	7.08	7.38	6.99	7.20	1125700	21157458.00
1997/06/03	7.20	7.40	7.08	7.24	1340400	25424832.00
1997/06/04	7.28	7.35	7.03	7.09	982700	18247810.00
1997/06/05	7.03	7.22	6.98	7.05	967800	17931750.00
1997/06/06	6.38	6.83	6.38	6.58	1510000	26227300.00
1997/06/09	6.54	6.54	6.25	6.50	609800	10304719.00
1997/06/10	6.54	6.58	6.36	6.39	400600	6806514.00
1997/06/11	6.41	6.42	5.79	6.12	603000	9581645.00
1997/06/12	6.10	6.27	6.04	6.11	421700	6814350.00
1997/06/13	5.88	6.25	5.76	6.20	639100	10194402.00
1997/06/16	6.25	6.62	6.17	6.46	893200	14909654.00
1997/06/17	6.41	6.46	6.29	6.29	384300	6428993.00
1997/06/18	6.29	6.32	6.13	6.17	313300	5127195.00
1997/06/19	6.09	6.60	6.01	6.33	1129000	19062058.00
1997/06/20	6.46	6.86	6.46	6.84	1893000	33499992.00
1997/06/23	6.97	7.07	6.13	6.84	1594600	28814480.00
1997/06/24	6.91	7.03	6.86	6.97	970000	17629740.00
1997/06/25	7.08	7.38	7.05	7.12	1422600	26825092.00
1997/06/26	7.12	7.12	6.89	7.02	611200	11228367.00
1997/06/27	6.99	7.12	6.71	6.75	883200	16034904.00
1997/07/02	6.77	6.82	6.02	6.34	754100	12570374.00
1997/07/03	6.34	6.38	6.01	6.09	656100	10556724.00
1997/07/04	6.05	6.19	5.84	6.09	386300	6195087.00
1997/07/07	6.11	6.25	5.55	5.64	425600	6608144.00
1997/07/08	5.59	5.77	5.31	5.67	515800	7632586.00
1997/07/09	5.67	5.71	5.59	5.65	479400	7181362.00
1997/07/10	5.68	5.92	5.62	5.69	408500	6267825.00
1997/07/11	5.64	5.88	5.44	5.88	400200	6152493.00
1997/07/14	5.88	6.16	5.88	6.03	601600	9573075.00
1997/07/15	6.03	6.11	5.78	5.92	605800	9514391.00
1997/07/16	5.92	6.09	5.68	6.01	513300	7987043.00
1997/07/17	6.01	6.01	5.80	5.90	423700	6614344.00
1997/07/18	5.90	6.01	5.80	5.96	410700	6419294.00
1997/07/21	6.05	6.45	6.00	6.23	1208900	19945168.00
1997/07/22	6.13	6.23	5.87	6.10	522700	8347582.00
1997/07/23	6.13	6.21	5.95	6.00	359200	5777782.00
1997/07/24	6.03	6.10	5.84	5.84	275500	4318645.00
1997/07/25	5.72	5.85	5.65	5.76	330600	5054395.00
1997/07/28	5.76	5.76	5.55	5.59	311900	4667055.00
1997/07/29	5.51	5.64	5.44	5.58	254600	3772948.00
1997/07/30	5.64	5.76	5.64	5.72	173300	2622658.00
1997/07/31	5.75	5.82	5.72	5.73	216700	3319632.00
1997/08/01	5.70	5.83	5.64	5.80	246000	3730867.00
1997/08/04	5.79	5.99	5.79	5.95	393400	6171608.00
1997/08/05	5.95	5.95	5.82	5.86	225700	3511714.00
1997/08/06	5.84	5.84	5.68	5.68	232500	3535869.00
1997/08/07	5.64	5.71	5.55	5.71	230400	3446542.00
1997/08/08	5.09	5.09	5.09	5.09	385700	5268664.00
1997/08/11	4.53	4.89	4.52	4.57	1728000	21676144.00
1997/08/12	4.53	4.72	4.49	4.59	556700	6996171.00
1997/08/13	4.32	4.56	4.32	4.33	466600	5610340.00
1997/08/14	4.38	4.49	4.32	4.47	560500	6720100.00
1997/08/15	4.47	4.49	4.22	4.30	480600	5677730.00
1997/08/18	4.24	4.27	4.00	4.07	418000	4686606.00
1997/08/19	4.05	4.30	4.05	4.17	266800	3046083.00
1997/08/20	4.20	4.34	4.17	4.33	207700	2409686.00
1997/08/21	4.36	4.36	4.25	4.34	362200	4260138.00
1997/08/22	4.32	4.40	4.26	4.36	362200	4272505.00
1997/08/25	4.40	4.53	4.40	4.45	375800	4555323.00
1997/08/26	4.45	4.45	4.36	4.38	405500	4852172.00
1997/08/27	4.40	4.49	4.39	4.42	400600	4839773.00
1997/08/28	4.44	4.44	4.34	4.40	318400	3800719.00
1997/08/29	4.40	4.45	4.34	4.38	405900	4833974.00
1997/09/01	4.41	4.44	4.32	4.38	467800	5594148.00
1997/09/02	4.40	4.61	4.35	4.56	610600	7488160.00
1997/09/03	4.57	4.61	4.50	4.54	410700	5067322.00
1997/09/04	4.56	4.81	4.55	4.80	931300	11908475.00
1997/09/05	4.76	4.77	4.69	4.73	388500	4968736.00
1997/09/08	4.73	4.73	4.57	4.67	327400	4111695.00
1997/09/09	4.63	4.63	4.45	4.45	211000	2615216.00
1997/09/10	4.49	4.69	4.49	4.59	251400	3110947.00
1997/09/11	4.64	4.65	4.47	4.47	275500	3389271.00
1997/09/12	4.48	4.57	4.32	4.36	238000	2880132.00
1997/09/15	4.40	4.40	4.20	4.26	196300	2294047.00
1997/09/16	4.28	4.36	4.24	4.27	146100	1703133.00
1997/09/17	4.29	4.29	4.20	4.23	99400	1150844.00
1997/09/18	4.28	4.28	4.20	4.26	123500	1437655.00
1997/09/19	4.26	4.39	4.25	4.35	88300	1044654.00
1997/09/22	4.38	4.38	4.03	4.06	188800	2149110.00
1997/09/23	3.95	4.06	3.60	3.62	285800	3002745.00
1997/09/24	3.77	3.87	3.66	3.86	243900	2528823.00
1997/09/25	3.91	4.01	3.87	3.91	253800	2752311.00
1997/09/26	3.91	3.91	3.76	3.90	134700	1428548.00
1997/09/29	3.75	3.79	3.69	3.70	149500	1545561.00
1997/09/30	3.75	3.79	3.75	3.78	100500	1052183.00
1997/10/06	3.86	3.87	3.74	3.75	83900	879599.00
1997/10/07	3.78	3.79	3.69	3.77	55200	575336.00
1997/10/08	3.86	3.95	3.79	3.92	149300	1604128.00
1997/10/09	3.94	3.94	3.85	3.86	158600	1706329.00
1997/10/10	3.89	3.94	3.83	3.94	182700	1970645.00
1997/10/13	3.93	4.01	3.91	3.98	183100	2005735.00
1997/10/14	3.97	3.99	3.89	3.94	165100	1792746.00
1997/10/15	3.91	4.07	3.91	4.06	209300	2317282.00
1997/10/16	4.06	4.28	4.06	4.24	358600	4120176.00
1997/10/17	4.20	4.44	4.20	4.32	599300	7026877.00
1997/10/20	4.20	4.45	4.20	4.45	1790700	21247912.00
1997/10/21	4.40	4.40	4.28	4.32	1346900	15934601.00
1997/10/22	4.29	4.30	4.08	4.12	1424100	16263214.00
1997/10/23	4.08	4.16	4.03	4.08	529500	5937410.00
1997/10/24	4.08	4.08	3.95	4.06	600300	6640869.00
1997/10/27	4.07	4.52	4.06	4.52	1865100	22235572.00
1997/10/28	4.61	4.82	4.36	4.49	3160200	39778000.00
1997/10/29	4.39	4.56	4.22	4.40	1059900	12618680.00
1997/10/30	4.45	4.49	4.28	4.28	845100	10037443.00
1997/10/31	4.18	4.27	4.15	4.26	365800	4215008.00
1997/11/03	4.29	4.38	4.26	4.27	217700	2558741.00
1997/11/04	4.32	4.32	4.17	4.18	280700	3224582.00
1997/11/05	4.19	4.25	4.14	4.24	377500	4327382.00
1997/11/06	4.26	4.33	4.15	4.18	324500	3772141.00
1997/11/07	4.20	4.32	4.12	4.26	318900	3671842.00
1997/11/10	4.24	4.47	4.24	4.31	647700	7684798.00
1997/11/11	4.28	4.28	4.14	4.22	241500	2782386.00
1997/11/12	4.30	4.32	4.14	4.15	265100	3034304.00
1997/11/13	4.20	4.34	4.14	4.31	468600	5445308.00
1997/11/14	4.29	4.34	4.22	4.30	335400	3933504.00
1997/11/17	4.42	4.43	4.22	4.24	305600	3608554.00
1997/11/18	4.20	4.24	4.12	4.16	233000	2668586.00
1997/11/19	4.16	4.22	4.12	4.15	163100	1857609.00
1997/11/20	4.16	4.20	3.99	4.04	311300	3500193.00
1997/11/21	3.99	4.08	3.95	3.99	293400	3224574.00
1997/11/24	4.03	4.03	3.80	3.80	250000	2689587.00
1997/11/25	3.79	3.87	3.74	3.78	240800	2522813.00
1997/11/26	3.83	3.97	3.83	3.91	166700	1803695.00
1997/11/27	3.90	3.90	3.75	3.76	129800	1370002.00
1997/11/28	3.73	3.89	3.69	3.83	130000	1355477.00
1997/12/01	3.81	3.83	3.74	3.79	152800	1597174.00
1997/12/02	3.79	3.83	3.77	3.78	97700	1025423.00
1997/12/03	3.79	3.81	3.75	3.81	123700	1298987.00
1997/12/04	3.81	3.90	3.71	3.87	234800	2482915.00
1997/12/05	3.89	3.89	3.83	3.85	167600	1787617.00
1997/12/08	3.99	3.99	3.83	3.90	135400	1454458.00
1997/12/09	3.89	3.98	3.87	3.94	182700	1990364.00
1997/12/10	3.97	3.98	3.87	3.92	142800	1545668.00
1997/12/11	3.95	4.26	3.95	4.09	905800	10300699.00
1997/12/12	4.08	4.11	3.92	3.92	237500	2644498.00
1997/12/15	3.96	4.08	3.91	4.07	319200	3541943.00
1997/12/16	4.11	4.23	4.11	4.16	569700	6525275.00
1997/12/17	4.14	4.15	3.95	3.95	304300	3370195.00
1997/12/18	3.91	3.99	3.86	3.95	272400	2950350.00
1997/12/19	3.95	3.96	3.85	3.95	270100	2906520.00
1997/12/22	3.96	4.04	3.83	4.04	386800	4170996.00
1997/12/23	4.08	4.09	3.92	3.96	227800	2496613.00
1997/12/24	3.91	3.99	3.87	3.94	321200	3475357.00
1997/12/25	3.99	4.10	3.92	4.09	634200	7085547.00
1997/12/26	4.17	4.23	4.09	4.17	792900	9078123.00
1997/12/30	4.17	4.17	3.95	3.99	329900	3660403.00
1997/12/31	3.99	4.14	3.94	4.08	377400	4179133.00
1998/01/05	4.05	4.15	3.97	4.09	698400	7774811.00
1998/01/06	4.12	4.45	3.99	4.40	1676300	19516532.00
1998/01/07	4.39	4.45	4.29	4.36	1187900	14131338.00
1998/01/08	4.37	4.40	4.22	4.24	615700	7208963.00
1998/01/09	4.20	4.31	4.12	4.15	722500	8305918.00
1998/01/12	4.15	4.35	4.15	4.16	597200	6955915.00
1998/01/13	4.11	4.11	3.69	3.83	770800	8214698.00
1998/01/14	3.85	3.96	3.85	3.92	520700	5628022.00
1998/01/15	3.91	4.08	3.91	4.00	388200	4254181.00
1998/01/16	3.97	4.12	3.89	3.99	386500	4251222.00
1998/01/19	3.95	3.99	3.88	3.88	287500	3101973.00
