600055 万东医疗 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/19	1.27	1.29	1.13	1.14	7825500	180567968.00
1997/05/20	1.12	1.12	1.06	1.09	2419700	52540184.00
1997/05/21	1.10	1.12	1.02	1.03	1778400	38422880.00
1997/05/22	0.90	0.97	0.90	0.90	1705500	32482382.00
1997/05/23	0.90	0.95	0.85	0.91	1083400	20493992.00
1997/05/26	0.94	0.95	0.84	0.90	793300	14909662.00
1997/05/27	0.92	0.94	0.89	0.92	906000	17412286.00
1997/05/28	0.92	0.98	0.88	0.94	1059900	20583466.00
1997/05/29	0.94	1.01	0.93	0.95	1144300	22947444.00
1997/05/30	0.95	0.99	0.93	0.97	603900	11969062.00
1997/06/02	1.02	1.05	0.99	1.05	1413800	29628084.00
1997/06/03	1.07	1.09	1.02	1.04	1422000	30435116.00
1997/06/04	1.02	1.05	1.00	1.01	805800	16699736.00
1997/06/05	1.02	1.03	0.99	1.00	702100	14444587.00
1997/06/06	0.91	0.96	0.88	0.90	1022500	19652460.00
1997/06/09	0.92	0.94	0.90	0.94	419400	8044559.00
1997/06/10	0.95	0.95	0.89	0.89	272400	5227542.00
1997/06/11	0.89	0.90	0.83	0.86	483700	8829914.00
1997/06/12	0.88	0.88	0.85	0.85	251200	4602739.00
1997/06/13	0.82	0.90	0.81	0.89	431600	7905115.00
1997/06/16	0.90	0.92	0.89	0.89	262600	4968630.00
1997/06/17	0.88	0.88	0.85	0.87	189600	3498400.00
1997/06/18	0.87	0.89	0.86	0.86	243000	4491938.00
1997/06/19	0.87	0.89	0.86	0.87	183800	3393179.00
1997/06/20	0.88	0.92	0.88	0.91	297000	5643774.00
1997/06/23	0.93	0.94	0.87	0.89	431500	8187216.00
1997/06/24	0.89	0.89	0.88	0.89	245900	4612101.00
1997/06/25	0.89	0.92	0.87	0.91	273900	5164201.00
1997/06/26	0.90	0.90	0.88	0.90	182000	3428253.00
1997/06/27	0.89	0.94	0.87	0.91	635300	12201108.00
1997/07/02	0.93	1.00	0.87	0.99	1237600	24671362.00
1997/07/03	0.97	0.98	0.92	0.93	515700	10170149.00
1997/07/04	0.93	0.97	0.91	0.94	409500	8016325.00
1997/07/07	0.96	0.99	0.92	0.95	758200	15076224.00
1997/07/08	0.97	0.98	0.87	0.90	581500	11217474.00
1997/07/09	0.91	0.92	0.87	0.89	351000	6579705.00
1997/07/10	0.94	0.94	0.89	0.89	226000	4314927.00
1997/07/11	0.89	0.94	0.88	0.94	403500	7783397.00
1997/07/14	0.96	0.96	0.93	0.95	415500	8159565.00
1997/07/15	0.95	0.95	0.90	0.94	359800	6958012.00
1997/07/16	0.94	1.01	0.92	1.00	823400	16577086.00
1997/07/17	0.99	1.05	0.97	1.02	1387800	29008880.00
1997/07/18	1.03	1.04	0.98	1.03	616700	12853607.00
1997/07/21	1.04	1.06	0.99	1.00	554300	11601994.00
1997/07/22	0.99	1.04	0.97	1.03	531700	10883084.00
1997/07/23	1.05	1.06	0.99	1.00	314900	6534316.00
1997/07/24	0.99	1.00	0.96	0.96	296200	5960208.00
1997/07/25	0.94	0.97	0.94	0.95	192400	3797056.00
1997/07/28	0.94	0.94	0.90	0.90	219300	4193820.00
1997/07/29	0.90	0.94	0.88	0.92	143900	2749577.00
1997/07/30	0.92	0.93	0.92	0.92	128800	2485443.00
1997/07/31	0.93	0.96	0.93	0.93	160600	3142102.00
1997/08/01	0.93	0.93	0.91	0.92	278800	5354848.00
1997/08/04	0.93	0.93	0.90	0.91	161300	3082255.00
1997/08/05	0.91	0.94	0.91	0.91	107800	2079137.00
1997/08/06	0.92	0.93	0.89	0.90	145700	2770630.00
1997/08/07	0.89	0.92	0.89	0.92	138800	2622358.00
1997/08/08	0.94	0.94	0.87	0.87	312200	5863905.00
1997/08/11	0.87	0.87	0.75	0.75	754400	12764572.00
1997/08/12	0.74	0.79	0.72	0.76	194700	3247727.00
1997/08/13	0.65	0.67	0.65	0.65	191100	2871255.00
1997/08/14	0.62	0.68	0.62	0.68	448200	6700324.00
1997/08/15	0.67	0.68	0.64	0.66	284100	4280840.00
1997/08/18	0.65	0.66	0.62	0.65	181500	2678398.00
1997/08/19	0.66	0.66	0.63	0.65	184200	2759974.00
1997/08/20	0.65	0.67	0.65	0.66	79100	1193063.00
1997/08/21	0.67	0.67	0.64	0.66	158100	2405650.00
1997/08/22	0.66	0.71	0.65	0.70	235500	3671392.00
1997/08/25	0.71	0.73	0.70	0.71	219200	3526046.00
1997/08/26	0.71	0.72	0.70	0.72	204100	3266603.00
1997/08/27	0.72	0.72	0.71	0.71	153200	2453101.00
1997/08/28	0.71	0.71	0.71	0.71	299300	4785393.00
1997/08/29	0.72	0.73	0.68	0.72	226300	3641064.00
1997/09/01	0.72	0.72	0.70	0.71	158100	2524214.00
1997/09/02	0.71	0.74	0.71	0.73	128100	2065568.00
1997/09/03	0.73	0.74	0.73	0.74	102500	1677648.00
1997/09/04	0.74	0.75	0.73	0.74	118700	1944778.00
1997/09/05	0.74	0.77	0.68	0.75	278000	4608569.00
1997/09/08	0.75	0.76	0.71	0.74	112900	1845434.00
1997/09/09	0.73	0.74	0.71	0.71	156000	2517731.00
1997/09/10	0.71	0.72	0.69	0.69	176600	2814160.00
1997/09/11	0.70	0.76	0.70	0.73	304000	4985324.00
1997/09/12	0.73	0.78	0.72	0.72	347400	5767641.00
1997/09/15	0.74	0.77	0.73	0.74	229800	3806123.00
1997/09/16	0.74	0.75	0.73	0.75	75300	1240335.00
1997/09/17	0.75	0.78	0.74	0.77	370800	6263670.00
1997/09/18	0.77	0.78	0.75	0.76	97800	1646495.00
1997/09/19	0.76	0.78	0.73	0.76	123500	2053101.00
1997/09/22	0.76	0.76	0.69	0.70	208300	3341798.00
1997/09/23	0.70	0.70	0.60	0.64	145000	2209834.00
1997/09/24	0.64	0.71	0.64	0.70	146500	2269393.00
1997/09/25	0.70	0.71	0.69	0.70	137100	2158661.00
1997/09/26	0.70	0.71	0.67	0.69	77300	1211382.00
1997/09/29	0.67	0.69	0.67	0.68	73800	1141722.00
1997/09/30	0.68	0.70	0.68	0.69	28800	453225.00
1997/10/06	0.69	0.71	0.68	0.70	39900	631266.00
1997/10/07	0.69	0.71	0.69	0.71	40300	639650.00
1997/10/08	0.71	0.75	0.71	0.75	79600	1312401.00
1997/10/09	0.75	0.75	0.73	0.73	70500	1164550.00
1997/10/10	0.73	0.75	0.73	0.75	53200	879663.00
1997/10/13	0.75	0.75	0.74	0.74	42200	697522.00
1997/10/14	0.74	0.76	0.73	0.75	102300	1696108.00
1997/10/15	0.75	0.76	0.73	0.75	66800	1109011.00
1997/10/16	0.75	0.78	0.74	0.77	180500	3050661.00
1997/10/17	0.79	0.79	0.77	0.78	144900	2471235.00
1997/10/20	0.78	0.79	0.77	0.78	291500	4970414.00
1997/10/21	0.79	0.79	0.77	0.78	122700	2089705.00
1997/10/22	0.78	0.78	0.76	0.76	144100	2439317.00
1997/10/23	0.77	0.78	0.76	0.76	159400	2691425.00
1997/10/24	0.76	0.78	0.76	0.77	114600	1940886.00
1997/10/27	0.76	0.82	0.76	0.82	219500	3842983.00
1997/10/28	0.83	0.83	0.76	0.77	160100	2771410.00
1997/10/29	0.76	0.80	0.75	0.80	132400	2269285.00
1997/10/30	0.80	0.81	0.78	0.79	134900	2328742.00
1997/10/31	0.78	0.79	0.76	0.79	64900	1095942.00
1997/11/03	0.76	0.79	0.76	0.77	65100	1101434.00
1997/11/04	0.77	0.80	0.77	0.78	104600	1794537.00
1997/11/05	0.79	0.81	0.78	0.81	144600	2510271.00
1997/11/06	0.81	0.81	0.79	0.79	122000	2120588.00
1997/11/07	0.79	0.80	0.78	0.80	116800	2018810.00
1997/11/10	0.79	0.83	0.79	0.80	96400	1698634.00
1997/11/11	0.81	0.82	0.78	0.80	49400	850009.00
1997/11/12	0.80	0.81	0.78	0.79	49900	861666.00
1997/11/13	0.79	0.80	0.77	0.80	56500	962883.00
1997/11/14	0.79	0.80	0.78	0.80	39400	678864.00
1997/11/17	0.80	0.80	0.78	0.79	63700	1101174.00
1997/11/18	0.80	0.80	0.78	0.79	73800	1276808.00
1997/11/19	0.77	0.79	0.75	0.77	213500	3607782.00
1997/11/20	0.77	0.79	0.76	0.77	78200	1325608.00
1997/11/21	0.76	0.76	0.75	0.75	97500	1627901.00
1997/11/24	0.75	0.75	0.71	0.71	89100	1445683.00
1997/11/25	0.72	0.73	0.70	0.71	55100	879414.00
1997/11/26	0.72	0.74	0.71	0.72	33500	542654.00
1997/11/27	0.74	0.74	0.72	0.72	35800	580650.00
1997/11/28	0.73	0.73	0.71	0.73	53700	867965.00
1997/12/01	0.73	0.74	0.73	0.74	39600	646615.00
1997/12/02	0.73	0.75	0.73	0.75	36100	597745.00
1997/12/03	0.78	0.78	0.75	0.77	49000	818340.00
1997/12/04	0.75	0.78	0.75	0.78	107700	1830925.00
1997/12/05	0.78	0.84	0.78	0.80	370900	6530032.00
1997/12/08	0.83	0.84	0.81	0.84	274300	4890539.00
1997/12/09	0.83	0.85	0.83	0.83	151500	2716743.00
1997/12/10	0.83	0.85	0.82	0.84	215800	3876823.00
1997/12/11	0.84	0.84	0.82	0.83	125100	2231795.00
1997/12/12	0.83	0.83	0.82	0.83	119100	2120477.00
1997/12/15	0.82	0.88	0.82	0.87	308300	5652806.00
1997/12/16	0.90	0.90	0.86	0.89	178200	3310425.00
1997/12/17	0.87	0.89	0.84	0.84	248200	4536705.00
1997/12/18	0.84	0.85	0.83	0.85	105600	1906856.00
1997/12/19	0.85	0.87	0.85	0.87	119300	2186909.00
1997/12/22	0.88	0.93	0.88	0.93	426600	8197255.00
1997/12/23	0.93	0.94	0.90	0.91	206400	3950426.00
1997/12/24	0.90	0.94	0.90	0.92	159800	3076680.00
1997/12/25	0.92	0.96	0.91	0.95	190900	3745412.00
1997/12/26	0.83	1.03	0.83	0.98	433500	8758322.00
1997/12/29	0.98	1.02	0.96	0.96	259400	5292341.00
1997/12/30	0.96	1.00	0.96	0.99	180000	3617466.00
1997/12/31	1.00	1.04	0.99	1.03	332100	6915903.00
1998/01/05	1.06	1.13	1.03	1.11	487700	10793744.00
1998/01/06	1.11	1.13	1.09	1.11	374100	8322307.00
1998/01/07	1.11	1.11	1.08	1.11	288100	6343153.00
1998/01/08	1.10	1.16	1.08	1.12	187700	4204622.00
1998/01/09	1.10	1.13	1.08	1.10	327000	7214268.00
1998/01/12	1.08	1.18	1.08	1.10	432700	9874934.00
1998/01/13	1.08	1.08	0.96	1.01	753600	15527418.00
1998/01/14	1.01	1.07	1.00	1.05	344500	7264530.00
1998/01/15	1.05	1.12	1.05	1.08	276600	6005380.00
1998/01/16	1.07	1.11	1.07	1.09	165200	3625768.00
1998/01/19	1.10	1.14	1.10	1.12	161900	3621745.00
1998/01/20	1.11	1.13	1.06	1.08	127700	2796477.00
1998/01/21	1.09	1.09	1.04	1.04	128200	2746371.00
1998/01/22	1.03	1.07	1.03	1.06	104000	2217189.00
1998/01/23	1.06	1.10	1.05	1.08	130900	2824681.00
1998/02/09	1.11	1.12	1.08	1.09	126200	2778885.00
1998/02/10	1.09	1.17	1.09	1.13	610400	13895397.00
1998/02/11	1.14	1.19	1.12	1.17	602000	13884144.00
1998/02/12	1.19	1.25	1.17	1.22	631900	15056917.00
1998/02/13	1.22	1.25	1.18	1.23	467600	11217053.00
1998/02/16	1.21	1.21	1.16	1.18	263100	6114121.00
1998/02/17	1.16	1.16	1.10	1.13	347800	7814410.00
1998/02/18	1.12	1.19	1.07	1.19	326000	7373244.00
1998/02/19	1.25	1.26	1.20	1.23	1781200	42998736.00
1998/02/20	1.26	1.29	1.22	1.25	1196200	29338332.00
1998/02/23	1.24	1.24	1.20	1.22	636100	15193920.00
1998/02/24	1.22	1.22	1.17	1.18	402400	9448744.00
1998/02/25	1.17	1.22	1.16	1.18	304300	7127275.00
1998/02/26	1.18	1.20	1.17	1.19	252800	5911557.00
1998/02/27	1.19	1.20	1.15	1.19	286600	6670241.00
1998/03/02	1.15	1.16	1.11	1.12	394300	8916116.00
1998/03/03	1.11	1.15	1.11	1.13	479300	10773122.00
1998/03/04	1.16	1.16	1.13	1.15	519800	11791556.00
1998/03/05	1.17	1.17	1.13	1.15	411300	9421342.00
1998/03/06	1.15	1.16	1.12	1.14	248300	5608004.00
1998/03/09	1.12	1.13	1.12	1.12	253400	5677795.00
1998/03/10	1.12	1.13	1.09	1.12	297500	6609047.00
1998/03/11	1.13	1.14	1.10	1.11	371900	8334493.00
1998/03/12	1.10	1.11	1.09	1.11	173000	3822243.00
1998/03/13	1.11	1.15	1.11	1.15	247700	5625970.00
1998/03/16	1.16	1.17	1.14	1.16	301700	6903922.00
1998/03/17	1.16	1.18	1.16	1.16	429200	9892176.00
1998/03/18	1.17	1.17	1.13	1.13	244500	5583985.00
1998/03/19	1.13	1.15	1.13	1.14	158900	3618553.00
1998/03/20	1.19	1.19	1.14	1.15	185900	4245247.00
1998/03/24	1.16	1.18	1.12	1.14	264600	6034243.00
1998/03/25	1.16	1.16	1.12	1.12	354300	8010488.00
1998/03/26	1.12	1.13	1.10	1.11	177100	3941655.00
1998/03/27	1.11	1.13	1.10	1.12	297200	6616538.00
1998/03/30	1.13	1.22	1.12	1.19	1157600	26743528.00
1998/03/31	1.19	1.22	1.17	1.19	521800	12314819.00
1998/04/01	1.22	1.31	1.22	1.30	1147300	28163708.00
1998/04/02	1.32	1.41	1.29	1.30	1731300	45151076.00
1998/04/03	1.29	1.30	1.26	1.27	863200	21343736.00
1998/04/06	1.28	1.29	1.22	1.25	1262200	30713776.00
1998/04/07	1.25	1.27	1.19	1.21	1143900	13680915.00
1998/04/08	1.21	1.29	1.21	1.29	1775800	22061010.00
1998/04/09	1.30	1.34	1.25	1.26	1877800	23651424.00
1998/04/10	1.25	1.31	1.24	1.28	1011000	12634331.00
1998/04/13	1.29	1.38	1.29	1.36	2636600	34238252.00
1998/04/14	1.36	1.42	1.30	1.39	2834800	37844704.00
1998/04/15	1.39	1.56	1.39	1.56	3256700	45241444.00
1998/04/16	1.56	1.73	1.48	1.51	6869700	101868576.00
1998/04/17	1.48	1.50	1.41	1.43	2172500	30076028.00
