600056 中国医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/15	0.33	0.61	0.27	0.58	19975200	408867008.00
1997/05/16	0.31	0.49	0.31	0.31	8328600	169994208.00
1997/05/19	0.35	0.42	0.25	0.35	3984100	80042432.00
1997/05/20	0.35	0.44	0.32	0.42	3382700	68903536.00
1997/05/21	0.42	0.42	0.21	0.25	2686800	53018732.00
1997/05/22	0.01	0.13	0.01	0.01	2167700	38006664.00
1997/05/23	0.02	0.08	-0.09	0.03	2219800	38459008.00
1997/05/26	0.06	0.10	-0.08	0.02	1335200	23044540.00
1997/05/27	0.04	0.08	0.00	0.05	1419500	25153460.00
1997/05/28	0.05	0.19	-0.04	0.11	2747500	49421504.00
1997/05/29	0.11	0.22	0.07	0.08	1990100	36829988.00
1997/05/30	0.08	0.14	0.07	0.14	984400	17888948.00
1997/06/02	0.19	0.26	0.16	0.26	2227000	42473308.00
1997/06/03	0.33	0.48	0.31	0.36	4737800	96911120.00
1997/06/04	0.35	0.37	0.27	0.31	1913900	37868520.00
1997/06/05	0.31	0.32	0.26	0.28	1331900	26097940.00
1997/06/06	0.04	0.16	0.04	0.08	2189400	39516300.00
1997/06/09	0.02	0.10	-0.01	0.01	663000	11562891.00
1997/06/10	0.03	0.06	-0.05	-0.05	487600	8435242.00
1997/06/11	-0.05	-0.03	-0.17	-0.09	797600	13050222.00
1997/06/12	-0.09	-0.03	-0.12	-0.09	495600	8304506.00
1997/06/13	-0.15	0.00	-0.19	-0.01	669400	11137391.00
1997/06/16	0.01	0.02	-0.03	-0.02	525600	9048465.00
1997/06/17	-0.02	-0.02	-0.10	-0.08	451700	7526536.00
1997/06/18	-0.09	-0.03	-0.15	-0.12	456700	7447470.00
1997/06/19	-0.15	-0.09	-0.15	-0.14	323500	5265459.00
1997/06/20	-0.13	0.00	-0.13	-0.02	613800	10289829.00
1997/06/23	0.01	0.02	-0.12	-0.08	781000	13130008.00
1997/06/24	-0.09	-0.05	-0.09	-0.08	528600	8774480.00
1997/06/25	-0.06	-0.01	-0.08	-0.05	795900	13416604.00
1997/06/26	-0.07	-0.05	-0.12	-0.10	425900	7025549.00
1997/06/27	-0.10	-0.04	-0.14	-0.13	617500	10142417.00
1997/07/02	-0.15	-0.12	-0.33	-0.27	537400	8211928.00
1997/07/03	-0.27	-0.27	-0.39	-0.36	604900	8763578.00
1997/07/04	-0.40	-0.33	-0.40	-0.35	371400	5336885.00
1997/07/07	-0.36	-0.35	-0.53	-0.51	460500	6247355.00
1997/07/08	-0.51	-0.47	-0.59	-0.51	433900	5654350.00
1997/07/09	-0.50	-0.46	-0.53	-0.47	364100	4852953.00
1997/07/10	-0.45	-0.44	-0.49	-0.47	288300	3892445.00
1997/07/11	-0.49	-0.37	-0.51	-0.38	439900	6121497.00
1997/07/14	-0.36	-0.31	-0.40	-0.32	622600	8989793.00
1997/07/15	-0.30	-0.30	-0.39	-0.33	496100	7161374.00
1997/07/16	-0.33	-0.32	-0.39	-0.36	454400	6527177.00
1997/07/17	-0.37	-0.28	-0.39	-0.31	521400	7609842.00
1997/07/18	-0.32	-0.31	-0.36	-0.33	362100	5247460.00
1997/07/21	-0.31	-0.29	-0.36	-0.35	428300	6283915.00
1997/07/22	-0.36	-0.34	-0.43	-0.34	360200	5114906.00
1997/07/23	-0.33	-0.25	-0.34	-0.29	906300	13499454.00
1997/07/24	-0.30	-0.24	-0.30	-0.28	656500	9891837.00
1997/07/25	-0.30	-0.27	-0.36	-0.33	367300	5397520.00
1997/07/28	-0.33	-0.33	-0.43	-0.42	252900	3586750.00
1997/07/29	-0.43	-0.35	-0.43	-0.39	214400	3022534.00
1997/07/30	-0.38	-0.32	-0.38	-0.34	206400	2951824.00
1997/07/31	-0.31	-0.28	-0.33	-0.30	416200	6195143.00
1997/08/01	-0.28	-0.28	-0.32	-0.29	287400	4279738.00
1997/08/04	-0.28	-0.26	-0.31	-0.27	333400	5000865.00
1997/08/05	-0.27	-0.24	-0.30	-0.30	146300	2188734.00
1997/08/06	-0.29	-0.28	-0.35	-0.35	153300	2247663.00
1997/08/07	-0.36	-0.33	-0.38	-0.34	200700	2871058.00
1997/08/08	-0.33	-0.31	-0.38	-0.37	342100	4900794.00
1997/08/11	-0.39	-0.38	-0.42	-0.40	347700	4866558.00
1997/08/12	-0.41	-0.38	-0.43	-0.39	209500	2934965.00
1997/08/13	-0.40	-0.40	-0.49	-0.48	176600	2412767.00
1997/08/14	-0.48	-0.33	-0.48	-0.41	238500	3286781.00
1997/08/15	-0.38	-0.38	-0.53	-0.48	209900	2839906.00
1997/08/18	-0.42	-0.38	-0.49	-0.40	446200	6086809.00
