600057 厦门象屿 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/04	2.22	2.78	2.22	2.25	18878200	382603648.00
1997/06/05	2.10	2.10	2.07	2.07	1522300	26449092.00
1997/06/06	1.91	1.91	1.91	1.91	700200	10923120.00
1997/06/09	1.76	1.85	1.76	1.83	3333400	48197692.00
1997/06/10	1.82	1.82	1.70	1.70	1566700	22008508.00
1997/06/11	1.70	1.78	1.66	1.77	1886600	25331364.00
1997/06/12	1.75	1.75	1.70	1.70	1058700	14277875.00
1997/06/13	1.60	1.74	1.59	1.71	1305200	17100604.00
1997/06/16	1.71	1.78	1.66	1.76	1743000	23431828.00
1997/06/17	1.75	1.75	1.70	1.70	746800	10135573.00
1997/06/18	1.70	1.72	1.67	1.68	707200	9326835.00
1997/06/19	1.68	1.70	1.62	1.64	582900	7519826.00
1997/06/20	1.64	1.70	1.64	1.69	828100	10892504.00
1997/06/23	1.69	1.71	1.63	1.64	1105200	14245993.00
1997/06/24	1.63	1.68	1.63	1.65	707700	9060923.00
1997/06/25	1.65	1.66	1.62	1.62	812100	10258010.00
1997/06/26	1.63	1.64	1.58	1.59	740300	9097702.00
1997/06/27	1.59	1.60	1.53	1.53	907600	10697144.00
1997/07/02	1.53	1.53	1.43	1.43	799400	8608337.00
1997/07/03	1.43	1.50	1.43	1.47	1342800	14693661.00
1997/07/04	1.47	1.51	1.44	1.50	682200	7469630.00
1997/07/07	1.51	1.51	1.45	1.46	651900	7113516.00
1997/07/08	1.43	1.49	1.43	1.48	469000	5071697.00
1997/07/09	1.48	1.49	1.47	1.49	468700	5132575.00
1997/07/10	1.50	1.50	1.48	1.48	420500	4655956.00
1997/07/11	1.47	1.55	1.46	1.55	831300	9446334.00
1997/07/14	1.56	1.59	1.54	1.59	1197700	14325917.00
1997/07/15	1.59	1.60	1.56	1.57	871000	10474497.00
1997/07/16	1.56	1.58	1.53	1.54	451600	5306199.00
1997/07/17	1.53	1.56	1.52	1.54	357300	4149855.00
1997/07/18	1.54	1.57	1.53	1.56	398100	4646587.00
1997/07/21	1.57	1.58	1.54	1.54	436200	5129638.00
1997/07/22	1.54	1.57	1.54	1.57	485600	5687566.00
1997/07/23	1.58	1.62	1.56	1.60	1199600	14763157.00
1997/07/24	1.59	1.59	1.54	1.55	652600	7713495.00
1997/07/25	1.54	1.56	1.53	1.55	361300	4209648.00
1997/07/28	1.54	1.60	1.54	1.58	843500	10173364.00
1997/07/29	1.58	1.61	1.57	1.61	668500	8103824.00
1997/07/30	1.61	1.62	1.58	1.61	576000	7077714.00
1997/07/31	1.61	1.65	1.61	1.65	1343400	16966696.00
1997/08/01	1.65	1.67	1.63	1.66	1219300	15676356.00
1997/08/04	1.68	1.72	1.67	1.70	1861800	24841540.00
1997/08/05	1.70	1.70	1.66	1.66	769700	10033874.00
1997/08/06	1.66	1.69	1.64	1.65	536400	6956582.00
1997/08/07	1.65	1.66	1.57	1.66	403400	5116039.00
1997/08/08	1.67	1.67	1.62	1.62	609300	7738352.00
1997/08/11	1.60	1.61	1.57	1.59	695500	8357792.00
1997/08/12	1.58	1.58	1.54	1.55	445400	5261512.00
1997/08/13	1.56	1.57	1.54	1.54	237600	2789001.00
1997/08/14	1.52	1.59	1.48	1.59	380900	4506220.00
1997/08/15	1.59	1.65	1.56	1.57	220400	2677476.00
1997/08/18	1.57	1.57	1.53	1.56	453700	5261306.00
1997/08/19	1.57	1.57	1.55	1.55	128900	1530004.00
1997/08/20	1.56	1.58	1.56	1.58	132800	1583572.00
1997/08/21	1.58	1.61	1.57	1.61	227700	2781404.00
1997/08/22	1.61	1.61	1.58	1.60	231900	2839637.00
1997/08/25	1.61	1.61	1.58	1.60	317800	3859404.00
1997/08/26	1.61	1.65	1.60	1.63	998900	12555353.00
1997/08/27	1.67	1.67	1.61	1.65	488800	6149617.00
1997/08/28	1.65	1.65	1.59	1.65	443800	5573565.00
1997/08/29	1.64	1.65	1.62	1.63	662600	8379740.00
1997/09/01	1.63	1.65	1.60	1.64	516900	6507647.00
1997/09/02	1.63	1.64	1.62	1.62	258400	3245963.00
1997/09/03	1.62	1.67	1.62	1.66	757600	9732842.00
1997/09/04	1.66	1.68	1.65	1.67	681700	8839895.00
1997/09/05	1.67	1.67	1.64	1.65	542900	6953015.00
1997/09/08	1.65	1.71	1.64	1.68	972800	12784262.00
1997/09/09	1.68	1.68	1.64	1.65	263600	3397401.00
1997/09/10	1.65	1.65	1.63	1.64	379200	4801528.00
1997/09/11	1.64	1.65	1.63	1.63	326400	4124650.00
1997/09/12	1.64	1.64	1.59	1.59	392400	4930246.00
1997/09/15	1.56	1.59	1.56	1.58	349300	4209594.00
1997/09/16	1.59	1.60	1.59	1.59	109600	1333662.00
1997/09/17	1.59	1.59	1.57	1.57	123300	1489239.00
1997/09/18	1.57	1.58	1.57	1.57	123900	1487553.00
1997/09/19	1.58	1.59	1.58	1.58	76300	922579.00
1997/09/22	1.58	1.58	1.51	1.51	210900	2463498.00
1997/09/23	1.50	1.50	1.44	1.45	351200	3827308.00
1997/09/24	1.48	1.51	1.47	1.51	208500	2299651.00
1997/09/25	1.51	1.53	1.50	1.51	178000	2009363.00
1997/09/26	1.51	1.53	1.48	1.50	74500	830628.00
1997/09/29	1.48	1.48	1.45	1.46	164900	1781816.00
1997/09/30	1.46	1.48	1.46	1.48	79200	863016.00
1997/10/06	1.48	1.49	1.47	1.49	63400	697069.00
1997/10/07	1.49	1.50	1.49	1.50	69800	775510.00
1997/10/08	1.52	1.53	1.49	1.51	239700	2709970.00
1997/10/09	1.51	1.52	1.50	1.51	95400	1080329.00
1997/10/10	1.51	1.53	1.51	1.52	108400	1233860.00
1997/10/13	1.53	1.53	1.51	1.52	93600	1066026.00
1997/10/14	1.50	1.52	1.50	1.52	139500	1583798.00
1997/10/15	1.52	1.54	1.52	1.53	96000	1106687.00
1997/10/16	1.54	1.56	1.53	1.55	227400	2659763.00
1997/10/17	1.55	1.63	1.55	1.62	652600	7947303.00
1997/10/20	1.63	1.65	1.60	1.61	487600	6150160.00
1997/10/21	1.62	1.65	1.59	1.63	394600	4967997.00
1997/10/22	1.63	1.66	1.53	1.60	709400	8884090.00
1997/10/23	1.57	1.62	1.57	1.60	324900	3980869.00
1997/10/24	1.60	1.61	1.57	1.60	282100	3437278.00
1997/10/27	1.60	1.71	1.60	1.71	2297800	30518008.00
1997/10/28	1.74	1.81	1.73	1.76	5247100	74369336.00
1997/10/29	1.76	1.81	1.75	1.80	2750100	39303908.00
1997/10/30	1.84	1.85	1.79	1.79	2639700	38334960.00
1997/10/31	1.75	1.79	1.74	1.77	1061500	14994824.00
1997/11/03	1.80	1.84	1.80	1.80	943700	13789544.00
1997/11/04	1.80	1.83	1.79	1.80	673200	9723080.00
1997/11/05	1.80	1.82	1.79	1.81	824600	11967389.00
1997/11/06	1.82	1.87	1.82	1.84	1502200	22519444.00
1997/11/07	1.84	1.93	1.84	1.90	1504100	23000718.00
1997/11/10	1.91	1.94	1.86	1.88	1457600	22600616.00
1997/11/11	1.85	1.89	1.82	1.87	985800	14840242.00
1997/11/12	1.87	1.88	1.83	1.84	522300	7876161.00
1997/11/13	1.83	1.87	1.82	1.86	737500	10991709.00
1997/11/14	1.90	1.90	1.85	1.86	823600	12568192.00
1997/11/17	1.90	1.90	1.84	1.84	333100	5056949.00
1997/11/18	1.84	1.85	1.82	1.82	321400	4755521.00
1997/11/19	1.82	1.85	1.82	1.83	245000	3621520.00
1997/11/20	1.83	1.85	1.82	1.83	193000	2855616.00
1997/11/21	1.84	1.84	1.78	1.80	412000	6008240.00
1997/11/24	1.77	1.78	1.74	1.74	389500	5467442.00
1997/11/25	1.73	1.77	1.73	1.77	406800	5663773.00
1997/11/26	1.75	1.78	1.75	1.78	212100	3003346.00
1997/11/27	1.78	1.80	1.77	1.79	373400	5320290.00
1997/11/28	1.77	1.82	1.76	1.82	653600	9432151.00
1997/12/01	1.82	1.84	1.80	1.82	249100	3667487.00
1997/12/02	1.81	1.83	1.81	1.81	170100	2486983.00
1997/12/03	1.81	1.81	1.77	1.78	144500	2075784.00
1997/12/04	1.77	1.82	1.77	1.81	257200	3732926.00
1997/12/05	1.81	1.82	1.78	1.78	555000	7984344.00
1997/12/08	1.78	1.84	1.76	1.82	720000	10470522.00
1997/12/09	1.81	1.87	1.81	1.86	1463900	21869796.00
1997/12/10	1.87	1.88	1.82	1.84	1189400	17787506.00
1997/12/11	1.84	1.87	1.83	1.86	818600	12264073.00
1997/12/12	1.86	1.91	1.86	1.87	1733500	26651748.00
1997/12/15	1.88	1.95	1.88	1.94	2983700	46772008.00
1997/12/16	1.93	1.96	1.92	1.94	2924800	46616568.00
1997/12/17	1.91	1.92	1.87	1.88	2123600	32779932.00
1997/12/18	1.86	1.89	1.86	1.88	976000	14911268.00
1997/12/19	1.88	1.93	1.88	1.93	1020100	15878669.00
1997/12/22	1.95	2.01	1.93	2.01	3190800	51984808.00
1997/12/23	2.00	2.01	1.95	1.97	2070500	33721776.00
1997/12/24	1.97	2.00	1.95	1.98	1180100	19324618.00
1997/12/25	1.97	2.00	1.96	1.99	1373200	22496426.00
1997/12/26	1.99	2.02	1.95	1.95	2296300	37474052.00
1997/12/29	1.95	1.97	1.89	1.89	2587000	40515320.00
1997/12/30	1.89	1.93	1.89	1.90	1068200	16650299.00
1997/12/31	1.91	1.95	1.90	1.94	920500	14594866.00
1998/01/05	1.95	2.02	1.94	2.01	2541100	41822052.00
