600059 古越龙山 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/16	3.39	3.59	3.26	3.47	24847500	645673472.00
1997/05/19	3.45	3.64	3.43	3.60	6448900	174323392.00
1997/05/20	3.59	3.64	3.56	3.60	4221300	116647008.00
1997/05/21	3.59	3.69	3.58	3.61	3439900	96685800.00
1997/05/22	3.43	3.69	3.43	3.55	3348600	91876368.00
1997/05/23	3.59	3.73	3.59	3.68	2225300	63761876.00
1997/05/26	3.71	3.80	3.63	3.72	1771200	50866304.00
1997/05/27	3.77	3.77	3.68	3.73	1155800	33735460.00
1997/05/28	3.71	3.71	3.66	3.67	967300	27746766.00
1997/05/29	3.67	3.76	3.65	3.68	1120500	32357860.00
1997/05/30	3.68	3.76	3.66	3.76	863600	24853526.00
1997/06/02	3.78	3.82	3.73	3.80	1468200	43833868.00
1997/06/03	3.81	3.81	3.75	3.77	883500	26386134.00
1997/06/04	3.76	3.79	3.73	3.77	1078600	32060270.00
1997/06/05	3.78	3.91	3.78	3.86	1587500	48999676.00
1997/06/06	3.71	3.82	3.68	3.71	1246800	36637388.00
1997/06/09	3.73	3.74	3.62	3.66	701400	19959764.00
1997/06/10	3.65	3.69	3.52	3.54	449900	12448303.00
1997/06/11	3.54	3.56	3.35	3.51	678000	17660878.00
1997/06/12	3.49	3.56	3.47	3.55	641300	17167088.00
1997/06/13	3.47	3.65	3.47	3.64	643600	17777280.00
1997/06/16	3.64	3.67	3.59	3.64	623800	17515442.00
1997/06/17	3.63	3.63	3.59	3.59	225800	6238070.00
1997/06/18	3.65	3.65	3.58	3.59	262900	7224991.00
1997/06/19	3.60	3.63	3.56	3.56	292900	8068054.00
1997/06/20	3.56	3.68	3.56	3.66	352600	9828321.00
1997/06/23	3.67	3.75	3.61	3.63	442800	12631205.00
1997/06/24	3.64	3.69	3.63	3.66	165700	4691896.00
1997/06/25	3.67	3.80	3.66	3.72	1886800	56096056.00
1997/06/26	3.75	3.75	3.68	3.70	276700	8005686.00
1997/06/27	3.69	3.72	3.59	3.63	454200	12862468.00
1997/07/02	3.64	3.68	3.48	3.64	270500	7515528.00
1997/07/03	3.61	3.61	3.51	3.56	204300	5540300.00
1997/07/04	3.55	3.64	3.51	3.57	173200	4759216.00
1997/07/07	3.56	3.61	3.45	3.54	219200	5854870.00
1997/07/08	3.53	3.56	3.48	3.56	156100	4177914.00
1997/07/09	3.56	3.65	3.53	3.63	1193900	33208884.00
1997/07/10	3.64	3.64	3.57	3.58	219400	6126048.00
1997/07/11	3.55	3.68	3.55	3.68	1254400	35522252.00
1997/07/14	3.73	3.75	3.69	3.71	425100	12336018.00
1997/07/15	3.71	3.87	3.68	3.87	1970500	58752220.00
1997/07/16	3.92	4.11	3.89	3.95	2008000	65095832.00
1997/07/17	3.87	3.99	3.87	3.91	605300	19167572.00
1997/07/18	3.91	3.95	3.83	3.95	551700	17247938.00
1997/07/21	3.99	3.99	3.86	3.86	438400	13904202.00
1997/07/22	3.92	3.95	3.85	3.94	596100	18596322.00
1997/07/23	3.99	4.13	3.94	4.12	2234500	73437936.00
1997/07/24	4.24	4.24	3.91	3.94	3576600	119901944.00
1997/07/25	3.90	3.94	3.86	3.92	1132500	35522940.00
1997/07/28	3.92	3.93	3.81	3.83	261000	8074523.00
1997/07/29	3.83	3.90	3.79	3.86	875700	26771680.00
1997/07/30	3.86	3.91	3.83	3.90	908100	28347274.00
1997/07/31	3.89	3.98	3.86	3.96	1615100	51044872.00
1997/08/01	3.97	3.99	3.91	3.95	1248400	39935420.00
1997/08/04	3.92	3.95	3.88	3.93	980100	30803580.00
1997/08/05	3.91	3.94	3.87	3.92	309800	9743348.00
1997/08/06	3.96	4.02	3.89	3.96	1623700	52265424.00
