600060 海信视像 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/04/22	1.25	1.55	1.25	1.49	34689900	574390144.00
1997/04/23	1.47	1.53	1.42	1.44	14454600	247973200.00
1997/04/24	1.43	1.45	1.38	1.42	7450700	125508448.00
1997/04/25	1.43	1.62	1.43	1.62	10248800	188250352.00
1997/04/28	1.80	1.85	1.68	1.85	15785100	315841952.00
1997/04/29	1.92	1.97	1.65	1.72	9688100	192829312.00
1997/04/30	1.72	1.76	1.68	1.75	4951600	95977368.00
1997/05/05	1.75	1.79	1.69	1.71	5241300	102055568.00
1997/05/06	1.71	1.81	1.71	1.74	5634400	110571760.00
1997/05/07	1.75	1.91	1.75	1.82	5432000	109660560.00
1997/05/08	1.84	1.84	1.58	1.60	3494200	67796040.00
1997/05/09	1.62	1.70	1.55	1.68	4349800	80783440.00
1997/05/12	1.69	1.73	1.63	1.65	3289700	62373280.00
1997/05/13	1.65	1.67	1.53	1.58	3176100	57763192.00
1997/05/14	1.54	1.62	1.52	1.53	1990700	35796384.00
1997/05/15	1.51	1.58	1.49	1.56	1372600	24492846.00
1997/05/16	1.34	1.52	1.34	1.39	2355900	39665872.00
1997/05/19	1.39	1.43	1.36	1.40	1043600	17368484.00
1997/05/20	1.43	1.52	1.43	1.50	1365900	23645320.00
1997/05/21	1.49	1.49	1.37	1.42	1217200	20604476.00
1997/05/22	1.22	1.34	1.22	1.22	1985900	30757934.00
1997/05/23	1.22	1.34	1.21	1.31	1355200	21294792.00
1997/05/26	1.34	1.36	1.23	1.36	1227600	19710670.00
1997/05/27	1.39	1.48	1.39	1.45	2397600	40999272.00
1997/05/28	1.43	1.43	1.36	1.40	1158200	19402700.00
1997/05/29	1.40	1.46	1.38	1.38	934600	15716185.00
1997/05/30	1.36	1.40	1.35	1.40	698000	11536737.00
1997/06/02	1.43	1.49	1.42	1.43	1449200	24867920.00
1997/06/03	1.45	1.54	1.42	1.47	1737000	30315800.00
1997/06/04	1.48	1.49	1.43	1.45	858900	14719198.00
1997/06/05	1.45	1.46	1.40	1.42	836100	14176351.00
1997/06/06	1.30	1.34	1.26	1.30	1989400	31717788.00
1997/06/09	1.31	1.31	1.22	1.27	688100	10696400.00
1997/06/10	1.27	1.31	1.24	1.25	409800	6434999.00
1997/06/11	1.25	1.29	1.14	1.21	632800	9481519.00
1997/06/12	1.23	1.24	1.17	1.20	393800	5942385.00
1997/06/13	1.03	1.25	1.03	1.21	1093300	16117569.00
1997/06/16	1.24	1.26	1.22	1.22	613600	9420768.00
1997/06/17	1.19	1.21	1.17	1.19	482100	7248046.00
1997/06/18	1.19	1.19	1.14	1.15	442600	6553440.00
1997/06/19	1.15	1.17	1.13	1.14	430600	6317286.00
1997/06/20	1.19	1.28	1.17	1.24	663400	10125688.00
1997/06/23	1.26	1.29	1.19	1.20	849000	13035827.00
1997/06/24	1.20	1.24	1.19	1.22	609200	9229711.00
1997/06/25	1.22	1.29	1.19	1.25	912800	14202436.00
1997/06/26	1.21	1.24	1.19	1.21	505400	7727878.00
1997/06/27	1.21	1.23	1.16	1.17	688300	10309502.00
1997/07/02	1.19	1.19	0.98	1.06	605800	8511505.00
1997/07/03	1.07	1.09	0.99	1.01	474400	6444302.00
1997/07/04	1.01	1.01	0.95	0.99	422500	5607345.00
1997/07/07	1.01	1.02	0.83	0.85	423100	5414840.00
1997/07/08	0.82	0.89	0.77	0.87	613800	7423146.00
1997/07/09	0.88	1.00	0.88	0.98	1198100	15761305.00
1997/07/10	0.99	1.10	0.98	1.03	1516500	21013504.00
1997/07/11	1.04	1.09	1.04	1.08	980000	13720589.00
1997/07/14	1.13	1.21	1.12	1.19	1736700	25957956.00
1997/07/15	1.20	1.25	1.15	1.24	1622900	24420856.00
1997/07/16	1.24	1.24	1.15	1.17	737200	11005462.00
1997/07/17	1.17	1.22	1.17	1.19	568000	8509535.00
1997/07/18	1.20	1.20	1.15	1.18	621100	9235721.00
1997/07/21	1.17	1.19	1.07	1.11	613400	8948667.00
1997/07/22	1.09	1.10	1.03	1.09	767900	10751057.00
1997/07/23	1.19	1.25	1.14	1.16	1626200	24486672.00
1997/07/24	1.19	1.25	1.17	1.19	1727100	26210772.00
1997/07/25	1.18	1.27	1.17	1.26	2403200	36891416.00
1997/07/28	1.31	1.33	1.23	1.25	1914600	30027418.00
1997/07/29	1.25	1.25	1.13	1.20	1115400	16850336.00
1997/07/30	1.20	1.25	1.18	1.25	712500	10791028.00
1997/07/31	1.25	1.26	1.21	1.23	508700	7781121.00
1997/08/01	1.23	1.23	1.19	1.21	351300	5320708.00
1997/08/04	1.21	1.22	1.17	1.21	391200	5890525.00
1997/08/05	1.22	1.28	1.21	1.26	1035500	16074212.00
1997/08/06	1.25	1.26	1.19	1.20	511000	7783848.00
1997/08/07	1.20	1.22	1.15	1.21	490300	7297889.00
1997/08/08	1.22	1.23	1.17	1.17	566800	8480732.00
1997/08/11	1.17	1.17	1.07	1.10	808000	11585542.00
1997/08/12	1.08	1.13	1.07	1.07	488300	6937866.00
1997/08/13	1.07	1.10	1.01	1.04	332200	4648106.00
1997/08/14	1.04	1.13	1.02	1.13	347100	4868539.00
1997/08/15	1.13	1.13	1.06	1.06	276200	3883736.00
1997/08/18	1.05	1.06	1.01	1.03	287600	3929937.00
1997/08/19	1.01	1.03	0.99	1.02	228100	3077380.00
1997/08/20	1.03	1.06	1.01	1.03	151200	2068896.00
1997/08/21	1.04	1.06	1.04	1.06	198100	2743205.00
1997/08/22	1.06	1.08	0.95	1.03	758100	10150746.00
1997/08/25	1.02	1.03	0.97	0.98	555900	7393094.00
1997/08/26	0.98	1.01	0.98	0.99	421200	5642496.00
1997/08/27	0.99	0.99	0.96	0.97	452100	5978404.00
1997/08/28	0.98	1.06	0.98	1.03	452600	6184363.00
1997/08/29	1.03	1.04	1.00	1.01	343200	4651732.00
1997/09/01	1.01	1.02	0.97	0.99	419000	5575947.00
1997/09/02	1.02	1.05	1.00	1.04	470600	6432223.00
1997/09/03	1.03	1.06	1.02	1.05	468800	6479717.00
1997/09/04	1.06	1.11	1.06	1.10	528400	7458666.00
1997/09/05	1.10	1.10	1.06	1.07	343600	4815377.00
1997/09/08	1.07	1.07	1.02	1.03	311500	4272186.00
1997/09/09	1.03	1.06	1.01	1.01	332100	4522411.00
1997/09/10	1.01	1.04	0.99	1.01	261100	3531537.00
1997/09/11	1.01	1.03	0.98	1.01	409100	5531265.00
1997/09/12	1.01	1.02	0.98	0.98	219700	2953539.00
1997/09/15	0.97	0.99	0.93	0.94	296800	3879336.00
1997/09/16	0.95	0.96	0.93	0.95	158000	2052989.00
1997/09/17	0.95	0.95	0.93	0.93	141600	1829988.00
1997/09/18	0.95	0.95	0.93	0.93	203600	2639748.00
1997/09/19	0.95	0.98	0.94	0.97	141700	1859479.00
1997/09/22	0.97	0.97	0.85	0.85	232100	2911663.00
1997/09/23	0.82	0.85	0.72	0.73	380200	4471489.00
1997/09/24	0.79	0.82	0.76	0.82	377400	4437545.00
1997/09/25	0.85	0.87	0.82	0.84	317700	3876628.00
1997/09/26	0.82	0.83	0.80	0.81	224000	2654717.00
1997/09/29	0.83	0.83	0.77	0.78	169200	1971263.00
1997/09/30	0.76	0.82	0.76	0.80	217400	2566132.00
1997/10/06	0.82	0.84	0.80	0.80	134500	1596942.00
1997/10/07	0.80	0.81	0.79	0.80	62300	734664.00
1997/10/08	0.85	0.91	0.82	0.91	212600	2596072.00
1997/10/09	0.88	0.94	0.87	0.90	444500	5643090.00
1997/10/10	0.89	0.91	0.88	0.89	174900	2204688.00
1997/10/13	0.88	0.89	0.85	0.86	122000	1501924.00
1997/10/14	0.87	0.87	0.83	0.85	108100	1313041.00
1997/10/15	0.86	0.87	0.85	0.86	107700	1328231.00
1997/10/16	0.88	0.93	0.88	0.92	373000	4748958.00
1997/10/17	0.94	1.00	0.91	0.99	839000	11103028.00
1997/10/20	1.00	1.05	0.99	1.03	1075100	14699994.00
1997/10/21	1.03	1.03	0.99	1.01	645000	8743777.00
1997/10/22	0.99	1.00	0.95	0.99	1333800	17654706.00
1997/10/23	0.97	0.99	0.95	0.96	636900	8371395.00
1997/10/24	0.96	1.01	0.95	1.01	511400	6755604.00
1997/10/27	1.04	1.16	1.04	1.13	2928500	42319428.00
1997/10/28	1.13	1.15	1.02	1.04	1273900	18092842.00
1997/10/29	1.01	1.06	1.01	1.03	533300	7296708.00
1997/10/30	1.07	1.12	1.03	1.05	931300	13122835.00
1997/10/31	1.01	1.06	1.00	1.04	548700	7473834.00
1997/11/03	1.05	1.07	1.05	1.05	303800	4237712.00
1997/11/04	1.07	1.09	1.04	1.06	380000	5307902.00
1997/11/05	1.07	1.13	1.04	1.11	647700	9141767.00
1997/11/06	1.13	1.13	1.06	1.07	906600	12940818.00
1997/11/07	1.08	1.10	1.05	1.08	702400	9846319.00
1997/11/10	1.08	1.14	1.05	1.07	893400	12754089.00
1997/11/11	1.07	1.07	1.03	1.06	324200	4486430.00
1997/11/12	1.06	1.07	1.02	1.02	282100	3889018.00
1997/11/13	1.07	1.07	0.99	1.06	661100	9074993.00
1997/11/14	1.06	1.07	1.02	1.04	434500	6013785.00
1997/11/17	1.10	1.11	1.05	1.05	285700	3999750.00
1997/11/18	1.05	1.07	1.03	1.04	196400	2715536.00
1997/11/19	1.03	1.05	1.02	1.04	290000	3983222.00
1997/11/20	1.03	1.04	1.01	1.02	241100	3292645.00
1997/11/21	1.01	1.01	0.96	0.98	328300	4384552.00
1997/11/24	0.95	0.98	0.94	0.94	306800	4003287.00
1997/11/25	0.93	0.97	0.92	0.93	245500	3165088.00
1997/11/26	0.93	0.96	0.93	0.95	245100	3177494.00
1997/11/27	0.95	0.95	0.89	0.90	244000	3120685.00
1997/11/28	0.88	0.93	0.87	0.93	198900	2530353.00
1997/12/01	0.93	0.94	0.92	0.93	119800	1542810.00
1997/12/02	0.93	0.95	0.93	0.94	117900	1529416.00
1997/12/03	0.95	0.95	0.92	0.92	89000	1141742.00
1997/12/04	0.92	0.98	0.91	0.96	208300	2724864.00
1997/12/05	0.98	0.99	0.94	0.94	193300	2532183.00
1997/12/08	0.95	0.99	0.95	0.98	219500	2896829.00
1997/12/09	0.97	0.99	0.96	0.98	301200	3987093.00
1997/12/10	0.99	1.01	0.97	0.98	241600	3214577.00
1997/12/11	0.98	0.98	0.95	0.96	262300	3441147.00
1997/12/12	0.97	1.00	0.96	0.96	273400	3638683.00
1997/12/15	1.00	1.08	0.99	1.07	1241500	17279622.00
1997/12/16	1.08	1.09	1.06	1.08	911900	12834112.00
1997/12/17	1.07	1.07	1.02	1.02	759100	10458811.00
1997/12/18	1.02	1.10	1.01	1.08	1001300	14028565.00
1997/12/19	1.09	1.18	1.09	1.15	2967000	43264332.00
1997/12/22	1.15	1.22	1.13	1.19	2772000	41550752.00
1997/12/23	1.19	1.21	1.16	1.18	1267700	18833120.00
1997/12/24	1.18	1.21	1.17	1.21	1091900	16484468.00
1997/12/25	1.21	1.27	1.21	1.26	2090100	32489292.00
1997/12/26	1.29	1.29	1.25	1.27	1842300	28872616.00
1997/12/29	1.25	1.30	1.23	1.23	1430200	22392502.00
1997/12/30	1.23	1.26	1.22	1.23	1031800	15905851.00
1997/12/31	1.24	1.29	1.24	1.29	1148600	18078220.00
1998/01/05	1.31	1.48	1.31	1.48	3169400	54379932.00
1998/01/06	1.51	1.69	1.50	1.57	7164300	131561184.00
1998/01/07	1.57	1.64	1.52	1.60	3204400	58537620.00
1998/01/08	1.60	1.64	1.56	1.59	1517500	27881248.00
