600061 国投资本 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/19	2.42	2.49	2.02	2.11	13100000	196512832.00
1997/05/20	2.09	2.10	2.02	2.04	3894400	55877776.00
1997/05/21	2.04	2.18	1.99	2.07	4330300	63495312.00
1997/05/22	1.86	1.96	1.84	1.84	1744700	23008256.00
1997/05/23	1.76	1.88	1.74	1.81	2419700	31082548.00
1997/05/26	1.85	1.86	1.66	1.74	1820400	22460792.00
1997/05/27	1.76	1.81	1.71	1.77	1551800	19500560.00
1997/05/28	1.77	1.84	1.71	1.79	2007600	25332434.00
1997/05/29	1.79	1.91	1.74	1.76	2377700	30924654.00
1997/05/30	1.76	1.83	1.75	1.83	1314900	16700935.00
1997/06/02	1.89	1.96	1.84	1.96	2133200	28546620.00
1997/06/03	1.95	2.03	1.91	1.95	3052400	42422140.00
1997/06/04	1.96	1.98	1.88	1.90	1766600	23813044.00
1997/06/05	1.84	1.89	1.83	1.85	1169700	15365242.00
1997/06/06	1.71	1.77	1.65	1.68	1693800	20528598.00
1997/06/09	1.68	1.68	1.58	1.63	712000	8308971.00
1997/06/10	1.62	1.69	1.55	1.55	635700	7418979.00
1997/06/11	1.55	1.61	1.49	1.60	808100	9047406.00
1997/06/12	1.61	1.71	1.55	1.64	1654900	19603804.00
1997/06/13	1.56	1.78	1.55	1.77	2154300	26271784.00
1997/06/16	1.77	1.78	1.69	1.72	1325200	16393167.00
1997/06/17	1.72	1.72	1.64	1.65	746300	8911462.00
1997/06/18	1.64	1.67	1.52	1.60	738100	8536269.00
1997/06/19	1.60	1.65	1.57	1.60	790700	9119812.00
1997/06/20	1.63	1.70	1.60	1.68	760600	9041076.00
1997/06/23	1.72	1.72	1.58	1.59	958000	11216321.00
1997/06/24	1.59	1.64	1.58	1.61	508700	5873134.00
1997/06/25	1.63	1.63	1.57	1.58	535200	6126853.00
1997/06/26	1.57	1.58	1.53	1.55	837900	9331745.00
1997/06/27	1.56	1.57	1.44	1.44	932900	10121128.00
1997/07/02	1.45	1.46	1.32	1.41	1082000	10850426.00
1997/07/03	1.38	1.44	1.32	1.37	653000	6528259.00
1997/07/04	1.41	1.44	1.37	1.40	739600	7591088.00
1997/07/07	1.39	1.40	1.24	1.29	475800	4613331.00
1997/07/08	1.26	1.31	1.22	1.27	470600	4385162.00
1997/07/09	1.27	1.27	1.23	1.26	411700	3789742.00
1997/07/10	1.26	1.26	1.23	1.23	344200	3159346.00
1997/07/11	1.22	1.35	1.20	1.33	689300	6511012.00
1997/07/14	1.33	1.38	1.30	1.37	1142400	11339185.00
1997/07/15	1.37	1.37	1.31	1.31	633300	6160664.00
1997/07/16	1.31	1.36	1.28	1.31	472800	4584323.00
1997/07/17	1.32	1.41	1.32	1.36	1136900	11430030.00
1997/07/18	1.36	1.38	1.35	1.38	600800	6015735.00
1997/07/21	1.39	1.42	1.36	1.37	670100	6837600.00
1997/07/22	1.36	1.39	1.31	1.37	440700	4356719.00
1997/07/23	1.41	1.41	1.35	1.36	402200	4033281.00
1997/07/24	1.36	1.36	1.31	1.31	321600	3144181.00
1997/07/25	1.30	1.33	1.26	1.31	391200	3723552.00
1997/07/28	1.29	1.32	1.27	1.27	245900	2336236.00
1997/07/29	1.27	1.30	1.23	1.27	318100	2959092.00
1997/07/30	1.27	1.34	1.27	1.34	266300	2554851.00
1997/07/31	1.33	1.35	1.31	1.35	344300	3370701.00
1997/08/01	1.35	1.38	1.34	1.37	367100	3639663.00
1997/08/04	1.39	1.45	1.37	1.44	1119600	11594697.00
1997/08/05	1.44	1.45	1.40	1.43	595100	6184989.00
1997/08/06	1.38	1.43	1.34	1.35	522300	5288986.00
1997/08/07	1.34	1.41	1.34	1.41	521600	5245845.00
1997/08/08	1.41	1.46	1.36	1.38	726800	7442945.00
1997/08/11	1.38	1.44	1.37	1.43	970700	10013313.00
1997/08/12	1.42	1.44	1.35	1.35	543800	5554062.00
1997/08/13	1.34	1.38	1.32	1.33	288600	2848550.00
1997/08/14	1.37	1.39	1.33	1.39	326800	3238504.00
1997/08/15	1.36	1.39	1.29	1.32	320700	3150372.00
1997/08/18	1.33	1.37	1.31	1.35	422600	4141080.00
1997/08/19	1.35	1.39	1.34	1.34	333900	3342525.00
1997/08/20	1.35	1.43	1.35	1.42	992700	10154748.00
1997/08/21	1.43	1.44	1.40	1.41	702700	7253827.00
1997/08/22	1.42	1.49	1.41	1.47	2212600	23590634.00
1997/08/25	1.50	1.54	1.48	1.52	1322600	14480530.00
1997/08/26	1.52	1.52	1.48	1.50	656700	7115543.00
1997/08/27	1.50	1.54	1.49	1.51	671900	7369159.00
1997/08/28	1.51	1.52	1.48	1.49	631200	6821256.00
1997/08/29	1.50	1.51	1.48	1.51	540300	5866990.00
1997/09/01	1.52	1.55	1.50	1.51	539300	5932547.00
1997/09/02	1.51	1.58	1.51	1.57	1104100	12376818.00
1997/09/03	1.57	1.59	1.55	1.58	572800	6466100.00
1997/09/04	1.58	1.59	1.55	1.58	535400	6047960.00
1997/09/05	1.58	1.58	1.53	1.55	578100	6471194.00
1997/09/08	1.54	1.54	1.50	1.51	489100	5347853.00
1997/09/09	1.51	1.52	1.47	1.47	381400	4123008.00
1997/09/10	1.48	1.51	1.47	1.51	258000	2781914.00
1997/09/11	1.51	1.52	1.46	1.46	316700	3411110.00
1997/09/12	1.47	1.48	1.42	1.43	350100	3699681.00
1997/09/15	1.43	1.44	1.37	1.38	230100	2355892.00
1997/09/16	1.38	1.43	1.38	1.39	139300	1414038.00
1997/09/17	1.39	1.41	1.39	1.39	213300	2178529.00
1997/09/18	1.40	1.43	1.40	1.41	157700	1622911.00
1997/09/19	1.41	1.46	1.41	1.46	353300	3709551.00
1997/09/22	1.46	1.47	1.34	1.38	355100	3624820.00
1997/09/23	1.36	1.40	1.25	1.27	372700	3641135.00
1997/09/24	1.33	1.37	1.31	1.36	499600	4913281.00
1997/09/25	1.37	1.46	1.37	1.44	934100	9678020.00
1997/09/26	1.43	1.44	1.39	1.40	335100	3446138.00
1997/09/29	1.41	1.41	1.35	1.36	261000	2606260.00
1997/09/30	1.36	1.39	1.34	1.37	182100	1820734.00
1997/10/06	1.37	1.39	1.34	1.35	85400	849828.00
1997/10/07	1.35	1.35	1.31	1.34	135400	1315324.00
1997/10/08	1.37	1.40	1.36	1.38	170900	1725612.00
1997/10/09	1.38	1.39	1.36	1.36	120000	1202260.00
1997/10/10	1.36	1.38	1.35	1.38	141800	1420904.00
1997/10/13	1.39	1.43	1.37	1.39	180600	1838446.00
1997/10/14	1.38	1.39	1.35	1.39	70400	704107.00
1997/10/15	1.40	1.41	1.38	1.39	134500	1374071.00
1997/10/16	1.41	1.45	1.41	1.43	364400	3793567.00
1997/10/17	1.44	1.48	1.43	1.46	561600	5904213.00
1997/10/20	1.47	1.48	1.44	1.48	648000	6882742.00
1997/10/21	1.48	1.49	1.45	1.46	357800	3806443.00
1997/10/22	1.46	1.46	1.38	1.40	541000	5596276.00
1997/10/23	1.40	1.44	1.39	1.42	540200	5592795.00
1997/10/24	1.41	1.44	1.40	1.44	437500	4525562.00
1997/10/27	1.47	1.56	1.45	1.55	1436400	15761667.00
1997/10/28	1.55	1.55	1.43	1.44	885800	9545444.00
1997/10/29	1.42	1.45	1.41	1.43	341800	3541199.00
1997/10/30	1.44	1.52	1.43	1.44	648200	6857290.00
1997/10/31	1.42	1.46	1.41	1.45	332200	3450128.00
1997/11/03	1.45	1.51	1.44	1.45	415700	4435055.00
1997/11/04	1.47	1.52	1.47	1.48	608300	6579643.00
1997/11/05	1.44	1.48	1.43	1.44	326100	3417997.00
1997/11/06	1.46	1.46	1.41	1.42	357800	3720731.00
1997/11/07	1.44	1.47	1.41	1.44	255900	2659070.00
1997/11/10	1.46	1.50	1.44	1.46	471300	5038022.00
1997/11/11	1.44	1.45	1.42	1.44	198400	2066101.00
1997/11/12	1.45	1.46	1.41	1.41	220800	2285545.00
1997/11/13	1.42	1.43	1.38	1.42	253100	2582219.00
1997/11/14	1.41	1.47	1.41	1.44	445400	4657490.00
1997/11/17	1.47	1.47	1.41	1.43	260300	2727013.00
1997/11/18	1.46	1.46	1.39	1.40	221000	2269794.00
1997/11/19	1.40	1.42	1.39	1.39	152700	1559288.00
1997/11/20	1.40	1.42	1.38	1.38	255900	2600796.00
1997/11/21	1.38	1.40	1.36	1.37	351700	3537896.00
1997/11/24	1.38	1.38	1.35	1.35	280600	2800751.00
1997/11/25	1.37	1.39	1.36	1.39	213600	2150142.00
1997/11/26	1.40	1.41	1.37	1.41	162600	1647703.00
1997/11/27	1.41	1.41	1.37	1.37	150700	1521482.00
1997/11/28	1.37	1.40	1.36	1.40	219000	2213374.00
1997/12/01	1.38	1.44	1.37	1.42	762900	7808610.00
1997/12/02	1.42	1.42	1.39	1.39	238500	2443213.00
1997/12/03	1.39	1.40	1.37	1.37	213600	2149898.00
1997/12/04	1.36	1.41	1.36	1.40	235200	2381892.00
1997/12/05	1.41	1.41	1.39	1.40	221300	2254623.00
1997/12/08	1.41	1.50	1.41	1.48	1337100	14172686.00
1997/12/09	1.48	1.49	1.46	1.48	616900	6616066.00
1997/12/10	1.48	1.51	1.47	1.48	515900	5562674.00
1997/12/11	1.48	1.48	1.46	1.48	328700	3509607.00
1997/12/12	1.48	1.54	1.48	1.49	962800	10530879.00
1997/12/15	1.52	1.60	1.52	1.58	1581400	17732556.00
1997/12/16	1.59	1.60	1.53	1.58	1244600	14062149.00
1997/12/17	1.55	1.56	1.50	1.51	1173200	12969083.00
1997/12/18	1.49	1.56	1.49	1.54	824300	9096840.00
1997/12/19	1.54	1.57	1.53	1.56	573100	6398567.00
1997/12/22	1.58	1.64	1.56	1.62	1167800	13547854.00
1997/12/23	1.62	1.63	1.58	1.61	596200	6858945.00
1997/12/24	1.62	1.64	1.59	1.63	595700	6892254.00
1997/12/25	1.63	1.64	1.62	1.63	577300	6738383.00
1997/12/26	1.64	1.64	1.60	1.62	869400	10084053.00
1997/12/29	1.60	1.60	1.55	1.56	786700	8894345.00
1997/12/30	1.55	1.58	1.55	1.57	323200	3637026.00
