600064 南京高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/06	0.03	0.29	0.03	0.29	35352000	944039104.00
1997/05/07	0.30	0.32	0.18	0.21	10852800	296207104.00
1997/05/08	0.20	0.21	0.04	0.06	6743300	177334288.00
1997/05/09	0.08	0.21	0.06	0.20	4930600	129058960.00
1997/05/12	0.24	0.28	0.13	0.15	3737000	100034944.00
1997/05/13	0.14	0.16	0.08	0.12	2329800	60475460.00
1997/05/14	0.12	0.17	0.05	0.07	2065800	53593568.00
1997/05/15	0.07	0.11	0.06	0.10	1560700	40065648.00
1997/05/16	-0.10	0.05	-0.10	-0.10	2874500	69361400.00
1997/05/19	-0.05	0.01	-0.09	-0.04	985600	23495332.00
1997/05/20	-0.03	0.00	-0.04	-0.01	1228500	29705954.00
1997/05/21	-0.01	-0.01	-0.11	-0.07	1093200	25786512.00
1997/05/22	-0.26	-0.16	-0.26	-0.26	1931800	41410064.00
1997/05/23	-0.27	-0.20	-0.34	-0.23	1681500	35557284.00
1997/05/26	-0.21	-0.19	-0.33	-0.26	936900	19891562.00
1997/05/27	-0.24	-0.14	-0.24	-0.19	2080400	46247280.00
1997/05/28	-0.18	-0.16	-0.25	-0.19	1181300	25893372.00
1997/05/29	-0.20	-0.12	-0.22	-0.19	1249700	28068616.00
1997/05/30	-0.18	-0.15	-0.22	-0.17	697000	15415116.00
1997/06/02	-0.12	-0.06	-0.13	-0.07	1996300	46819332.00
1997/06/03	-0.06	0.00	-0.09	-0.06	1872700	45021920.00
1997/06/04	-0.07	-0.04	-0.09	-0.07	1127300	26473112.00
1997/06/05	-0.08	-0.05	-0.13	-0.05	1797500	41845808.00
1997/06/06	-0.20	-0.12	-0.25	-0.20	2215300	49193780.00
1997/06/09	-0.22	-0.19	-0.26	-0.24	579900	12495339.00
1997/06/10	-0.20	-0.20	-0.28	-0.26	664300	14286973.00
1997/06/11	-0.26	-0.26	-0.38	-0.32	1022800	20786156.00
1997/06/12	-0.30	-0.28	-0.35	-0.33	549700	11347798.00
1997/06/13	-0.44	-0.24	-0.44	-0.26	944600	19240638.00
1997/06/16	-0.24	-0.22	-0.28	-0.28	637400	13598835.00
1997/06/17	-0.28	-0.26	-0.30	-0.30	507500	10604158.00
1997/06/18	-0.30	-0.25	-0.30	-0.30	340600	7128188.00
1997/06/19	-0.29	-0.28	-0.32	-0.32	387600	8023664.00
1997/06/20	-0.29	-0.22	-0.30	-0.24	578300	12278927.00
1997/06/23	-0.20	-0.19	-0.32	-0.29	871100	18532612.00
1997/06/24	-0.29	-0.26	-0.30	-0.28	662300	13891732.00
1997/06/25	-0.26	-0.21	-0.29	-0.25	606500	12977724.00
1997/06/26	-0.25	-0.25	-0.29	-0.28	536200	11269044.00
1997/06/27	-0.28	-0.27	-0.33	-0.32	832800	17229916.00
1997/07/02	-0.31	-0.28	-0.49	-0.40	669100	13112716.00
1997/07/03	-0.40	-0.40	-0.46	-0.45	476400	9045036.00
1997/07/04	-0.47	-0.43	-0.49	-0.46	384000	7194076.00
1997/07/07	-0.45	-0.45	-0.61	-0.60	554900	9892886.00
1997/07/08	-0.60	-0.57	-0.65	-0.59	545900	9237728.00
1997/07/09	-0.58	-0.57	-0.61	-0.58	363500	6212093.00
1997/07/10	-0.58	-0.57	-0.60	-0.59	361700	6225039.00
