600066 宇通客车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/08	-4.60	-4.54	-4.74	-4.73	22349800	623164672.00
1997/05/09	-4.73	-4.70	-4.76	-4.73	5314100	138991936.00
1997/05/12	-4.72	-4.68	-4.72	-4.72	3051200	82117456.00
1997/05/13	-4.72	-4.72	-4.75	-4.74	1828100	47411676.00
1997/05/14	-4.74	-4.69	-4.75	-4.73	2613000	68951792.00
1997/05/15	-4.72	-4.67	-4.72	-4.68	3759400	102131368.00
1997/05/16	-4.78	-4.72	-4.78	-4.78	4007800	102176696.00
1997/05/19	-4.76	-4.74	-4.78	-4.76	921200	23073288.00
1997/05/20	-4.76	-4.74	-4.77	-4.75	878300	22301172.00
1997/05/21	-4.75	-4.75	-4.79	-4.77	1037600	25822138.00
1997/05/22	-4.85	-4.81	-4.85	-4.85	1660800	37744936.00
1997/05/23	-4.85	-4.83	-4.89	-4.83	1227200	27576478.00
1997/05/26	-4.83	-4.82	-4.88	-4.84	865300	19533810.00
1997/05/27	-4.84	-4.82	-4.85	-4.84	850200	19615994.00
1997/05/28	-4.84	-4.83	-4.86	-4.84	1115300	25331120.00
1997/05/29	-4.84	-4.81	-4.84	-4.84	897200	20926308.00
1997/05/30	-4.84	-4.82	-4.84	-4.82	636000	14741255.00
1997/06/02	-4.78	-4.75	-4.80	-4.75	3144700	79614768.00
1997/06/03	-4.74	-4.72	-4.77	-4.75	2703500	69809720.00
1997/06/04	-4.74	-4.73	-4.76	-4.74	1435200	37002696.00
1997/06/05	-4.74	-4.71	-4.75	-4.71	2885700	75722784.00
1997/06/06	-4.77	-4.72	-4.80	-4.77	2973800	75480888.00
1997/06/09	-4.77	-4.75	-4.78	-4.77	1041200	26171984.00
1997/06/10	-4.77	-4.76	-4.81	-4.80	830100	20465054.00
1997/06/11	-4.81	-4.81	-4.86	-4.83	1293300	29898256.00
1997/06/12	-4.81	-4.80	-4.83	-4.82	567900	13409926.00
1997/06/13	-4.84	-4.78	-4.84	-4.78	1276700	30803664.00
1997/06/16	-4.76	-4.76	-4.78	-4.78	564700	14027299.00
1997/06/17	-4.78	-4.78	-4.81	-4.79	520900	12670097.00
1997/06/18	-4.78	-4.78	-4.80	-4.80	419600	10139932.00
1997/06/19	-4.80	-4.80	-4.83	-4.82	674300	16029508.00
1997/06/20	-4.80	-4.77	-4.82	-4.78	796400	19287292.00
1997/06/23	-4.76	-4.76	-4.81	-4.80	920800	22608898.00
1997/06/24	-4.80	-4.77	-4.80	-4.77	382400	9357259.00
1997/06/25	-4.78	-4.76	-4.79	-4.77	768000	19110272.00
1997/06/26	-4.77	-4.77	-4.79	-4.78	433500	10748230.00
1997/06/27	-4.77	-4.77	-4.81	-4.80	752600	18454604.00
1997/07/02	-4.80	-4.79	-4.88	-4.84	524700	12129642.00
1997/07/03	-4.84	-4.84	-4.87	-4.85	404100	9063421.00
1997/07/04	-4.86	-4.85	-4.87	-4.86	459200	10258559.00
1997/07/07	-4.85	-4.85	-4.94	-4.92	471200	10032463.00
1997/07/08	-4.92	-4.87	-4.93	-4.87	401200	8305876.00
1997/07/09	-4.88	-4.87	-4.90	-4.87	317400	6920441.00
1997/07/10	-4.87	-4.86	-4.89	-4.86	297000	6528253.00
1997/07/11	-4.87	-4.84	-4.88	-4.84	580000	13038456.00
1997/07/14	-4.84	-4.82	-4.85	-4.85	657300	15111997.00
1997/07/15	-4.84	-4.79	-4.84	-4.81	1837100	43763720.00
1997/07/16	-4.80	-4.79	-4.81	-4.80	1005400	24191782.00
1997/07/17	-4.80	-4.79	-4.81	-4.80	1041800	25100564.00
1997/07/18	-4.80	-4.76	-4.80	-4.76	1661200	41072820.00
1997/07/21	-4.76	-4.75	-4.79	-4.79	1046700	26139100.00
1997/07/22	-4.79	-4.78	-4.81	-4.78	749900	18037170.00
1997/07/23	-4.79	-4.79	-4.84	-4.84	1052200	24358498.00
1997/07/24	-4.84	-4.84	-4.86	-4.86	675200	15210957.00
1997/07/25	-4.87	-4.85	-4.87	-4.86	420200	9343216.00
1997/07/28	-4.87	-4.87	-4.90	-4.90	511900	10900911.00
1997/07/29	-4.91	-4.89	-4.92	-4.90	470300	9944133.00
1997/07/30	-4.90	-4.88	-4.90	-4.88	324400	6962121.00
1997/07/31	-4.88	-4.86	-4.88	-4.87	264100	5820450.00
1997/08/01	-4.87	-4.86	-4.89	-4.88	217400	4719451.00
1997/08/04	-4.88	-4.87	-4.89	-4.89	228900	4940378.00
1997/08/05	-4.89	-4.87	-4.90	-4.88	144300	3135839.00
1997/08/06	-4.88	-4.87	-4.89	-4.89	155100	3350540.00
1997/08/07	-4.89	-4.89	-4.90	-4.89	194300	4118840.00
1997/08/08	-4.89	-4.88	-4.90	-4.90	466100	9852553.00
1997/08/11	-4.90	-4.89	-4.95	-4.95	844600	16884328.00
1997/08/12	-4.95	-4.94	-4.97	-4.97	391700	7645197.00
1997/08/13	-4.97	-4.97	-5.03	-5.03	875100	15634747.00
1997/08/14	-5.02	-4.97	-5.04	-4.99	767700	14147589.00
1997/08/15	-4.97	-4.97	-5.00	-4.99	310100	5735792.00
1997/08/18	-5.00	-4.99	-5.00	-4.99	227400	4169391.00
1997/08/19	-4.99	-4.98	-4.99	-4.99	106100	1970090.00
1997/08/20	-4.97	-4.97	-4.99	-4.97	138300	2580115.00
1997/08/21	-4.97	-4.96	-4.98	-4.96	262100	4971824.00
1997/08/22	-4.96	-4.95	-4.97	-4.96	333600	6395516.00
1997/08/25	-4.97	-4.95	-4.98	-4.97	343400	6598853.00
1997/08/26	-4.98	-4.97	-4.98	-4.98	289300	5438284.00
1997/08/27	-4.98	-4.98	-5.00	-5.00	459000	8420474.00
1997/08/28	-4.99	-4.99	-5.00	-4.99	297200	5435361.00
1997/08/29	-4.99	-4.99	-5.00	-5.00	286300	5210135.00
1997/09/01	-5.00	-4.99	-5.00	-5.00	274700	4976947.00
1997/09/02	-4.99	-4.97	-4.99	-4.98	251600	4701568.00
1997/09/03	-4.97	-4.96	-4.97	-4.97	232900	4453666.00
1997/09/04	-4.96	-4.96	-4.97	-4.96	252700	4827832.00
1997/09/05	-4.96	-4.96	-4.97	-4.96	228700	4385798.00
1997/09/08	-4.96	-4.96	-4.98	-4.97	158100	2990379.00
1997/09/09	-4.97	-4.97	-4.99	-4.99	181000	3366557.00
1997/09/10	-4.99	-4.98	-4.99	-4.98	123400	2290730.00
1997/09/11	-4.98	-4.95	-4.99	-4.98	280500	5306199.00
1997/09/12	-4.97	-4.97	-4.99	-4.99	132100	2473964.00
1997/09/15	-4.99	-4.99	-4.99	-4.99	143500	2644313.00
1997/09/16	-4.99	-4.98	-4.99	-4.99	73000	1344621.00
1997/09/17	-4.99	-4.99	-4.99	-4.99	79200	1462275.00
1997/09/18	-4.99	-4.99	-4.99	-4.99	102100	1880207.00
1997/09/19	-4.99	-4.98	-4.99	-4.99	74400	1375987.00
1997/09/22	-4.98	-4.98	-5.01	-5.01	139800	2513042.00
1997/09/23	-5.02	-5.01	-5.04	-5.04	221900	3829911.00
1997/09/24	-5.03	-5.00	-5.03	-5.01	137600	2422322.00
1997/09/25	-5.01	-5.01	-5.02	-5.02	104400	1850969.00
1997/09/26	-5.02	-5.01	-5.02	-5.02	123700	2179285.00
1997/09/29	-5.02	-5.02	-5.03	-5.03	80000	1381308.00
1997/09/30	-5.03	-5.01	-5.03	-5.02	57400	1008917.00
1997/10/06	-5.02	-5.01	-5.04	-5.02	37100	652273.00
1997/10/07	-5.02	-5.01	-5.02	-5.01	42600	751288.00
1997/10/08	-5.00	-5.00	-5.01	-5.00	108300	1959936.00
1997/10/09	-5.01	-4.99	-5.01	-5.00	98000	1780650.00
1997/10/10	-5.00	-4.98	-5.00	-4.98	277100	5165057.00
1997/10/13	-4.98	-4.98	-4.99	-4.99	86200	1598516.00
