600068 葛洲坝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/26	1.42	1.68	1.35	1.67	124588500	1773348352.00
1997/05/27	1.64	1.82	1.59	1.72	73474600	1190645632.00
1997/05/28	1.69	1.81	1.67	1.75	39024900	634040000.00
1997/05/29	1.76	1.94	1.74	1.87	38034900	654084800.00
1997/05/30	1.89	1.95	1.83	1.95	26836000	466247904.00
1997/06/02	2.02	2.20	2.02	2.20	29030800	557544768.00
1997/06/03	2.31	2.47	2.26	2.43	45203700	942875392.00
1997/06/04	2.43	2.47	2.27	2.38	25745100	534799584.00
1997/06/05	2.38	2.67	2.33	2.64	28993800	635593600.00
1997/06/06	2.34	2.55	2.32	2.32	44368400	926262080.00
1997/06/09	2.38	2.43	2.21	2.29	13888700	278609728.00
1997/06/10	2.31	2.36	2.18	2.19	10050900	202348464.00
1997/06/11	2.19	2.19	1.94	2.14	15430300	285754368.00
1997/06/12	2.12	2.20	2.06	2.09	8462300	160578992.00
1997/06/13	2.01	2.26	2.01	2.25	13037200	250772880.00
1997/06/16	2.28	2.33	2.22	2.23	11387900	227980208.00
1997/06/17	2.21	2.24	2.16	2.18	5172300	100926752.00
1997/06/18	2.18	2.24	2.15	2.16	3991200	77682600.00
1997/06/19	2.17	2.22	2.12	2.15	3460900	66772240.00
1997/06/20	2.19	2.32	2.19	2.29	7511000	150330768.00
1997/06/23	2.34	2.40	2.21	2.25	9077700	184389856.00
1997/06/24	2.26	2.29	2.22	2.27	4714900	93993704.00
1997/06/25	2.28	2.43	2.25	2.39	13098100	271934880.00
1997/06/26	2.40	2.40	2.31	2.32	5447700	112310808.00
1997/06/27	2.32	2.35	2.18	2.21	8808100	175163232.00
1997/07/02	2.13	2.23	1.94	2.07	6419200	119345736.00
1997/07/03	2.02	2.05	1.95	1.97	4745600	85557928.00
1997/07/04	1.94	2.00	1.88	1.97	3850000	68557112.00
1997/07/07	1.96	1.97	1.72	1.72	4633200	77517400.00
1997/07/08	1.70	1.77	1.56	1.71	4944900	78006408.00
1997/07/09	1.71	1.84	1.71	1.81	4398000	73443928.00
1997/07/10	1.83	1.85	1.77	1.77	2916200	49053576.00
1997/07/11	1.76	1.88	1.73	1.86	3224000	53971568.00
1997/07/14	1.86	1.91	1.81	1.85	3750800	64132616.00
1997/07/15	1.85	1.86	1.74	1.80	4496200	74476816.00
1997/07/16	1.80	1.88	1.75	1.83	3549500	59836704.00
1997/07/17	1.81	1.86	1.77	1.80	2299000	38525824.00
1997/07/18	1.80	1.82	1.77	1.80	2514800	41748412.00
1997/07/21	1.80	1.80	1.70	1.72	3392000	55136464.00
1997/07/22	1.70	1.77	1.64	1.74	2352600	37448472.00
1997/07/23	1.74	1.79	1.70	1.70	2030200	33324202.00
1997/07/24	1.69	1.73	1.66	1.68	1675500	26816096.00
1997/07/25	1.66	1.76	1.66	1.71	1675500	26831226.00
1997/07/28	1.66	1.69	1.56	1.58	1449700	22264328.00
1997/07/29	1.57	1.63	1.54	1.59	1589000	24068240.00
1997/07/30	1.60	1.66	1.59	1.63	1126500	17411852.00
1997/07/31	1.64	1.68	1.63	1.64	1173300	18371934.00
1997/08/01	1.65	1.74	1.65	1.71	1626000	26104274.00
1997/08/04	1.71	1.73	1.67	1.70	1380300	22025012.00
1997/08/05	1.70	1.71	1.66	1.67	1044800	16558614.00
1997/08/06	1.67	1.67	1.61	1.62	982900	15300227.00
1997/08/07	1.60	1.74	1.58	1.74	1058700	16284275.00
1997/08/08	1.72	1.72	1.61	1.65	1294600	20499476.00
1997/08/11	1.65	1.66	1.60	1.60	1126700	17357690.00
1997/08/12	1.60	1.63	1.56	1.56	1096400	16705819.00
1997/08/13	1.57	1.59	1.52	1.52	1539500	23136828.00
1997/08/14	1.52	1.59	1.52	1.58	1188100	17800240.00
1997/08/15	1.59	1.60	1.49	1.51	1194000	17682524.00
1997/08/18	1.50	1.50	1.41	1.44	1470500	20808268.00
1997/08/19	1.60	1.64	1.52	1.57	2395000	36357080.00
1997/08/20	1.57	1.60	1.54	1.59	1231200	18573106.00
1997/08/21	1.61	1.62	1.57	1.59	1404000	21428148.00
1997/08/22	1.60	1.68	1.57	1.64	2044100	31669524.00
1997/08/25	1.67	1.73	1.66	1.70	2382300	38142080.00
1997/08/26	1.71	1.72	1.67	1.68	2260700	36172040.00
1997/08/27	1.69	1.69	1.65	1.67	1298600	20515562.00
1997/08/28	1.69	1.75	1.68	1.70	1924700	30933332.00
1997/08/29	1.70	1.72	1.67	1.71	1519200	24248668.00
1997/09/01	1.69	1.83	1.69	1.81	4863800	81160632.00
1997/09/02	1.81	1.85	1.77	1.79	3149300	52875828.00
1997/09/03	1.79	1.81	1.76	1.79	1671400	27838628.00
1997/09/04	1.82	1.87	1.80	1.84	2949400	50024436.00
1997/09/05	1.83	1.85	1.80	1.80	1420500	23896504.00
1997/09/08	1.80	1.82	1.74	1.82	1503400	24718940.00
1997/09/09	1.81	1.81	1.73	1.73	914000	15086321.00
1997/09/10	1.73	1.75	1.70	1.74	1083000	17564464.00
1997/09/11	1.74	1.80	1.73	1.74	1395900	22975212.00
1997/09/12	1.73	1.74	1.69	1.69	1134700	18284340.00
1997/09/15	1.69	1.69	1.61	1.62	1256100	19498368.00
1997/09/16	1.62	1.68	1.62	1.66	875100	13667549.00
1997/09/17	1.64	1.66	1.60	1.61	470100	7295714.00
1997/09/18	1.61	1.65	1.61	1.63	547100	8465745.00
1997/09/19	1.64	1.71	1.64	1.68	889200	14106253.00
1997/09/22	1.67	1.68	1.54	1.55	1023000	15591422.00
1997/09/23	1.54	1.60	1.43	1.46	1635400	23938470.00
1997/09/24	1.54	1.63	1.49	1.61	2600800	39142728.00
1997/09/25	1.63	1.67	1.60	1.61	1506900	23336988.00
1997/09/26	1.61	1.63	1.55	1.59	821600	12479418.00
1997/09/29	1.61	1.61	1.53	1.54	814200	12147299.00
1997/09/30	1.56	1.58	1.54	1.56	790900	11860599.00
1997/10/06	1.62	1.73	1.59	1.68	2960600	47046740.00
1997/10/07	1.66	1.71	1.64	1.67	1257100	19788334.00
1997/10/08	1.71	1.72	1.67	1.69	1909900	30618432.00
1997/10/09	1.70	1.72	1.67	1.69	900400	14366630.00
1997/10/10	1.70	1.78	1.70	1.73	2130000	34795100.00
1997/10/13	1.74	1.77	1.69	1.70	999600	16140744.00
1997/10/14	1.71	1.71	1.66	1.68	781800	12352321.00
1997/10/15	1.75	1.76	1.70	1.72	1125100	18244954.00
1997/10/16	1.74	1.84	1.73	1.79	3343600	55478832.00
1997/10/17	1.80	1.88	1.80	1.85	5639500	96075160.00
1997/10/20	1.88	1.96	1.84	1.92	5799600	101610224.00
1997/10/21	1.92	1.93	1.88	1.91	2962700	51588996.00
1997/10/22	1.93	2.04	1.90	1.95	7863500	140888736.00
1997/10/23	1.95	2.02	1.91	1.99	5501600	98802712.00
1997/10/24	1.99	2.12	1.99	2.10	7789000	145529520.00
1997/10/27	2.19	2.26	2.13	2.19	8857600	172987728.00
1997/10/28	2.19	2.19	1.97	1.99	7722100	143346704.00
1997/10/29	1.96	2.02	1.93	2.01	5097200	91523968.00
1997/10/30	2.04	2.10	1.97	1.98	4893300	89491872.00
1997/10/31	1.94	2.05	1.93	2.04	3447400	62167596.00
1997/11/03	2.07	2.08	2.00	2.02	2104300	38795000.00
1997/11/04	2.02	2.05	1.97	1.99	2004100	36282784.00
1997/11/05	2.00	2.10	1.99	2.04	3274300	60452516.00
1997/11/06	2.05	2.09	1.97	1.99	3281300	59746876.00
1997/11/07	1.99	2.03	1.88	1.94	5515900	97327056.00
1997/11/10	1.93	1.93	1.78	1.78	5223700	88119272.00
1997/11/11	1.76	1.80	1.74	1.78	3264200	54106616.00
1997/11/12	1.77	1.78	1.69	1.70	2774400	44900860.00
1997/11/13	1.70	1.80	1.68	1.77	2145500	34987080.00
1997/11/14	1.79	1.80	1.73	1.74	1366700	22302408.00
1997/11/17	1.77	1.77	1.69	1.69	1741000	27935242.00
1997/11/18	1.68	1.71	1.67	1.67	962500	15284066.00
1997/11/19	1.67	1.73	1.67	1.69	795100	12714120.00
1997/11/20	1.69	1.74	1.68	1.69	992400	15956761.00
1997/11/21	1.69	1.69	1.64	1.65	1386400	21695816.00
1997/11/24	1.63	1.64	1.57	1.58	712100	10856348.00
1997/11/25	1.57	1.61	1.49	1.61	3275900	48678344.00
1997/11/26	1.50	1.61	1.50	1.60	4560500	68864592.00
1997/11/27	1.58	1.59	1.54	1.55	1809600	27137452.00
1997/11/28	1.54	1.60	1.52	1.60	1614600	24353272.00
1997/12/01	1.59	1.59	1.56	1.56	970200	14606854.00
1997/12/02	1.56	1.57	1.54	1.55	907000	13576784.00
1997/12/03	1.54	1.56	1.53	1.56	638600	9494998.00
1997/12/04	1.56	1.60	1.54	1.60	1027600	15574382.00
1997/12/05	1.60	1.61	1.57	1.57	900400	13681367.00
1997/12/08	1.57	1.60	1.56	1.56	620000	9338139.00
1997/12/09	1.56	1.60	1.55	1.60	886700	13432746.00
1997/12/10	1.60	1.65	1.59	1.61	1163100	17945800.00
1997/12/11	1.62	1.62	1.57	1.58	748900	11375522.00
1997/12/12	1.58	1.60	1.56	1.57	1245100	18788364.00
1997/12/15	1.57	1.58	1.56	1.57	1087400	16389801.00
1997/12/16	1.58	1.64	1.57	1.61	1215300	18656334.00
1997/12/17	1.61	1.61	1.54	1.55	1296700	19498638.00
1997/12/18	1.54	1.55	1.52	1.54	1083200	16098887.00
1997/12/19	1.54	1.55	1.52	1.54	1069200	15846203.00
1997/12/22	1.54	1.54	1.48	1.53	1947300	28446622.00
1997/12/23	1.59	1.60	1.54	1.55	814400	12234018.00
1997/12/24	1.55	1.57	1.51	1.57	1364100	20158232.00
1997/12/25	1.57	1.61	1.54	1.56	1068500	16115200.00
1997/12/26	1.57	1.63	1.56	1.57	902900	13633438.00
1997/12/29	1.57	1.57	1.53	1.54	1155500	17225570.00
1997/12/30	1.54	1.54	1.51	1.52	1074700	15857808.00
1997/12/31	1.52	1.56	1.51	1.54	781400	11553981.00
1998/01/05	1.53	1.61	1.50	1.57	2078000	30975484.00
1998/01/06	1.57	1.59	1.55	1.56	1827300	27461204.00
1998/01/07	1.56	1.64	1.54	1.63	2874500	44098512.00
1998/01/08	1.63	1.69	1.61	1.64	2040300	32005154.00
1998/01/09	1.63	1.73	1.61	1.70	4125800	65515344.00
1998/01/12	1.70	1.74	1.64	1.64	1785500	28358388.00
1998/01/13	1.60	1.61	1.42	1.54	2711300	40001892.00
1998/01/14	1.56	1.58	1.54	1.57	1480800	22207972.00
1998/01/15	1.60	1.62	1.52	1.56	982300	14774156.00
1998/01/16	1.56	1.59	1.54	1.56	1113700	16722819.00
1998/01/19	1.56	1.57	1.52	1.53	774100	11470344.00
1998/01/20	1.53	1.54	1.50	1.53	736100	10831779.00
1998/01/21	1.53	1.56	1.52	1.54	563600	8350197.00
1998/01/22	1.53	1.54	1.52	1.53	712500	10533090.00
1998/01/23	1.54	1.58	1.54	1.57	681600	10254049.00
1998/02/09	1.60	1.64	1.57	1.58	827100	12567139.00
1998/02/10	1.57	1.63	1.56	1.59	1099200	16731483.00
1998/02/11	1.59	1.61	1.56	1.59	812200	12354726.00
1998/02/12	1.59	1.64	1.59	1.61	985900	15158542.00
1998/02/13	1.60	1.62	1.57	1.58	619600	9433961.00
1998/02/16	1.57	1.57	1.54	1.55	985800	14734599.00
1998/02/17	1.54	1.56	1.53	1.55	475300	7073970.00
1998/02/18	1.55	1.59	1.52	1.56	878700	13080058.00
1998/02/19	1.56	1.56	1.54	1.55	410800	6126536.00
1998/02/20	1.55	1.56	1.53	1.53	533200	7913424.00
1998/02/23	1.52	1.53	1.50	1.52	832400	12231857.00
1998/02/24	1.52	1.56	1.50	1.54	679600	10032244.00
1998/02/25	1.54	1.54	1.50	1.50	461200	6782317.00
1998/02/26	1.50	1.51	1.48	1.49	579800	8419730.00
1998/02/27	1.49	1.52	1.49	1.50	435800	6371481.00
1998/03/02	1.47	1.49	1.42	1.44	920700	13083337.00
