600070 浙江富润 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/04	1.30	1.42	1.28	1.31	15566900	297031232.00
1997/06/05	1.16	1.22	1.14	1.14	1370700	23127388.00
1997/06/06	0.99	0.99	0.99	0.99	306400	4629704.00
1997/06/09	0.85	0.94	0.85	0.90	3727200	51987056.00
1997/06/10	0.89	0.89	0.77	0.77	1897800	25170218.00
1997/06/11	0.78	0.86	0.76	0.85	2574900	33839016.00
1997/06/12	0.84	0.84	0.78	0.80	1180200	15447376.00
1997/06/13	0.70	0.83	0.70	0.81	1308000	16712734.00
1997/06/16	0.81	0.81	0.77	0.81	1469500	19062112.00
1997/06/17	0.80	0.81	0.74	0.75	818200	10406178.00
1997/06/18	0.75	0.76	0.71	0.71	778900	9526071.00
1997/06/19	0.71	0.72	0.66	0.67	823900	9731464.00
1997/06/20	0.69	0.73	0.67	0.72	916100	11012031.00
1997/06/23	0.73	0.75	0.64	0.68	1091300	12963225.00
1997/06/24	0.69	0.73	0.67	0.70	911600	10898772.00
1997/06/25	0.71	0.71	0.68	0.70	670400	7974114.00
1997/06/26	0.70	0.70	0.65	0.67	666800	7767106.00
1997/06/27	0.67	0.69	0.62	0.62	926700	10396163.00
1997/07/02	0.58	0.61	0.52	0.58	699300	7271156.00
1997/07/03	0.57	0.63	0.54	0.58	884300	9624994.00
1997/07/04	0.59	0.63	0.55	0.62	940800	10342703.00
1997/07/07	0.64	0.64	0.52	0.54	561000	6044148.00
1997/07/08	0.54	0.58	0.49	0.54	448200	4508620.00
1997/07/09	0.55	0.57	0.48	0.52	373200	3700541.00
1997/07/10	0.53	0.53	0.50	0.51	359900	3543739.00
1997/07/11	0.50	0.56	0.49	0.56	698200	7025874.00
1997/07/14	0.58	0.62	0.57	0.62	1246600	13570048.00
1997/07/15	0.62	0.62	0.58	0.62	649100	7005411.00
1997/07/16	0.60	0.61	0.57	0.59	481200	5121126.00
1997/07/17	0.58	0.64	0.54	0.61	791000	8635514.00
