600072 中船科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/03	3.68	4.48	3.68	4.34	44406200	778710784.00
1997/06/04	4.13	4.19	3.96	3.99	18177100	323578944.00
1997/06/05	3.89	3.93	3.78	3.84	8167300	137167520.00
1997/06/06	3.49	3.65	3.49	3.49	4486300	68841920.00
1997/06/09	3.38	3.46	3.17	3.40	5440300	76300336.00
1997/06/10	3.32	3.38	3.11	3.13	2608600	36311208.00
1997/06/11	3.13	3.19	2.92	3.15	2936300	38935408.00
1997/06/12	3.15	3.17	3.01	3.05	1743200	22890022.00
1997/06/13	2.85	3.13	2.85	3.09	2847700	36500564.00
1997/06/16	3.09	3.13	3.03	3.06	2489800	32557100.00
1997/06/17	3.05	3.05	2.94	2.95	1451100	18439272.00
1997/06/18	2.93	2.97	2.86	2.87	1712200	21075066.00
1997/06/19	2.86	2.90	2.80	2.82	1654400	19881662.00
1997/06/20	2.84	2.96	2.84	2.94	1863500	22996760.00
1997/06/23	2.98	2.99	2.78	2.81	2571400	31047944.00
1997/06/24	2.82	2.94	2.80	2.88	2096000	25562392.00
1997/06/25	2.88	2.90	2.82	2.83	1527100	18356516.00
1997/06/26	2.84	2.86	2.63	2.76	1664500	19418718.00
1997/06/27	2.76	2.78	2.61	2.63	2546200	28388864.00
1997/07/02	2.63	2.67	2.40	2.41	1837100	18601700.00
1997/07/03	2.40	2.54	2.30	2.44	2267500	22609060.00
1997/07/04	2.40	2.46	2.34	2.37	1317300	12972595.00
1997/07/07	2.38	2.42	2.16	2.20	929700	8809741.00
1997/07/08	2.19	2.25	2.04	2.19	1296400	11253410.00
1997/07/09	2.19	2.22	2.11	2.21	1278900	11335528.00
1997/07/10	2.21	2.29	2.15	2.19	1559100	14248909.00
1997/07/11	2.25	2.31	2.20	2.31	1615500	14940432.00
1997/07/14	2.35	2.44	2.31	2.40	2626400	25833744.00
1997/07/15	2.40	2.41	2.21	2.35	1565000	15012746.00
1997/07/16	2.35	2.36	2.26	2.27	1224500	11459262.00
1997/07/17	2.28	2.34	2.27	2.30	1187400	11221531.00
1997/07/18	2.32	2.39	2.32	2.37	1695700	16446272.00
1997/07/21	2.39	2.52	2.39	2.44	3198500	32751292.00
1997/07/22	2.44	2.53	2.40	2.50	2618000	27035570.00
1997/07/23	2.55	2.57	2.46	2.47	1802500	18862948.00
1997/07/24	2.46	2.50	2.38	2.41	1004200	10127046.00
1997/07/25	2.38	2.40	2.33	2.36	994500	9677403.00
1997/07/28	2.36	2.36	2.25	2.27	713000	6786490.00
1997/07/29	2.27	2.34	2.26	2.32	618000	5816242.00
1997/07/30	2.34	2.38	2.31	2.38	644700	6233048.00
1997/07/31	2.41	2.46	2.39	2.46	1520200	15334407.00
1997/08/01	2.46	2.47	2.42	2.45	1003500	10167993.00
1997/08/04	2.46	2.56	2.45	2.55	1835800	19155568.00
1997/08/05	2.56	2.59	2.52	2.52	1524300	16184978.00
1997/08/06	2.52	2.57	2.48	2.49	1379500	14539292.00
1997/08/07	2.46	2.57	2.46	2.57	1209700	12632421.00
1997/08/08	2.58	2.67	2.55	2.62	2957400	32235598.00
1997/08/11	2.61	2.70	2.58	2.61	2322100	25847416.00
1997/08/12	2.60	2.61	2.50	2.52	1587900	16881484.00
1997/08/13	2.48	2.52	2.44	2.45	1141000	11702960.00
1997/08/14	2.45	2.53	2.44	2.52	667200	6882719.00
1997/08/15	2.53	2.58	2.46	2.52	892000	9308067.00
1997/08/18	2.52	2.52	2.42	2.46	747100	7571683.00
1997/08/19	2.52	2.62	2.48	2.57	1880200	20151242.00
1997/08/20	2.57	2.62	2.53	2.61	1291400	13916751.00
1997/08/21	2.63	2.67	2.59	2.64	2143300	23564628.00
1997/08/22	2.63	2.65	2.60	2.61	1686100	18464062.00
1997/08/25	2.66	2.76	2.63	2.74	3615400	41357252.00
1997/08/26	2.76	2.82	2.72	2.81	3302400	38679424.00
1997/08/27	2.82	2.86	2.78	2.80	2164600	25636520.00
1997/08/28	2.80	2.84	2.70	2.78	2294700	26831742.00
1997/08/29	2.78	2.94	2.78	2.83	4804500	58396432.00
1997/09/01	3.01	3.08	2.86	2.90	4220300	52233992.00
1997/09/02	2.91	2.93	2.84	2.88	2602400	31701578.00
1997/09/03	2.89	3.01	2.89	2.98	3162400	39999284.00
1997/09/04	2.99	3.11	2.99	3.05	4135200	54240148.00
1997/09/05	3.05	3.12	3.04	3.05	2167200	28413460.00
1997/09/08	3.07	3.08	3.02	3.07	1434400	18664342.00
1997/09/09	3.05	3.11	2.98	2.98	1210200	15691738.00
1997/09/10	2.99	3.05	2.94	3.03	1436100	18210750.00
1997/09/11	3.06	3.08	2.95	2.96	1210100	15464638.00
1997/09/12	2.97	3.00	2.88	2.89	1654700	20644074.00
1997/09/15	2.99	2.99	2.83	2.84	1358600	16668992.00
1997/09/16	2.84	2.89	2.82	2.83	687200	8276502.00
1997/09/17	2.84	2.85	2.79	2.80	457500	5444658.00
1997/09/18	2.82	2.85	2.79	2.81	503900	5982593.00
1997/09/19	2.83	2.90	2.82	2.89	733300	8933258.00
1997/09/22	2.93	2.93	2.71	2.72	717300	8484350.00
1997/09/23	2.72	2.76	2.57	2.61	1026000	11472263.00
1997/09/24	2.69	2.80	2.67	2.79	1440400	16665880.00
1997/09/25	2.81	2.83	2.77	2.79	912200	10760474.00
1997/09/26	2.82	2.82	2.71	2.75	715500	8292306.00
1997/09/29	2.75	2.75	2.63	2.65	667300	7480047.00
1997/09/30	2.61	2.72	2.61	2.69	301300	3389827.00
1997/10/06	2.68	2.75	2.67	2.70	254800	2905927.00
1997/10/07	2.69	2.69	2.63	2.68	279800	3117603.00
1997/10/08	2.77	2.80	2.73	2.77	491700	5757828.00
1997/10/09	2.78	2.80	2.73	2.74	253900	2954366.00
1997/10/10	2.74	2.81	2.74	2.80	359600	4222426.00
1997/10/13	2.80	2.82	2.73	2.75	147800	1723913.00
1997/10/14	2.73	2.75	2.70	2.74	142700	1630680.00
1997/10/15	2.76	2.77	2.73	2.76	245900	2852121.00
1997/10/16	2.80	2.89	2.77	2.86	1173800	14158593.00
1997/10/17	2.87	2.95	2.86	2.92	1239800	15264815.00
1997/10/20	2.92	2.95	2.85	2.90	890900	10957240.00
1997/10/21	2.92	2.92	2.86	2.88	933100	11346389.00
1997/10/22	2.92	2.96	2.84	2.86	1338100	16453931.00
1997/10/23	2.86	2.90	2.81	2.86	753900	9091632.00
1997/10/24	2.86	2.94	2.86	2.90	1188400	14589343.00
1997/10/27	2.94	3.09	2.92	3.07	3442100	44373884.00
1997/10/28	3.09	3.09	2.88	2.90	1955900	24701988.00
1997/10/29	2.88	2.93	2.86	2.92	931500	11431298.00
1997/10/30	2.92	3.00	2.89	2.89	1355500	16842324.00
1997/10/31	2.88	2.92	2.85	2.90	706300	8602499.00
1997/11/03	2.90	2.92	2.86	2.88	606100	7376630.00
1997/11/04	2.87	2.90	2.86	2.86	659100	8020831.00
1997/11/05	2.86	2.92	2.85	2.89	783300	9578207.00
1997/11/06	2.91	2.98	2.88	2.88	824000	10248792.00
1997/11/07	2.87	2.95	2.86	2.92	745600	9171306.00
1997/11/10	2.94	2.98	2.87	2.90	887400	11104161.00
1997/11/11	2.90	2.90	2.82	2.86	828200	9995837.00
1997/11/12	2.86	2.88	2.81	2.82	681600	8186663.00
1997/11/13	2.81	2.83	2.76	2.83	693600	8166783.00
1997/11/14	2.82	2.89	2.82	2.88	579400	7028576.00
1997/11/17	2.92	2.93	2.85	2.85	320200	3907098.00
1997/11/18	2.85	2.89	2.83	2.86	446500	5384424.00
1997/11/19	2.95	3.11	2.91	3.02	5850800	75837368.00
1997/11/20	3.05	3.17	3.02	3.06	5564900	73442048.00
1997/11/21	3.06	3.26	3.00	3.21	5195100	69441360.00
1997/11/24	3.25	3.31	3.15	3.17	5700500	79119144.00
1997/11/25	3.15	3.25	3.15	3.24	2372800	32552300.00
1997/11/26	3.26	3.28	3.18	3.24	1812900	25009584.00
1997/11/27	3.23	3.23	3.10	3.11	1793200	24129520.00
1997/11/28	3.08	3.16	3.05	3.14	1607000	21334604.00
1997/12/01	3.11	3.19	3.09	3.14	1369900	18429088.00
1997/12/02	3.14	3.21	3.11	3.11	1287100	17447602.00
1997/12/03	3.11	3.18	3.11	3.14	1400200	18894768.00
1997/12/04	3.16	3.37	3.13	3.31	4795400	67624552.00
1997/12/05	3.34	3.36	3.23	3.24	3201300	45309684.00
1997/12/08	3.29	3.40	3.27	3.38	4523000	65143208.00
1997/12/09	3.38	3.49	3.36	3.43	3438700	51248216.00
1997/12/10	3.46	3.49	3.40	3.47	2256000	33541776.00
1997/12/11	3.46	3.46	3.37	3.43	2264900	33419058.00
1997/12/12	3.44	3.53	3.39	3.48	2122500	31767864.00
1997/12/15	3.50	3.61	3.48	3.59	2461400	37996976.00
1997/12/16	3.60	3.64	3.54	3.60	1530600	23882356.00
1997/12/17	3.55	3.55	3.44	3.44	3701400	55713964.00
1997/12/18	3.40	3.49	3.38	3.45	1763500	26364084.00
1997/12/19	3.45	3.48	3.39	3.45	1463600	21709292.00
1997/12/22	3.45	3.57	3.40	3.53	1512400	22922542.00
1997/12/23	3.57	3.59	3.43	3.47	1251800	18901312.00
1997/12/24	3.47	3.53	3.43	3.48	934700	14100872.00
1997/12/25	3.48	3.55	3.48	3.55	1221800	18614752.00
1997/12/26	3.57	3.61	3.51	3.52	1789400	27725704.00
1997/12/29	3.51	3.51	3.40	3.41	1891400	28138770.00
1997/12/30	3.41	3.46	3.41	3.43	882500	13098948.00
1997/12/31	3.42	3.54	3.42	3.48	1054200	15949883.00
1998/01/05	3.49	3.59	3.45	3.58	2301300	35240416.00
1998/01/06	3.58	3.77	3.57	3.71	3136600	50670400.00
1998/01/07	3.71	3.72	3.63	3.68	1662100	26577368.00
1998/01/08	3.67	3.67	3.60	3.62	1448100	22929064.00
1998/01/09	3.61	3.66	3.55	3.62	1748000	27257920.00
1998/01/12	3.60	3.62	3.49	3.49	1479900	22952208.00
1998/01/13	3.46	3.46	3.18	3.32	3300000	46898012.00
1998/01/14	3.36	3.39	3.33	3.36	1828700	26491544.00
1998/01/15	3.37	3.50	3.36	3.42	1318200	19576588.00
1998/01/16	3.42	3.46	3.40	3.41	637000	9426772.00
1998/01/19	3.40	3.48	3.37	3.40	850100	12605180.00
1998/01/20	3.40	3.48	3.36	3.40	729000	10711098.00
1998/01/21	3.41	3.49	3.41	3.43	692500	10312925.00
1998/01/22	3.46	3.57	3.44	3.54	1258600	19099662.00
1998/01/23	3.45	3.59	3.45	3.52	1064000	16330798.00
1998/02/09	3.59	3.64	3.54	3.55	1201900	18615096.00
1998/02/10	3.55	3.55	3.41	3.45	1262500	18918812.00
1998/02/11	3.45	3.47	3.39	3.42	929200	13741196.00
1998/02/12	3.42	3.52	3.36	3.51	1294300	19034376.00
1998/02/13	3.51	3.52	3.43	3.46	930200	13936549.00
1998/02/16	3.52	3.60	3.46	3.59	2730600	42018760.00
1998/02/17	3.68	3.73	3.49	3.51	1562300	24224868.00
1998/02/18	3.51	3.51	3.45	3.46	818400	12264444.00
1998/02/19	3.47	3.51	3.43	3.47	474300	7109749.00
1998/02/20	3.46	3.51	3.45	3.47	427100	6413722.00
1998/02/23	3.46	3.46	3.38	3.42	602900	8855631.00
1998/02/24	3.43	3.45	3.37	3.38	485300	7117065.00
1998/02/25	3.38	3.38	3.26	3.26	720800	10325878.00
1998/02/26	3.27	3.34	3.26	3.33	551100	7811544.00
1998/02/27	3.35	3.36	3.27	3.29	501200	7107474.00
1998/03/02	3.22	3.25	3.15	3.17	782300	10738544.00
1998/03/03	3.17	3.26	3.17	3.25	448500	6161713.00
1998/03/04	3.23	3.27	3.19	3.26	275000	3828734.00
1998/03/05	3.26	3.27	3.17	3.18	542500	7459206.00
1998/03/06	3.20	3.21	3.16	3.18	509600	6956646.00
1998/03/09	3.19	3.19	3.13	3.14	585600	7905652.00
1998/03/10	3.13	3.23	3.11	3.19	441300	5953649.00
1998/03/11	3.20	3.26	3.18	3.24	477400	6604958.00
1998/03/12	3.15	3.19	3.09	3.11	1045200	14028538.00
1998/03/13	3.10	3.17	3.09	3.15	604200	8094214.00
1998/03/16	3.15	3.23	3.14	3.22	542600	7437552.00
1998/03/17	3.22	3.30	3.22	3.26	813200	11394228.00
1998/03/18	3.27	3.27	3.18	3.19	471600	6548390.00
1998/03/19	3.19	3.23	3.16	3.17	316600	4339513.00
1998/03/20	3.17	3.18	3.15	3.17	256100	3478066.00
1998/03/23	3.17	3.23	3.15	3.19	392300	5384933.00
1998/03/24	3.22	3.23	3.18	3.22	329300	4541968.00
1998/03/25	3.26	3.27	3.17	3.18	483400	6667788.00
1998/03/26	3.17	3.18	3.13	3.14	456300	6145268.00
1998/03/27	3.13	3.26	3.12	3.23	937500	12804876.00
1998/03/30	3.20	3.31	3.20	3.29	1121400	15761394.00
1998/03/31	3.28	3.29	3.22	3.23	734400	10263617.00
1998/04/01	3.24	3.30	3.19	3.29	990700	13684566.00
1998/04/02	3.32	3.36	3.28	3.28	1407400	20111708.00
