600073 上海梅林 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/04	1.58	1.86	1.58	1.65	53921300	375882752.00
1997/07/07	1.66	1.69	1.41	1.42	20175700	129567888.00
1997/07/08	1.41	1.49	1.27	1.45	11415400	69711456.00
1997/07/09	1.42	1.44	1.32	1.37	7263300	43851604.00
1997/07/10	1.37	1.44	1.31	1.37	7072000	42540784.00
1997/07/11	1.36	1.55	1.35	1.53	9811700	62422640.00
1997/07/14	1.58	1.75	1.55	1.75	22451500	156844624.00
1997/07/15	1.80	1.90	1.73	1.83	23099400	169841360.00
1997/07/16	1.83	1.85	1.72	1.77	10073900	72509440.00
1997/07/17	1.75	1.87	1.74	1.83	8091400	59331624.00
1997/07/18	1.82	1.82	1.73	1.78	6898400	49609136.00
1997/07/21	1.80	1.83	1.68	1.71	7118900	51533700.00
1997/07/22	1.70	1.76	1.61	1.75	6643500	45983928.00
1997/07/23	1.77	1.80	1.69	1.71	4205500	29777628.00
1997/07/24	1.69	1.77	1.66	1.73	3620100	25462636.00
1997/07/25	1.69	1.73	1.67	1.69	2386400	16696558.00
1997/07/28	1.70	1.82	1.69	1.74	6046700	43514972.00
1997/07/29	1.74	1.79	1.70	1.76	3476000	24840776.00
1997/07/30	1.77	1.96	1.76	1.93	16489300	124752456.00
1997/07/31	1.93	1.96	1.84	1.89	6902400	52282800.00
1997/08/01	1.89	1.99	1.87	1.90	6775100	52074608.00
1997/08/04	1.93	1.99	1.92	1.95	5669200	43972188.00
1997/08/05	1.98	1.99	1.89	1.93	4848000	37167196.00
1997/08/06	1.92	1.92	1.80	1.81	4287700	31953776.00
1997/08/07	1.78	1.89	1.75	1.89	3558500	25952172.00
1997/08/08	1.90	1.91	1.84	1.85	3400100	25386498.00
1997/08/11	1.83	1.83	1.74	1.76	3773600	27166396.00
1997/08/12	1.75	1.83	1.74	1.74	2088600	15031798.00
1997/08/13	1.74	1.77	1.64	1.66	2066800	14584964.00
1997/08/14	1.66	1.75	1.63	1.75	2610500	18179424.00
1997/08/15	1.76	1.77	1.65	1.67	1971100	13720663.00
1997/08/18	1.66	1.66	1.56	1.61	1867800	12535712.00
1997/08/19	1.60	1.62	1.56	1.59	1560100	10414624.00
1997/08/20	1.60	1.65	1.59	1.63	912500	6164841.00
1997/08/21	1.64	1.68	1.61	1.66	1491400	10180357.00
1997/08/22	1.65	1.68	1.60	1.68	1811100	12388075.00
1997/08/25	1.44	1.55	1.44	1.48	5974600	37831736.00
1997/08/26	1.48	1.48	1.39	1.46	5570300	34624876.00
1997/08/27	1.46	1.58	1.44	1.57	4061100	26122704.00
1997/08/28	1.57	1.58	1.50	1.56	3208500	20985464.00
1997/08/29	1.56	1.63	1.52	1.60	3411400	22794554.00
1997/09/01	1.58	1.59	1.50	1.55	2975800	19415544.00
1997/09/02	1.55	1.61	1.53	1.58	2665500	17694330.00
1997/09/03	1.58	1.60	1.55	1.59	2401300	15902750.00
1997/09/04	1.60	1.68	1.59	1.65	5299400	36249968.00
1997/09/05	1.65	1.75	1.63	1.73	6399800	45074624.00
1997/09/08	1.76	1.83	1.74	1.75	6087300	44253976.00
1997/09/09	1.75	1.82	1.72	1.74	5390200	38711608.00
1997/09/10	1.75	1.87	1.75	1.87	8119300	59630844.00
1997/09/11	1.87	1.92	1.74	1.77	7732500	57260644.00
1997/09/12	1.77	1.80	1.67	1.68	3627200	25740028.00
1997/09/15	1.68	1.71	1.61	1.63	2407600	16620994.00
1997/09/16	1.64	1.69	1.63	1.66	1315500	9037082.00
1997/09/17	1.68	1.68	1.59	1.61	1198400	8159285.00
1997/09/18	1.64	1.65	1.57	1.60	1064100	7168596.00
1997/09/19	1.62	1.66	1.60	1.66	660600	4490000.00
1997/09/22	1.66	1.66	1.49	1.50	1562800	10323328.00
1997/09/23	1.50	1.53	1.36	1.41	1997200	12475179.00
1997/09/24	1.47	1.54	1.46	1.53	1725400	11048317.00
1997/09/25	1.57	1.76	1.57	1.76	8291200	59101972.00
1997/09/26	1.76	1.77	1.63	1.66	4130800	28722916.00
1997/09/29	1.63	1.63	1.54	1.54	1880500	12466533.00
1997/09/30	1.52	1.58	1.51	1.56	1116400	7319598.00
1997/10/06	1.56	1.59	1.51	1.53	551100	3602883.00
1997/10/07	1.53	1.54	1.46	1.52	762400	4894042.00
1997/10/08	1.56	1.63	1.56	1.59	1116000	7471091.00
1997/10/09	1.62	1.69	1.60	1.63	1574100	10759986.00
1997/10/10	1.63	1.67	1.61	1.64	890500	6077221.00
1997/10/13	1.64	1.66	1.58	1.58	902600	6120118.00
1997/10/14	1.57	1.65	1.56	1.65	561100	3758960.00
1997/10/15	1.65	1.67	1.57	1.65	912600	6247612.00
1997/10/16	1.67	1.68	1.62	1.66	1078500	7370446.00
1997/10/17	1.67	1.69	1.60	1.66	2824100	19355404.00
1997/10/20	1.69	1.69	1.64	1.66	1682800	11573646.00
1997/10/21	1.67	1.67	1.61	1.62	1511200	10241374.00
1997/10/22	1.63	1.68	1.57	1.64	2549100	17333006.00
1997/10/23	1.63	1.65	1.57	1.59	1291400	8653208.00
1997/10/24	1.62	1.63	1.56	1.58	1490900	9869169.00
1997/10/27	1.57	1.70	1.56	1.68	3243200	22205220.00
1997/10/28	1.69	1.70	1.54	1.54	2022800	13542537.00
1997/10/29	1.55	1.60	1.54	1.57	1031700	6802095.00
1997/10/30	1.57	1.61	1.51	1.53	1796300	11794819.00
1997/10/31	1.52	1.56	1.48	1.55	961200	6188754.00
1997/11/03	1.55	1.55	1.49	1.51	1132000	7301836.00
1997/11/04	1.53	1.58	1.51	1.54	704000	4585763.00
1997/11/05	1.51	1.53	1.49	1.52	838200	5401852.00
1997/11/06	1.53	1.55	1.48	1.49	915700	5887027.00
1997/11/07	1.49	1.56	1.47	1.56	1114700	7169524.00
1997/11/10	1.56	1.56	1.48	1.49	1095500	7072032.00
1997/11/11	1.49	1.55	1.48	1.52	937700	6069476.00
1997/11/12	1.52	1.54	1.48	1.50	1035700	6630443.00
1997/11/13	1.48	1.49	1.45	1.49	771700	4873982.00
1997/11/14	1.49	1.56	1.46	1.52	1599300	10397365.00
1997/11/17	1.55	1.58	1.49	1.50	694200	4510730.00
1997/11/18	1.51	1.51	1.47	1.47	638200	4062022.00
1997/11/19	1.48	1.55	1.46	1.52	1295000	8375109.00
1997/11/20	1.55	1.63	1.51	1.54	2490800	16564935.00
1997/11/21	1.52	1.54	1.46	1.50	1026900	6567543.00
1997/11/24	1.49	1.49	1.41	1.42	884200	5523389.00
1997/11/25	1.45	1.45	1.37	1.40	768100	4708636.00
1997/11/26	1.41	1.45	1.38	1.44	699300	4304137.00
1997/11/27	1.41	1.44	1.36	1.39	906600	5526551.00
1997/11/28	1.39	1.42	1.36	1.41	719500	4378296.00
1997/12/01	1.40	1.40	1.37	1.38	687200	4172597.00
1997/12/02	1.38	1.42	1.38	1.39	505400	3093539.00
1997/12/03	1.40	1.41	1.38	1.39	419200	2560477.00
1997/12/04	1.39	1.42	1.37	1.41	720300	4411716.00
1997/12/05	1.42	1.44	1.39	1.41	525600	3237415.00
1997/12/08	1.41	1.47	1.41	1.42	603700	3766545.00
1997/12/09	1.44	1.47	1.42	1.45	575100	3602125.00
1997/12/10	1.45	1.47	1.44	1.45	494100	3092218.00
1997/12/11	1.44	1.45	1.41	1.44	564300	3507710.00
1997/12/12	1.44	1.49	1.42	1.48	1262400	7987752.00
1997/12/15	1.49	1.55	1.49	1.54	1682200	10886839.00
1997/12/16	1.55	1.56	1.51	1.55	1442900	9425588.00
1997/12/17	1.53	1.53	1.46	1.47	1159000	7401204.00
1997/12/18	1.58	1.60	1.52	1.53	2510700	16592271.00
1997/12/19	1.55	1.57	1.48	1.52	1757100	11382860.00
1997/12/22	1.53	1.58	1.49	1.57	1787200	11613699.00
1997/12/23	1.60	1.63	1.57	1.62	3015500	20271924.00
1997/12/24	1.61	1.67	1.56	1.62	1950600	13172275.00
1997/12/25	1.61	1.65	1.59	1.61	1550700	10513432.00
1997/12/26	1.62	1.63	1.57	1.58	1207700	8067655.00
1997/12/29	1.58	1.63	1.56	1.57	1192600	7995515.00
1997/12/30	1.58	1.59	1.49	1.51	1231700	8010196.00
1997/12/31	1.53	1.56	1.51	1.53	612200	3982347.00
1998/01/05	1.56	1.56	1.53	1.56	1392700	9111575.00
1998/01/06	1.53	1.65	1.52	1.61	7373300	49232024.00
1998/01/07	1.61	1.64	1.58	1.60	2104800	14159631.00
1998/01/08	1.60	1.66	1.58	1.64	2334800	15772662.00
1998/01/09	1.63	1.78	1.63	1.74	7438600	52627168.00
1998/01/12	1.76	1.83	1.67	1.69	5234800	37615040.00
1998/01/13	1.67	1.68	1.45	1.60	4584400	30456968.00
1998/01/14	1.60	1.69	1.60	1.66	2843300	19421708.00
1998/01/15	1.68	1.76	1.65	1.69	2729400	19063822.00
1998/01/16	1.70	1.73	1.63	1.67	1562800	10788603.00
1998/01/19	1.67	1.69	1.61	1.64	1370600	9360210.00
1998/01/20	1.64	1.66	1.58	1.60	1235600	8329463.00
1998/01/21	1.58	1.63	1.58	1.60	517100	3467203.00
1998/01/22	1.61	1.61	1.56	1.57	1180600	7829006.00
1998/01/23	1.57	1.61	1.57	1.60	949000	6356692.00
1998/02/09	1.70	1.70	1.63	1.64	1604700	11035458.00
1998/02/10	1.65	1.75	1.65	1.69	3748300	26399690.00
1998/02/11	1.69	1.70	1.66	1.67	1587200	10996188.00
1998/02/12	1.68	1.77	1.67	1.75	3842000	27202400.00
1998/02/13	1.75	1.79	1.70	1.70	2102300	14935688.00
1998/02/16	1.72	1.78	1.72	1.74	2313700	16474505.00
1998/02/17	1.75	1.75	1.70	1.73	1226000	8652437.00
1998/02/18	1.73	1.74	1.67	1.68	1093100	7628008.00
1998/02/19	1.68	1.71	1.65	1.67	1416100	9798354.00
1998/02/20	1.68	1.68	1.63	1.65	1192800	8158801.00
1998/02/23	1.65	1.65	1.59	1.63	930600	6285326.00
1998/02/24	1.63	1.65	1.61	1.63	829500	5640109.00
1998/02/25	1.63	1.67	1.60	1.61	764700	5173943.00
1998/02/26	1.63	1.63	1.58	1.59	707700	4749056.00
1998/02/27	1.63	1.63	1.59	1.60	676200	4541296.00
1998/03/02	1.59	1.69	1.57	1.64	1486700	10174762.00
1998/03/03	1.63	1.66	1.60	1.63	620700	4196100.00
1998/03/04	1.64	1.66	1.61	1.65	495500	3379215.00
1998/03/05	1.65	1.68	1.64	1.65	631600	4347623.00
1998/03/06	1.67	1.72	1.66	1.70	2127800	14896348.00
1998/03/09	1.72	1.75	1.70	1.71	1759600	12430268.00
1998/03/10	1.71	1.72	1.68	1.70	1397700	9778299.00
1998/03/11	1.70	1.74	1.67	1.70	1859000	13073853.00
1998/03/12	1.70	1.76	1.69	1.76	2701000	19154806.00
1998/03/13	1.75	1.77	1.67	1.69	1680800	11919093.00
1998/03/16	1.70	1.72	1.65	1.65	1961900	13671783.00
1998/03/17	1.70	1.73	1.63	1.70	1930400	13333382.00
1998/03/18	1.70	1.75	1.69	1.70	2401800	16936164.00
1998/03/19	1.70	1.82	1.70	1.77	5758300	41550168.00
1998/03/20	1.77	1.79	1.74	1.76	2227100	15987325.00
1998/03/23	1.77	1.81	1.77	1.79	2297400	16651664.00
1998/03/24	1.80	1.86	1.76	1.84	4268100	31426976.00
1998/03/25	1.86	1.87	1.77	1.81	2602800	19011452.00
1998/03/26	1.80	1.82	1.76	1.82	2478800	17930004.00
1998/03/27	1.98	1.98	1.86	1.88	10167300	77653104.00
1998/03/30	1.91	2.14	1.91	2.13	14582600	117763872.00
1998/03/31	2.12	2.21	2.02	2.12	8652500	71165072.00
1998/04/01	2.12	2.18	2.07	2.16	5757100	47429176.00
1998/04/02	2.18	2.18	2.05	2.06	6893000	56519952.00
1998/04/03	2.05	2.18	1.99	2.14	6020000	48590156.00
1998/04/06	2.13	2.14	2.05	2.10	4664200	37781528.00
1998/04/07	2.08	2.19	2.04	2.19	5138100	41722812.00
1998/04/08	2.19	2.35	2.17	2.18	8700100	74582368.00
1998/04/09	2.18	2.18	2.05	2.08	5562500	45359168.00
1998/04/10	2.07	2.12	2.05	2.10	2595000	21108938.00
1998/04/13	2.10	2.11	2.06	2.07	3203100	25944888.00
1998/04/14	2.07	2.11	2.05	2.07	2512300	20236512.00
1998/04/15	2.07	2.17	2.06	2.12	2540300	20816570.00
1998/04/16	2.11	2.22	2.10	2.15	4747600	39723848.00
1998/04/17	2.14	2.15	2.08	2.08	2025000	16518855.00
1998/04/20	2.06	2.14	2.05	2.11	1833600	15041628.00
1998/04/21	2.10	2.27	2.10	2.21	5328000	45211448.00
1998/04/22	2.22	2.27	2.18	2.23	3875900	33182756.00
1998/04/23	2.24	2.27	2.14	2.15	2296600	19317676.00
1998/04/24	2.15	2.20	2.09	2.10	2652900	21826966.00
1998/04/27	2.10	2.13	2.08	2.12	1834300	14982962.00
1998/04/28	2.15	2.18	2.12	2.16	1802700	14945055.00
1998/04/29	2.16	2.22	2.11	2.13	2050100	17065914.00
1998/04/30	2.14	2.18	2.11	2.17	2051100	17017816.00
1998/05/04	2.20	2.33	2.18	2.30	5573800	48290416.00
1998/05/05	2.30	2.43	2.29	2.39	10281300	92265728.00
1998/05/07	2.46	2.46	2.17	2.21	5047400	44170136.00
1998/05/08	2.18	2.32	2.17	2.27	3917700	33195748.00
1998/05/11	2.29	2.31	2.17	2.18	3554900	30153756.00
1998/05/12	2.18	2.25	2.17	2.21	1836400	15472722.00
1998/05/13	2.18	2.25	2.18	2.20	2114300	17832344.00
