600075 新疆天业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/17	1.64	1.66	1.45	1.48	16255900	240470944.00
1997/06/18	1.46	1.49	1.42	1.42	3545300	48793136.00
1997/06/19	1.43	1.48	1.42	1.42	1757300	24134746.00
1997/06/20	1.43	1.47	1.43	1.46	1859300	25612538.00
1997/06/23	1.49	1.52	1.45	1.49	3137600	44684864.00
1997/06/24	1.50	1.55	1.50	1.51	2966600	43834732.00
1997/06/25	1.52	1.53	1.47	1.48	1394800	19939896.00
1997/06/26	1.48	1.48	1.46	1.47	1059100	14815290.00
1997/06/27	1.47	1.48	1.42	1.44	1382500	18913458.00
1997/07/02	1.44	1.48	1.35	1.43	976200	13323511.00
1997/07/03	1.43	1.44	1.37	1.37	675600	8791248.00
1997/07/04	1.37	1.39	1.34	1.36	578800	7313352.00
1997/07/07	1.36	1.36	1.26	1.26	696500	8247873.00
1997/07/08	1.25	1.29	1.22	1.28	865800	9714934.00
1997/07/09	1.28	1.28	1.24	1.26	502500	5683062.00
1997/07/10	1.26	1.30	1.25	1.27	600300	6868607.00
1997/07/11	1.25	1.33	1.25	1.32	1205100	14382503.00
1997/07/14	1.34	1.38	1.33	1.36	1259700	15840872.00
1997/07/15	1.35	1.36	1.32	1.34	902700	11083085.00
1997/07/16	1.33	1.38	1.31	1.35	1010900	12507942.00
1997/07/17	1.35	1.37	1.33	1.34	619500	7750249.00
1997/07/18	1.35	1.37	1.33	1.37	740100	9285959.00
1997/07/21	1.35	1.44	1.35	1.40	2461600	32503456.00
1997/07/22	1.41	1.44	1.38	1.43	2077800	27502140.00
1997/07/23	1.45	1.48	1.44	1.45	2333400	32473164.00
1997/07/24	1.45	1.47	1.43	1.43	1500500	20719652.00
1997/07/25	1.43	1.53	1.42	1.46	3041800	42608900.00
1997/07/28	1.47	1.47	1.42	1.42	881600	12132535.00
1997/07/29	1.42	1.47	1.42	1.46	1196600	16579491.00
1997/07/30	1.47	1.50	1.47	1.48	1408000	20175222.00
1997/07/31	1.48	1.51	1.47	1.51	766000	10869404.00
1997/08/01	1.51	1.54	1.50	1.52	1723600	25402526.00
1997/08/04	1.53	1.53	1.50	1.50	850500	12452547.00
1997/08/05	1.51	1.52	1.48	1.49	681800	9825706.00
1997/08/06	1.49	1.52	1.49	1.50	904400	13064930.00
1997/08/07	1.50	1.57	1.49	1.56	2617500	39260096.00
1997/08/08	1.57	1.65	1.55	1.64	3913900	61850644.00
1997/08/11	1.64	1.65	1.58	1.62	2402800	38189688.00
1997/08/12	1.62	1.68	1.61	1.66	1880100	30577300.00
1997/08/13	1.63	1.64	1.57	1.59	991000	15699825.00
1997/08/14	1.61	1.64	1.50	1.59	2797900	42424708.00
1997/08/15	1.58	1.58	1.52	1.54	1427400	21258112.00
1997/08/18	1.52	1.56	1.47	1.55	969600	14525751.00
1997/08/19	1.55	1.55	1.46	1.49	766500	11025818.00
1997/08/20	1.47	1.52	1.45	1.51	919200	13067320.00
1997/08/21	1.51	1.62	1.51	1.59	2834300	43765544.00
1997/08/22	1.60	1.62	1.57	1.60	2039200	31873084.00
1997/08/25	1.63	1.63	1.57	1.59	1866600	29242514.00
1997/08/26	1.59	1.64	1.59	1.62	2372500	37871616.00
1997/08/27	1.75	1.75	1.62	1.65	2931300	48088728.00
1997/08/28	1.65	1.66	1.62	1.62	1305800	20958570.00
1997/08/29	1.62	1.63	1.59	1.61	724800	11467827.00
1997/09/01	1.62	1.66	1.62	1.63	1240400	20033938.00
1997/09/02	1.65	1.68	1.64	1.65	1450600	23830120.00
1997/09/03	1.67	1.68	1.63	1.64	1412100	23118964.00
1997/09/04	1.66	1.67	1.64	1.67	1240000	20308898.00
1997/09/05	1.66	1.67	1.65	1.66	795300	13116092.00
1997/09/08	1.67	1.67	1.65	1.65	487600	7981668.00
1997/09/09	1.65	1.65	1.62	1.63	513700	8311348.00
1997/09/10	1.63	1.64	1.62	1.62	532900	8534854.00
1997/09/11	1.63	1.66	1.62	1.63	750600	12133823.00
1997/09/12	1.62	1.64	1.61	1.61	256200	4108429.00
1997/09/15	1.62	1.62	1.59	1.60	258900	4080264.00
1997/09/16	1.61	1.62	1.60	1.60	378600	5980571.00
1997/09/17	1.60	1.62	1.60	1.60	152600	2401311.00
1997/09/18	1.61	1.62	1.60	1.61	166800	2639760.00
