600077 宋都股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/05/20	2.03	2.20	2.03	2.11	6435800	101121120.00
1997/05/21	2.08	2.11	1.98	1.98	3101500	46511052.00
1997/05/22	1.81	1.91	1.81	1.81	1498000	19769620.00
1997/05/23	1.83	1.96	1.78	1.95	1390600	19340912.00
1997/05/26	2.00	2.01	1.86	1.97	1249500	17806430.00
1997/05/27	1.97	2.00	1.91	1.95	812300	11725683.00
1997/05/28	1.96	2.02	1.89	2.00	897500	13043074.00
1997/05/29	2.00	2.17	1.98	2.15	4205900	66997880.00
1997/05/30	2.14	2.19	2.06	2.16	1671100	26391420.00
1997/06/02	2.21	2.21	2.15	2.21	2729100	44803320.00
1997/06/03	2.21	2.25	2.15	2.16	1922900	31591516.00
1997/06/04	2.16	2.18	2.10	2.13	849300	13530987.00
1997/06/05	2.12	2.14	2.09	2.09	750700	11751052.00
1997/06/06	1.94	2.02	1.92	1.96	957800	13870176.00
1997/06/09	1.95	1.96	1.86	1.91	378200	5222646.00
1997/06/10	1.91	1.95	1.82	1.83	309900	4279195.00
1997/06/11	1.82	1.83	1.76	1.83	407200	5308124.00
1997/06/12	1.83	1.88	1.81	1.85	506100	6795804.00
1997/06/13	1.77	1.93	1.77	1.92	379300	5160790.00
1997/06/16	1.93	1.95	1.89	1.92	343500	4827798.00
1997/06/17	1.89	1.90	1.87	1.89	259600	3580410.00
1997/06/18	1.88	1.89	1.82	1.85	252600	3461379.00
1997/06/19	1.87	1.89	1.85	1.88	274600	3753134.00
1997/06/20	1.88	1.94	1.88	1.93	367100	5152763.00
1997/06/23	1.94	1.96	1.86	1.89	386800	5381334.00
1997/06/24	1.91	1.95	1.85	1.93	957300	13285567.00
1997/06/25	1.93	1.93	1.89	1.91	312400	4373463.00
1997/06/26	1.89	1.90	1.87	1.88	234100	3226737.00
1997/06/27	1.85	1.92	1.85	1.87	272500	3726553.00
1997/07/02	1.94	1.94	1.78	1.87	459200	6297356.00
1997/07/03	1.88	1.89	1.81	1.87	252800	3426842.00
1997/07/04	1.89	1.89	1.84	1.88	223100	3045585.00
1997/07/07	1.89	1.99	1.89	1.93	991300	14202174.00
1997/07/08	1.95	2.05	1.93	2.03	1224300	18002216.00
1997/07/09	2.03	2.04	1.99	2.01	806300	12011795.00
1997/07/10	2.19	2.19	2.03	2.04	1963100	30747712.00
1997/07/11	2.03	2.08	2.02	2.08	1508600	22987384.00
1997/07/14	2.13	2.14	2.08	2.11	1231200	19262484.00
1997/07/15	2.10	2.15	2.08	2.14	1381300	21943208.00
1997/07/16	2.14	2.15	2.08	2.11	792100	12501886.00
1997/07/17	2.11	2.15	2.10	2.14	856100	13613988.00
1997/07/18	2.14	2.21	2.13	2.20	1847300	30146952.00
1997/07/21	2.22	2.25	2.15	2.17	1174000	19568528.00
1997/07/22	2.15	2.19	2.11	2.17	910600	14544171.00
1997/07/23	2.18	2.20	2.11	2.12	568700	9112709.00
1997/07/24	2.13	2.13	2.06	2.06	484800	7532542.00
1997/07/25	2.05	2.07	2.02	2.07	549600	8319612.00
1997/07/28	2.04	2.05	2.02	2.02	318400	4774513.00
1997/07/29	2.02	2.05	2.00	2.02	172800	2591796.00
1997/07/30	2.04	2.08	2.03	2.07	186900	2862393.00
1997/07/31	2.08	2.11	2.08	2.10	280300	4387993.00
1997/08/01	2.09	2.11	2.05	2.08	156700	2411909.00
1997/08/04	2.08	2.08	2.05	2.06	174600	2668192.00
1997/08/05	2.07	2.10	2.03	2.10	163700	2505768.00
1997/08/06	2.09	2.11	2.04	2.05	115600	1777644.00
1997/08/07	2.04	2.07	2.02	2.05	242300	3649581.00
1997/08/08	2.08	2.08	2.00	2.01	276800	4158818.00
1997/08/11	2.00	2.00	1.88	1.92	485600	6854054.00
1997/08/12	1.91	1.96	1.89	1.92	208600	2945190.00
1997/08/13	1.91	1.94	1.90	1.90	143700	2022027.00
1997/08/14	1.90	1.97	1.89	1.96	209800	2939614.00
1997/08/15	1.91	1.91	1.80	1.87	312500	4240644.00
1997/08/19	1.91	1.91	1.82	1.88	131000	1811253.00
1997/08/20	1.95	1.96	1.90	1.94	217300	3089321.00
1997/08/21	1.95	1.96	1.88	1.91	312400	4371522.00
1997/08/22	1.91	1.91	1.89	1.91	357600	4953784.00
1997/08/25	1.91	1.92	1.89	1.90	487300	6757461.00
1997/08/26	1.90	1.90	1.83	1.85	288900	2433828.00
1997/08/27	1.83	1.87	1.79	1.84	325200	2701655.00
1997/08/28	1.85	1.95	1.85	1.92	539600	4741410.00
1997/08/29	1.92	1.92	1.88	1.90	208000	1811129.00
1997/09/01	1.91	1.98	1.91	1.96	553700	4975122.00
1997/09/02	1.94	2.02	1.94	2.00	609000	5551153.00
1997/09/03	2.00	2.05	2.00	2.05	648900	6076127.00
1997/09/04	2.06	2.14	2.03	2.11	1190100	11684917.00
1997/09/05	2.11	2.11	2.05	2.07	549500	5311144.00
1997/09/08	2.07	2.10	2.04	2.05	411500	3915128.00
1997/09/09	2.03	2.04	1.99	1.99	397300	3675871.00
1997/09/10	1.99	2.01	1.96	2.00	285200	2607068.00
1997/09/11	2.00	2.03	1.98	1.98	232900	2143664.00
1997/09/12	1.98	1.99	1.93	1.94	235000	2122926.00
1997/09/15	1.94	1.94	1.89	1.89	255200	2212996.00
1997/09/16	1.89	1.92	1.81	1.90	250700	2130375.00
1997/09/17	1.92	1.92	1.87	1.88	99500	861609.00
1997/09/18	1.90	1.90	1.85	1.88	93900	800214.00
1997/09/19	1.89	1.92	1.86	1.91	145400	1252149.00
1997/09/22	2.01	2.02	1.83	1.83	549700	4933341.00
1997/09/23	1.83	1.83	1.68	1.72	239700	1921902.00
1997/09/24	1.81	1.83	1.74	1.81	231900	1857429.00
1997/09/25	1.83	1.83	1.78	1.80	277700	2271484.00
1997/09/26	1.81	1.81	1.76	1.78	193700	1556572.00
1997/09/29	1.76	1.76	1.72	1.74	149300	1160708.00
1997/09/30	1.72	1.77	1.72	1.76	100200	793879.00
1997/10/06	1.76	1.77	1.76	1.76	54600	435008.00
1997/10/07	1.68	1.76	1.68	1.74	34800	272087.00
1997/10/08	1.78	1.79	1.75	1.78	126400	1010352.00
1997/10/09	1.78	1.81	1.77	1.77	66300	532691.00
