600079 人福医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/06	0.74	0.88	0.74	0.83	15306400	275520896.00
1997/06/09	0.79	0.79	0.74	0.74	599500	10006158.00
1997/06/10	0.66	0.72	0.66	0.66	3383700	50828864.00
1997/06/11	0.64	0.65	0.59	0.65	2976600	41226472.00
1997/06/12	0.64	0.64	0.60	0.61	1330400	18510380.00
1997/06/13	0.58	0.65	0.57	0.63	1765300	24385164.00
1997/06/16	0.63	0.65	0.62	0.62	1570600	22256592.00
1997/06/17	0.63	0.63	0.58	0.58	856700	11856977.00
1997/06/18	0.60	0.63	0.59	0.60	1053200	14510521.00
1997/06/19	0.61	0.61	0.59	0.59	722800	9805660.00
1997/06/20	0.60	0.63	0.60	0.62	1001100	13867149.00
1997/06/23	0.65	0.65	0.59	0.60	1217700	16727799.00
1997/06/24	0.61	0.62	0.59	0.60	819700	11094631.00
1997/06/25	0.60	0.61	0.59	0.60	616100	8308086.00
1997/06/26	0.60	0.60	0.58	0.58	737800	9706735.00
1997/06/27	0.58	0.59	0.54	0.55	851000	10905444.00
1997/07/02	0.55	0.56	0.49	0.49	727800	8448412.00
1997/07/03	0.49	0.54	0.49	0.51	1294500	15283442.00
1997/07/04	0.52	0.52	0.49	0.50	596200	6854522.00
1997/07/07	0.50	0.50	0.45	0.45	488500	5328883.00
1997/07/08	0.43	0.47	0.43	0.46	607300	6209662.00
1997/07/09	0.46	0.47	0.44	0.46	415500	4378092.00
1997/07/10	0.47	0.48	0.44	0.46	642900	6716387.00
1997/07/11	0.46	0.50	0.45	0.50	1054300	11594766.00
1997/07/14	0.51	0.54	0.50	0.52	1480300	17407214.00
1997/07/15	0.52	0.52	0.49	0.51	699500	8080407.00
1997/07/16	0.51	0.51	0.48	0.50	612400	6914309.00
1997/07/17	0.49	0.51	0.49	0.50	401500	4584689.00
1997/07/18	0.50	0.51	0.49	0.51	398100	4551212.00
1997/07/21	0.50	0.53	0.50	0.51	790800	9249059.00
1997/07/22	0.48	0.52	0.48	0.51	410800	4745809.00
1997/07/23	0.52	0.54	0.51	0.53	1332300	16031300.00
1997/07/24	0.52	0.56	0.52	0.54	1554300	19137264.00
1997/07/25	0.53	0.58	0.53	0.57	2496400	31828196.00
1997/07/28	0.58	0.59	0.56	0.56	2066700	26841136.00
1997/07/29	0.56	0.57	0.52	0.54	1104500	13518990.00
1997/07/30	0.54	0.56	0.53	0.56	702800	8769619.00
1997/07/31	0.57	0.57	0.55	0.56	524300	6629258.00
1997/08/01	0.56	0.57	0.54	0.55	383400	4760488.00
1997/08/04	0.55	0.56	0.54	0.55	445200	5572183.00
1997/08/05	0.56	0.58	0.55	0.58	758700	9712609.00
1997/08/06	0.58	0.58	0.55	0.56	496100	6375637.00
1997/08/07	0.55	0.57	0.54	0.57	567900	7036155.00
1997/08/08	0.57	0.57	0.54	0.55	519600	6490159.00
1997/08/11	0.55	0.55	0.49	0.49	691900	8120422.00
1997/08/12	0.49	0.52	0.49	0.49	333800	3824691.00
1997/08/13	0.49	0.51	0.49	0.49	214400	2440288.00
1997/08/14	0.49	0.50	0.49	0.50	256100	2898427.00
1997/08/15	0.47	0.48	0.45	0.45	603200	6304986.00
1997/08/18	0.45	0.45	0.43	0.45	354900	3598230.00
1997/08/19	0.45	0.46	0.45	0.46	167400	1758602.00
1997/08/20	0.46	0.46	0.45	0.46	183900	1938859.00
1997/08/21	0.46	0.49	0.46	0.48	313900	3429258.00
1997/08/22	0.48	0.49	0.47	0.48	291400	3223650.00
1997/08/25	0.49	0.49	0.48	0.48	233600	2566606.00
1997/08/26	0.48	0.48	0.47	0.48	319700	3478756.00
1997/08/27	0.47	0.49	0.47	0.49	383200	4276188.00
1997/08/28	0.49	0.50	0.48	0.49	360800	4075055.00
1997/08/29	0.49	0.50	0.49	0.49	335300	3759614.00
1997/09/01	0.49	0.51	0.49	0.50	425400	4879718.00
1997/09/02	0.51	0.53	0.50	0.53	919400	10918573.00
1997/09/03	0.53	0.53	0.52	0.53	659800	7911207.00
1997/09/04	0.53	0.54	0.53	0.53	404700	4923528.00
1997/09/05	0.53	0.55	0.53	0.55	661300	8187303.00
1997/09/08	0.55	0.56	0.55	0.56	677300	8509396.00
1997/09/09	0.56	0.56	0.53	0.54	530500	6572049.00
1997/09/10	0.53	0.55	0.53	0.55	430300	5242560.00
1997/09/11	0.55	0.56	0.53	0.53	368200	4509095.00
1997/09/12	0.53	0.54	0.48	0.52	397300	4762392.00
1997/09/15	0.51	0.55	0.51	0.53	863600	10570033.00
1997/09/17	0.52	0.55	0.52	0.54	564500	6915337.00
1997/09/18	0.55	0.58	0.55	0.56	1838000	23498424.00
1997/09/19	0.57	0.58	0.56	0.58	2196400	28477180.00
1997/09/22	0.59	0.61	0.56	0.56	3122100	41463700.00
1997/09/23	0.56	0.56	0.50	0.52	1444600	17559346.00
1997/09/24	0.54	0.58	0.53	0.58	1544900	19422284.00
1997/09/25	0.59	0.59	0.57	0.58	1970900	25973724.00
1997/09/26	0.58	0.58	0.55	0.57	886500	11372409.00
1997/09/29	0.56	0.56	0.53	0.54	579800	7165553.00
1997/09/30	0.53	0.55	0.53	0.54	417800	5111962.00
1997/10/06	0.54	0.54	0.53	0.54	247400	3004357.00
1997/10/07	0.54	0.54	0.52	0.54	195300	2337339.00
1997/10/08	0.55	0.56	0.54	0.55	408700	5142931.00
1997/10/09	0.55	0.56	0.54	0.54	260800	3226213.00
1997/10/10	0.54	0.55	0.53	0.54	243300	2976641.00
1997/10/13	0.56	0.56	0.53	0.54	200100	2449789.00
1997/10/14	0.53	0.53	0.52	0.53	293100	3504946.00
1997/10/15	0.53	0.54	0.52	0.53	237000	2855801.00
1997/10/16	0.53	0.57	0.53	0.56	689000	8722134.00
1997/10/17	0.56	0.59	0.56	0.57	1047200	13616672.00
1997/10/20	0.58	0.59	0.57	0.58	1204600	15792690.00
1997/10/21	0.58	0.59	0.57	0.58	590000	7654494.00
1997/10/22	0.58	0.58	0.55	0.55	861000	10976595.00
1997/10/23	0.57	0.58	0.55	0.56	667700	8523933.00
1997/10/24	0.56	0.57	0.55	0.56	566600	7163808.00
1997/10/27	0.56	0.62	0.56	0.62	2430000	33458930.00
1997/10/28	0.64	0.65	0.59	0.59	1930900	26887676.00
1997/10/29	0.58	0.62	0.58	0.61	1046600	14179386.00
1997/10/30	0.61	0.65	0.60	0.60	1589800	22390138.00
1997/10/31	0.59	0.62	0.58	0.61	771600	10326858.00
1997/11/03	0.62	0.62	0.58	0.59	432600	5814636.00
1997/11/04	0.59	0.59	0.59	0.59	244600	3255904.00
1997/11/05	0.59	0.60	0.58	0.60	405100	5435029.00
1997/11/06	0.60	0.62	0.58	0.59	500700	6795722.00
1997/11/07	0.58	0.60	0.58	0.59	407100	5394988.00
1997/11/10	0.59	0.62	0.59	0.60	583500	7976426.00
1997/11/11	0.59	0.61	0.58	0.60	387200	5184435.00
1997/11/12	0.60	0.64	0.59	0.61	1390800	19368550.00
1997/11/13	0.60	0.62	0.59	0.62	571900	7785957.00
1997/11/14	0.62	0.62	0.60	0.60	458000	6278486.00
1997/11/17	0.60	0.62	0.59	0.60	225700	3064256.00
1997/11/18	0.59	0.61	0.59	0.59	258100	3466362.00
1997/11/19	0.59	0.60	0.58	0.59	248700	3306257.00
1997/11/20	0.59	0.59	0.57	0.57	318200	4171861.00
1997/11/21	0.57	0.57	0.55	0.55	457100	5777077.00
1997/11/24	0.55	0.55	0.52	0.52	379100	4612352.00
1997/11/25	0.52	0.54	0.52	0.54	221000	2666724.00
1997/11/26	0.55	0.55	0.53	0.54	237600	2885081.00
1997/11/27	0.54	0.54	0.52	0.52	168300	2028077.00
1997/11/28	0.53	0.55	0.52	0.54	265900	3218180.00
1997/12/01	0.54	0.54	0.53	0.54	150500	1827277.00
1997/12/02	0.54	0.58	0.54	0.54	224400	2815176.00
1997/12/03	0.55	0.55	0.53	0.54	119400	1460884.00
1997/12/04	0.54	0.55	0.53	0.55	327600	4064650.00
1997/12/05	0.56	0.56	0.55	0.55	238200	2990064.00
1997/12/08	0.55	0.56	0.55	0.55	132000	1648345.00
1997/12/09	0.55	0.56	0.55	0.56	178000	2253024.00
1997/12/10	0.56	0.56	0.55	0.56	118100	1495012.00
1997/12/11	0.56	0.56	0.54	0.55	158400	1974900.00
1997/12/12	0.55	0.56	0.54	0.55	285400	3551187.00
