600080 ST金花 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/12	3.30	3.41	3.13	3.28	13514800	177389280.00
1997/06/13	3.11	3.51	3.10	3.51	8998700	125916304.00
1997/06/16	3.61	3.76	3.51	3.74	11288000	175905296.00
1997/06/17	3.67	3.73	3.53	3.58	4190700	64291228.00
1997/06/18	3.59	3.68	3.54	3.64	3081200	47345112.00
1997/06/19	3.70	3.86	3.63	3.63	4927800	79604000.00
1997/06/20	3.63	3.79	3.63	3.78	4768900	75895592.00
1997/06/23	3.82	3.99	3.76	3.96	6502300	109270952.00
1997/06/24	3.96	4.01	3.88	3.92	2497700	42961276.00
1997/06/25	3.95	4.03	3.94	3.96	3110700	54303076.00
1997/06/26	3.95	4.01	3.87	3.99	1914100	33073796.00
1997/06/27	4.01	4.12	3.96	4.04	3703700	65934912.00
1997/07/02	4.09	4.25	3.94	4.23	2418900	43663140.00
1997/07/03	4.42	4.42	4.08	4.22	2750300	50833876.00
1997/07/04	4.20	4.20	4.06	4.08	2174900	39743480.00
1997/07/07	4.11	4.28	4.08	4.24	2813800	52621000.00
1997/07/08	4.29	4.50	4.24	4.43	3341400	66269664.00
1997/07/09	4.43	4.48	4.35	4.45	1514200	30488244.00
1997/07/10	4.47	4.80	4.45	4.70	3350600	72205072.00
1997/07/11	4.69	5.00	4.65	4.93	2298800	52628536.00
1997/07/14	5.02	5.33	5.00	5.33	3374300	83763032.00
1997/07/15	5.45	5.76	5.37	5.73	2267500	60038968.00
1997/07/16	5.83	6.00	5.25	5.25	5507100	143806512.00
1997/07/17	5.19	5.34	4.93	5.30	4623300	111250824.00
1997/07/18	5.25	5.26	5.05	5.11	2134400	51644768.00
1997/07/21	5.07	5.23	5.00	5.11	1659900	39844056.00
1997/07/22	5.11	5.44	5.07	5.41	3061700	76739440.00
1997/07/23	5.45	5.59	5.25	5.30	2425200	62659344.00
1997/07/24	5.28	5.39	5.06	5.09	1695900	41257672.00
1997/07/25	5.07	5.14	4.95	5.10	1362700	32163572.00
1997/07/28	5.07	5.07	4.78	4.78	1375300	31517052.00
1997/07/29	4.75	4.95	4.69	4.92	1504900	33485964.00
1997/07/30	4.93	4.98	4.88	4.93	645700	14831859.00
1997/07/31	4.94	5.07	4.93	5.07	970500	22764856.00
1997/08/01	5.09	5.15	5.03	5.14	620700	14784886.00
1997/08/04	5.01	5.19	4.90	5.11	1183200	28044262.00
1997/08/05	5.07	5.07	4.93	5.00	553300	12940030.00
1997/08/06	4.95	5.11	4.94	5.07	708800	16689423.00
1997/08/07	5.09	5.18	5.01	5.10	929900	22226592.00
1997/08/11	5.37	5.37	4.80	4.80	737200	16946848.00
1997/08/12	4.76	4.87	4.73	4.74	570600	12636453.00
1997/08/13	4.87	4.92	4.76	4.86	350900	7904269.00
1997/08/14	4.85	5.02	4.83	4.95	491000	11253363.00
1997/08/15	5.00	5.21	5.00	5.11	1090200	26100826.00
1997/08/18	5.19	5.19	4.90	5.06	1035100	24548044.00
1997/08/19	5.11	5.11	4.83	4.94	829500	11877924.00
1997/08/20	4.94	5.02	4.89	4.96	348900	5041080.00
1997/08/21	4.95	5.32	4.95	5.26	2100600	32273500.00
1997/08/22	5.24	5.28	5.18	5.27	1189300	18416096.00
1997/08/25	5.30	5.43	5.29	5.35	1845700	29556454.00
1997/08/26	5.35	5.70	5.33	5.66	2762700	46136784.00
1997/08/27	5.67	5.80	5.63	5.79	2254400	38990328.00
1997/08/28	5.81	5.85	5.66	5.68	1623800	28073720.00
1997/08/29	5.66	5.76	5.58	5.73	1498300	25549334.00
1997/09/01	5.74	5.76	5.60	5.63	1070000	18213524.00
1997/09/02	5.60	5.67	5.57	5.59	936000	15805130.00
1997/09/03	5.59	5.62	5.40	5.46	3229200	52649496.00
1997/09/04	5.46	5.56	5.42	5.49	1499300	24526786.00
1997/09/05	5.54	5.63	5.49	5.55	988500	16485163.00
1997/09/08	5.55	5.55	5.41	5.45	764700	12393229.00
1997/09/09	5.47	5.47	5.34	5.41	919100	14725994.00
1997/09/10	5.38	5.40	5.27	5.33	743800	11758099.00
1997/09/11	5.33	5.46	5.24	5.35	933000	14767536.00
