600085 同仁堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/25	-0.96	-0.86	-1.01	-0.94	34095500	587851840.00
1997/06/26	-0.97	-0.80	-1.01	-0.86	11213100	201651264.00
1997/06/27	-0.86	-0.80	-0.92	-0.90	8830500	160882528.00
1997/07/02	-0.89	-0.85	-1.05	-1.00	4605700	77620176.00
1997/07/03	-1.00	-0.99	-1.12	-1.10	3510700	54962828.00
1997/07/04	-1.14	-1.07	-1.16	-1.10	1871100	28772448.00
1997/07/07	-1.10	-1.10	-1.23	-1.23	2038300	29624818.00
1997/07/08	-1.26	-1.20	-1.32	-1.22	2234100	30348046.00
1997/07/09	-1.23	-1.18	-1.27	-1.19	1720500	24232604.00
1997/07/10	-1.19	-1.19	-1.24	-1.24	1334700	18768568.00
1997/07/11	-1.24	-1.15	-1.24	-1.16	1908700	27447052.00
1997/07/14	-1.15	-1.11	-1.17	-1.13	2229200	33406942.00
1997/07/15	-1.14	-1.14	-1.20	-1.17	1672800	24411068.00
1997/07/16	-1.16	-1.12	-1.20	-1.14	1974300	29336600.00
1997/07/17	-1.14	-1.11	-1.16	-1.14	1428100	21409444.00
1997/07/18	-1.14	-1.08	-1.16	-1.11	1775100	26882672.00
1997/07/21	-1.08	-1.08	-1.15	-1.14	1414900	21788328.00
1997/07/22	-1.13	-1.12	-1.17	-1.12	1059700	15844701.00
1997/07/23	-1.11	-1.09	-1.15	-1.14	895600	13551519.00
1997/07/24	-1.16	-1.14	-1.18	-1.18	600500	8842863.00
1997/07/25	-1.19	-1.18	-1.20	-1.19	735700	10565608.00
1997/07/28	-1.21	-1.20	-1.23	-1.23	736600	10319185.00
1997/07/29	-1.23	-1.20	-1.24	-1.22	510400	7167855.00
1997/07/30	-1.22	-1.18	-1.22	-1.18	525400	7527090.00
1997/07/31	-1.18	-1.16	-1.20	-1.18	503600	7288772.00
1997/08/01	-1.18	-1.17	-1.20	-1.18	394600	5688486.00
