600088 中视传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/16	5.25	5.50	4.92	5.10	34223800	676461056.00
1997/06/17	4.89	5.13	4.64	4.87	9345300	176145744.00
1997/06/18	4.93	4.98	4.59	4.61	5508800	101277576.00
1997/06/19	4.63	4.67	4.30	4.32	6052000	105650832.00
1997/06/20	4.48	4.82	4.45	4.82	4948900	90135312.00
1997/06/23	5.03	5.28	4.75	5.27	11389300	221719088.00
1997/06/24	5.27	5.37	5.15	5.19	6139000	123199912.00
1997/06/25	5.18	5.30	5.05	5.13	3462400	68693208.00
1997/06/26	5.26	5.26	5.00	5.04	2720900	53034312.00
1997/06/27	5.03	5.42	5.02	5.09	5540100	110925808.00
1997/07/02	5.18	5.24	4.51	4.83	2991200	56341372.00
1997/07/03	4.80	4.80	4.36	4.39	2378200	41886964.00
1997/07/04	4.34	4.49	4.23	4.31	2522400	43044940.00
1997/07/07	4.31	4.34	3.81	3.81	2063000	32705996.00
1997/07/08	3.75	3.98	3.51	3.80	2642800	39574528.00
1997/07/09	3.77	3.94	3.67	3.87	1705600	26122228.00
1997/07/10	3.85	3.98	3.75	3.80	1618200	24701008.00
1997/07/11	3.75	4.07	3.71	4.05	1652200	25935260.00
1997/07/14	4.13	4.19	4.00	4.07	2311100	37252464.00
1997/07/15	4.07	4.09	3.86	3.92	1940500	30280156.00
1997/07/16	3.89	4.17	3.81	4.01	1852400	29341270.00
1997/07/17	4.04	4.04	3.93	3.98	1130400	17811082.00
1997/07/18	3.95	4.09	3.89	4.03	1285100	20230106.00
1997/07/21	4.07	4.09	3.88	3.89	1002400	15830972.00
1997/07/22	3.89	3.92	3.74	3.89	1026500	15636405.00
1997/07/23	3.97	4.04	3.85	3.90	1370500	21501500.00
1997/07/24	3.90	3.96	3.71	3.75	963300	14626144.00
1997/07/25	3.75	4.01	3.67	3.87	905900	14018315.00
1997/07/28	3.78	3.86	3.60	3.61	848600	12555398.00
1997/07/29	3.60	3.68	3.53	3.61	696600	10077032.00
1997/07/30	3.65	3.78	3.60	3.75	600100	8876031.00
1997/07/31	3.75	3.78	3.62	3.67	719700	10665801.00
1997/08/01	3.69	3.78	3.66	3.74	541800	8080226.00
1997/08/04	3.75	3.80	3.67	3.78	791000	11857478.00
1997/08/05	3.84	3.84	3.67	3.70	529700	7976938.00
1997/08/06	3.69	3.78	3.60	3.61	461000	6836868.00
1997/08/07	3.60	3.65	3.54	3.63	608400	8780483.00
1997/08/08	3.73	3.73	3.51	3.55	886800	12789065.00
1997/08/11	3.54	3.54	3.23	3.25	1363500	18450240.00
1997/08/12	3.25	3.34	3.16	3.16	601700	8019333.00
1997/08/13	3.19	3.26	3.07	3.10	718200	9345923.00
1997/08/14	3.11	3.48	3.11	3.48	619400	8359533.00
1997/08/15	3.07	3.31	3.07	3.16	1233400	16113233.00
1997/08/18	3.19	3.36	3.12	3.31	796800	10593047.00
1997/08/19	3.28	3.48	3.28	3.40	1329200	18517718.00
1997/08/20	3.45	3.50	3.40	3.45	872400	12152498.00
1997/08/21	3.48	3.48	3.40	3.41	774500	10799851.00
1997/08/22	3.42	3.50	3.40	3.47	829500	11630856.00
1997/08/25	3.54	3.59	3.46	3.51	754100	10734902.00
1997/08/26	3.51	3.53	3.43	3.45	1056200	14790711.00
1997/08/27	3.47	3.58	3.45	3.55	930700	13269615.00
1997/08/29	3.57	3.57	3.37	3.44	510500	7112957.00
1997/09/01	3.43	3.45	3.33	3.40	718900	9866808.00
1997/09/02	3.37	3.43	3.36	3.40	482300	6640793.00
1997/09/03	3.45	3.60	3.41	3.53	1238200	17722596.00
1997/09/04	3.57	3.63	3.53	3.61	906200	13056422.00
1997/09/05	3.63	3.66	3.57	3.59	586400	8526535.00
1997/09/08	3.60	3.60	3.50	3.56	453700	6476261.00
1997/09/09	3.56	3.56	3.42	3.44	375700	5305573.00
1997/09/10	3.44	3.47	3.38	3.45	449900	6240708.00
1997/09/11	3.46	3.48	3.38	3.39	505600	7011109.00
1997/09/12	3.43	3.57	3.41	3.41	762700	10739190.00
1997/09/15	3.43	3.46	3.29	3.33	406300	5560344.00
1997/09/16	3.34	3.40	3.31	3.38	299800	4098366.00
1997/09/17	3.54	3.54	3.31	3.35	506600	7028086.00
1997/09/18	3.42	3.45	3.37	3.41	219400	3035855.00
1997/09/19	3.44	3.51	3.40	3.43	233600	3261531.00
1997/09/22	3.45	3.45	3.11	3.12	448300	5972669.00
1997/09/23	3.10	3.19	2.83	2.88	697200	8749039.00
1997/09/24	3.01	3.13	2.96	3.07	532200	6674305.00
1997/09/25	3.13	3.17	3.04	3.09	486200	6245547.00
1997/09/26	3.08	3.10	3.02	3.06	246800	3119015.00
1997/09/29	2.90	3.02	2.90	2.93	275900	3385220.00
1997/09/30	2.99	2.99	2.93	2.96	287700	3534390.00
1997/10/06	2.96	3.03	2.94	2.97	264800	3272985.00
1997/10/07	2.96	2.99	2.93	2.99	166500	2049244.00
1997/10/08	3.13	3.14	3.04	3.07	301100	3844297.00
1997/10/09	3.07	3.08	3.03	3.04	213200	2694690.00
1997/10/10	3.05	3.12	3.05	3.11	204500	2607599.00
1997/10/13	3.12	3.13	3.01	3.03	169500	2155934.00
1997/10/14	3.01	3.09	3.01	3.09	197100	2477926.00
1997/10/15	3.13	3.19	3.06	3.13	293500	3785829.00
1997/10/16	3.15	3.28	3.15	3.23	614200	8137422.00
1997/10/17	3.26	3.39	3.23	3.34	695400	9358859.00
1997/10/20	3.42	3.42	3.27	3.35	588900	8040072.00
1997/10/21	3.35	3.35	3.27	3.31	448000	6031812.00
1997/10/22	3.31	3.42	3.23	3.26	922500	12435190.00
1997/10/23	3.26	3.37	3.22	3.27	628100	8435706.00
1997/10/24	3.27	3.34	3.22	3.33	679200	9100657.00
1997/10/27	3.37	3.65	3.31	3.63	2452300	35305468.00
1997/10/28	3.63	3.63	3.36	3.37	1296700	18354906.00
1997/10/29	3.36	3.43	3.24	3.40	585800	8006303.00
1997/10/30	3.37	3.60	3.35	3.43	1272200	17927374.00
1997/10/31	3.34	3.50	3.27	3.45	563800	7836766.00
1997/11/03	3.48	3.62	3.45	3.51	598900	8548112.00
1997/11/04	3.51	3.55	3.45	3.45	335400	4729607.00
1997/11/05	3.45	3.53	3.42	3.49	460600	6464334.00
1997/11/06	3.51	3.62	3.45	3.47	731900	10481184.00
1997/11/07	3.47	3.55	3.40	3.52	589100	8291081.00
1997/11/10	3.52	3.72	3.51	3.58	1492200	21769360.00
1997/11/11	3.51	3.59	3.41	3.51	549300	7757812.00
1997/11/12	3.51	3.52	3.37	3.39	415000	5791606.00
1997/11/13	3.39	3.45	3.31	3.40	573600	7829937.00
1997/11/14	3.44	3.47	3.35	3.40	431700	5986079.00
1997/11/17	3.40	3.47	3.33	3.34	203900	2810632.00
1997/11/18	3.34	3.39	3.29	3.31	256300	3483738.00
1997/11/19	3.31	3.33	3.23	3.26	356900	4783779.00
1997/11/20	3.26	3.29	3.18	3.21	443300	5870964.00
1997/11/21	3.16	3.27	3.16	3.20	364200	4792664.00
1997/11/24	3.16	3.19	3.01	3.07	293200	3744495.00
1997/11/25	3.07	3.15	3.04	3.07	291000	3681707.00
1997/11/26	3.09	3.16	3.06	3.13	375000	4821426.00
1997/11/27	3.13	3.13	3.00	3.01	274900	3486889.00
1997/11/28	3.01	3.09	3.00	3.09	269700	3395782.00
1997/12/01	3.08	3.11	3.04	3.07	215800	2748990.00
1997/12/02	3.10	3.13	3.06	3.09	148200	1890887.00
1997/12/03	3.07	3.08	3.02	3.04	133800	1688960.00
1997/12/04	3.05	3.15	3.00	3.13	223000	2840904.00
1997/12/05	3.15	3.18	3.09	3.09	256700	3324090.00
1997/12/08	3.16	3.28	3.16	3.23	493900	6520801.00
1997/12/09	3.26	3.31	3.16	3.18	251200	3312784.00
1997/12/10	3.24	3.28	3.18	3.21	320900	4248932.00
1997/12/11	3.19	3.22	3.15	3.16	265300	3464720.00
1997/12/12	3.22	3.26	3.16	3.21	565000	7434886.00
1997/12/15	3.21	3.39	3.21	3.35	925400	12579941.00
1997/12/16	3.35	3.41	3.29	3.32	643200	8778266.00
1997/12/17	3.30	3.30	3.17	3.18	546000	7204783.00
1997/12/18	3.16	3.21	3.11	3.16	358400	4647640.00
1997/12/19	3.18	3.21	3.13	3.20	413300	5396473.00
1997/12/22	3.22	3.37	3.12	3.34	748700	9961063.00
1997/12/23	3.34	3.35	3.23	3.28	434000	5822537.00
1997/12/24	3.37	3.47	3.31	3.40	1033700	14297955.00
1997/12/25	3.35	3.69	3.35	3.58	2864200	41123548.00
1997/12/26	3.62	3.67	3.53	3.54	1288500	18593108.00
1997/12/29	3.56	3.68	3.50	3.50	1086600	15760217.00
1997/12/30	3.51	3.58	3.46	3.47	568600	8068472.00
1997/12/31	3.49	3.61	3.48	3.57	809000	11595442.00
1998/01/05	3.71	3.99	3.69	3.99	1674400	26200328.00
