600090 *ST济堂 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/16	2.40	2.58	2.40	2.48	13562300	155091376.00
1997/06/17	2.43	2.45	2.33	2.33	4101200	44383792.00
1997/06/18	2.30	2.31	2.23	2.24	2656300	26546012.00
1997/06/19	2.23	2.23	2.14	2.16	1702400	16022354.00
1997/06/20	2.16	2.27	2.16	2.26	1682500	16404418.00
1997/06/23	2.28	2.30	2.19	2.21	1818500	17660312.00
1997/06/24	2.21	2.24	2.18	2.21	928600	8876375.00
1997/06/25	2.20	2.22	2.18	2.18	705300	6633526.00
1997/06/26	2.19	2.19	2.16	2.17	933500	8616289.00
1997/06/27	2.17	2.19	2.10	2.11	789200	7063954.00
1997/07/02	2.11	2.12	2.00	2.05	1575400	12825852.00
1997/07/03	2.03	2.08	1.95	2.00	789600	6278250.00
1997/07/04	1.98	2.03	1.98	2.00	608900	4865346.00
1997/07/07	1.99	2.05	1.98	1.99	1063300	8593976.00
1997/07/08	2.01	2.10	2.01	2.09	1704100	14361853.00
1997/07/09	2.11	2.14	2.06	2.12	1704800	14975760.00
1997/07/11	2.12	2.20	2.07	2.15	2255300	20531216.00
1997/07/14	2.16	2.18	2.11	2.14	1542600	13903973.00
1997/07/15	2.15	2.23	2.09	2.22	1927300	17571644.00
1997/07/16	2.21	2.22	2.16	2.19	1482400	13925375.00
1997/07/17	2.19	2.20	2.16	2.19	989500	9247082.00
1997/07/18	2.19	2.24	2.18	2.19	1300000	12428906.00
1997/07/21	2.24	2.24	2.16	2.17	827300	7853821.00
1997/07/22	2.16	2.22	2.11	2.19	1042700	9498954.00
1997/07/23	2.16	2.24	2.16	2.20	2480300	23622604.00
1997/07/24	2.22	2.31	2.21	2.26	4682800	46643136.00
1997/07/25	2.26	2.28	2.20	2.24	2293200	22670946.00
1997/07/28	2.27	2.30	2.22	2.24	1472900	14757001.00
1997/07/29	2.24	2.26	2.20	2.23	1278900	12390569.00
1997/07/30	2.25	2.28	2.22	2.25	1078900	10614490.00
1997/07/31	2.27	2.32	2.25	2.30	2686900	27296824.00
1997/08/01	2.30	2.31	2.26	2.28	1646900	16609440.00
1997/08/04	2.28	2.33	2.27	2.28	1240800	12691198.00
1997/08/05	2.29	2.29	2.22	2.23	1727000	16946612.00
1997/08/06	2.22	2.26	2.22	2.22	1000800	9723342.00
1997/08/07	2.23	2.25	2.21	2.25	821000	7953086.00
