600093 易见股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/26	2.13	2.22	1.96	2.08	16909600	247254560.00
1997/06/27	2.09	2.28	2.05	2.12	9035200	137969584.00
1997/07/02	2.18	2.24	1.84	2.00	3738500	55309512.00
1997/07/03	1.96	1.96	1.73	1.73	2668500	35299648.00
1997/07/04	1.66	1.80	1.65	1.67	1863900	23857332.00
1997/07/07	1.69	1.71	1.43	1.47	1473700	17688656.00
1997/07/08	1.48	1.61	1.39	1.58	1538800	18041512.00
1997/07/09	1.57	1.60	1.49	1.58	863400	10318141.00
1997/07/10	1.56	1.59	1.52	1.52	819400	9832185.00
1997/07/11	1.50	1.74	1.48	1.74	2115100	26616606.00
1997/07/14	1.79	1.91	1.76	1.87	3373000	45480812.00
1997/07/15	1.86	1.88	1.75	1.84	1678900	22450496.00
1997/07/16	1.84	1.98	1.77	1.91	1645000	22296356.00
1997/07/17	1.91	1.96	1.86	1.93	1483900	20551928.00
1997/07/18	1.95	1.95	1.86	1.87	978100	13407762.00
1997/07/21	1.88	1.91	1.79	1.80	892100	12142603.00
1997/07/22	1.78	1.84	1.73	1.82	955000	12539360.00
1997/07/23	1.84	1.88	1.75	1.75	681900	9086107.00
1997/07/24	1.74	1.82	1.74	1.75	636200	8358622.00
1997/07/25	1.75	1.88	1.71	1.84	1197800	16008099.00
1997/07/28	1.88	1.90	1.75	1.77	886100	11936297.00
1997/07/29	1.75	1.84	1.75	1.84	713600	9439480.00
1997/07/30	1.86	1.95	1.81	1.94	1577600	21746036.00
1997/07/31	1.96	1.96	1.88	1.89	866300	11994526.00
1997/08/01	1.90	1.91	1.87	1.90	492200	6771154.00
1997/08/04	1.91	1.97	1.88	1.90	679300	9487662.00
1997/08/05	1.92	1.92	1.85	1.85	540300	7375041.00
1997/08/06	1.85	1.88	1.75	1.78	602200	8032423.00
1997/08/07	1.78	1.84	1.75	1.84	624300	8232495.00
1997/08/08	1.85	1.86	1.75	1.77	763200	10083137.00
1997/08/11	1.77	1.77	1.63	1.65	875400	11024390.00
1997/08/12	1.63	1.69	1.56	1.60	425000	5318459.00
1997/08/13	1.58	1.67	1.56	1.57	337700	4125864.00
1997/08/14	1.56	1.65	1.56	1.65	322300	3951558.00
1997/08/15	1.62	1.63	1.52	1.54	366700	4414927.00
1997/08/18	1.54	1.54	1.44	1.46	340600	3943394.00
1997/08/19	1.50	1.54	1.46	1.48	159200	1862692.00
1997/08/20	1.48	1.55	1.48	1.52	146600	1730748.00
1997/08/21	1.62	1.62	1.52	1.57	306000	3649751.00
1997/08/22	1.47	1.54	1.43	1.45	1135800	13147595.00
1997/08/25	1.47	1.52	1.47	1.50	440100	5140761.00
1997/08/26	1.50	1.51	1.47	1.50	453400	5277063.00
1997/08/27	1.50	1.61	1.48	1.60	572600	6770725.00
1997/08/28	1.59	1.61	1.56	1.60	578600	7011395.00
1997/08/29	1.62	1.64	1.59	1.63	708600	8724309.00
1997/09/01	1.69	1.74	1.67	1.74	1657600	21359856.00
1997/09/02	1.75	1.78	1.69	1.73	633300	8174702.00
1997/09/03	1.73	1.74	1.69	1.74	468800	6020668.00
1997/09/04	1.75	1.75	1.70	1.73	396000	5095449.00
1997/09/05	1.73	1.73	1.69	1.71	368200	4706371.00
1997/09/08	1.71	1.71	1.66	1.67	403100	5100562.00
1997/09/09	1.67	1.67	1.62	1.63	322200	4007790.00
1997/09/10	1.62	1.65	1.62	1.65	261200	3238396.00
1997/09/11	1.65	1.68	1.61	1.61	299200	3722762.00
1997/09/12	1.62	1.65	1.56	1.57	291400	3581803.00
1997/09/15	1.57	1.58	1.52	1.55	215000	2563804.00
1997/09/16	1.55	1.57	1.52	1.55	139800	1668266.00
1997/09/17	1.56	1.56	1.52	1.53	136200	1618329.00
