600094 大名城 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/03	4.21	4.23	3.71	3.75	17828600	203900736.00
1997/07/04	3.73	3.82	3.56	3.59	6401600	67021816.00
1997/07/07	3.61	3.67	3.56	3.62	3729900	37982848.00
1997/07/08	3.62	3.69	3.53	3.64	2746700	28224688.00
1997/07/09	3.64	3.64	3.51	3.55	2101600	20934340.00
1997/07/10	3.56	3.60	3.52	3.52	1098200	10931704.00
1997/07/11	3.52	3.68	3.52	3.68	3131500	32128164.00
1997/07/14	3.73	3.77	3.66	3.71	3980000	42626556.00
1997/07/15	3.73	3.73	3.63	3.66	1694000	17781146.00
1997/07/16	3.67	3.85	3.64	3.79	4093600	44646300.00
1997/07/17	3.77	3.81	3.72	3.77	2224000	24401108.00
1997/07/18	3.77	3.80	3.71	3.77	1766700	19291892.00
1997/07/21	3.79	3.81	3.71	3.72	1702000	18555960.00
1997/07/22	3.71	3.72	3.63	3.68	1265500	13271101.00
1997/07/23	3.71	3.75	3.67	3.68	1258300	13396842.00
1997/07/24	3.67	3.69	3.61	3.61	739200	7699086.00
1997/07/25	3.61	3.68	3.61	3.65	933300	9675281.00
1997/07/28	3.64	3.65	3.58	3.59	579500	5940467.00
1997/07/29	3.59	3.67	3.58	3.62	558700	5711952.00
1997/07/30	3.64	3.68	3.62	3.68	819600	8590422.00
1997/07/31	3.69	3.69	3.65	3.66	529700	5555565.00
1997/08/01	3.67	3.71	3.64	3.69	619300	6497814.00
1997/08/04	3.73	3.76	3.71	3.73	1162000	12605103.00
1997/08/05	3.73	3.74	3.69	3.73	849600	9119247.00
1997/08/06	3.73	3.74	3.63	3.64	617500	6554230.00
1997/08/07	3.66	3.71	3.63	3.71	511300	5358876.00
1997/08/08	3.72	3.72	3.60	3.64	917600	9591995.00
1997/08/11	3.65	3.71	3.64	3.65	987700	10436030.00
1997/08/12	3.71	3.77	3.64	3.66	1847500	19774002.00
1997/08/13	3.68	3.70	3.59	3.61	749200	7831301.00
1997/08/14	3.72	3.74	3.65	3.69	690100	7281806.00
1997/08/15	3.71	3.81	3.67	3.75	3427300	37497344.00
1997/08/18	3.78	3.84	3.75	3.79	2475100	27557148.00
1997/08/19	3.80	3.81	3.73	3.73	887000	9716349.00
1997/08/20	3.75	3.83	3.75	3.82	1342300	14888180.00
1997/08/21	3.84	3.86	3.80	3.82	1829000	20691608.00
1997/08/22	3.82	3.84	3.77	3.84	1566100	17427212.00
1997/08/25	3.84	3.88	3.81	3.87	1683400	19043672.00
1997/08/26	3.85	3.95	3.83	3.90	1842300	21280616.00
1997/08/27	3.90	3.92	3.88	3.90	1364000	15798351.00
1997/08/28	3.91	3.92	3.84	3.87	1315500	15067649.00
1997/08/29	3.86	3.94	3.84	3.92	1601000	18627332.00
1997/09/01	3.94	3.96	3.90	3.92	994300	11670327.00
1997/09/02	3.92	3.94	3.86	3.88	930300	10737034.00
1997/09/03	3.88	3.92	3.87	3.90	1116600	12896792.00
1997/09/04	3.90	3.95	3.90	3.92	1240000	14518462.00
1997/09/05	3.92	3.97	3.91	3.94	1110500	13117244.00
1997/09/08	3.94	3.96	3.90	3.91	784800	9196037.00
1997/09/09	3.90	3.92	3.82	3.83	863500	9894498.00
1997/09/10	3.83	3.87	3.79	3.84	780800	8798630.00
1997/09/11	3.85	3.87	3.79	3.82	1027900	11536286.00
1997/09/12	3.82	3.84	3.73	3.74	601900	6653168.00
1997/09/15	3.74	3.74	3.67	3.69	612500	6533356.00
1997/09/16	3.67	3.72	3.67	3.71	375700	3996657.00
1997/09/17	3.69	3.71	3.67	3.69	307200	3248160.00
1997/09/18	3.71	3.75	3.70	3.73	321000	3468364.00
1997/09/19	3.73	3.75	3.71	3.74	238900	2583226.00
1997/09/22	3.74	3.74	3.55	3.55	554100	5710271.00
1997/09/23	3.56	3.62	3.46	3.49	713300	7080405.00
1997/09/24	3.56	3.60	3.53	3.59	607400	6093683.00
1997/09/25	3.58	3.69	3.58	3.62	782700	8122729.00
1997/09/26	3.64	3.64	3.58	3.60	467200	4774399.00
1997/09/29	3.60	3.60	3.52	3.52	324100	3227635.00
1997/09/30	3.52	3.59	3.50	3.56	339900	3382870.00
1997/10/06	3.52	3.58	3.52	3.57	170300	1703890.00
1997/10/07	3.56	3.58	3.54	3.58	182900	1831900.00
1997/10/08	3.64	3.67	3.60	3.65	350400	3642295.00
1997/10/09	3.62	3.66	3.62	3.65	296200	3077766.00
1997/10/10	3.64	3.67	3.63	3.67	274100	2863111.00
1997/10/13	3.68	3.69	3.64	3.65	308900	3239488.00
1997/10/14	3.63	3.65	3.63	3.65	190300	1968551.00
1997/10/15	3.64	3.67	3.62	3.67	254000	2641312.00
1997/10/16	3.71	3.75	3.67	3.72	705100	7586684.00
1997/10/17	3.72	3.75	3.69	3.73	517000	5572149.00
1997/10/20	3.71	3.75	3.71	3.74	619300	6707247.00
1997/10/21	3.75	3.76	3.70	3.72	464900	4996238.00
1997/10/22	3.72	3.74	3.68	3.71	1001700	10704076.00
1997/10/23	3.72	3.75	3.69	3.69	655900	7040208.00
1997/10/24	3.69	3.74	3.68	3.74	777000	8311633.00
1997/10/27	3.77	3.86	3.77	3.86	1269500	14321294.00
1997/10/28	3.87	3.88	3.75	3.75	1229300	13691521.00
1997/10/29	3.73	3.75	3.69	3.72	456900	4917583.00
1997/10/30	3.73	3.77	3.69	3.69	572400	6151085.00
1997/10/31	3.65	3.71	3.65	3.70	339400	3587575.00
1997/11/03	3.73	3.73	3.67	3.67	307600	3270959.00
1997/11/04	3.79	3.81	3.74	3.75	550400	6038104.00
1997/11/05	3.74	3.75	3.68	3.72	373100	3994945.00
1997/11/06	3.70	3.72	3.67	3.68	426100	4535155.00
1997/11/07	3.68	3.73	3.67	3.71	284800	3032229.00
1997/11/10	3.72	3.79	3.71	3.71	648900	7079374.00
1997/11/11	3.71	3.73	3.67	3.71	348500	3711408.00
1997/11/12	3.71	3.71	3.65	3.67	287300	3041283.00
1997/11/13	3.63	3.67	3.61	3.67	282100	2926647.00
1997/11/14	3.67	3.70	3.65	3.67	271300	2859582.00
1997/11/17	3.71	3.76	3.69	3.70	428900	4633589.00
