600095 湘财股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/08	3.19	3.52	3.06	3.51	34130300	344378560.00
1997/07/09	3.41	3.47	3.20	3.24	18317700	190324400.00
1997/07/10	3.25	3.51	3.25	3.39	14415500	153726016.00
1997/07/11	3.42	3.69	3.41	3.69	15292800	176488640.00
1997/07/14	3.83	4.02	3.74	4.02	18004900	223849152.00
1997/07/15	4.00	4.18	3.85	4.03	10633700	137315440.00
1997/07/16	4.00	4.03	3.81	3.89	7172200	90312344.00
1997/07/17	3.86	4.09	3.84	4.06	6868000	88405696.00
1997/07/18	4.03	4.08	3.92	3.99	3957100	50914300.00
1997/07/21	4.01	4.01	3.83	3.86	5171900	64822060.00
1997/07/22	3.83	3.97	3.72	3.91	4021900	49344912.00
1997/07/23	3.96	3.97	3.78	3.82	3058700	37730624.00
1997/07/24	3.77	3.83	3.72	3.75	2172900	26175586.00
1997/07/25	3.72	3.75	3.64	3.67	2023900	23844496.00
1997/07/28	3.64	3.64	3.48	3.50	1706000	19286916.00
1997/07/29	3.47	3.61	3.44	3.60	1394900	15662548.00
1997/07/30	3.60	3.69	3.60	3.67	1350300	15682708.00
1997/07/31	3.70	3.72	3.61	3.63	912300	10610864.00
1997/08/01	3.65	3.67	3.57	3.65	808300	9271805.00
1997/08/04	3.65	3.65	3.56	3.63	896600	10292456.00
1997/08/05	3.64	3.74	3.62	3.69	1194300	14054660.00
1997/08/06	3.69	3.70	3.55	3.57	720200	8339033.00
1997/08/07	3.53	3.61	3.50	3.60	971200	10954058.00
1997/08/08	3.61	3.64	3.53	3.55	1043300	11801839.00
1997/08/11	3.53	3.53	3.33	3.38	1461500	15712825.00
1997/08/12	3.33	3.44	3.29	3.29	960900	10151068.00
1997/08/13	3.29	3.38	3.22	3.23	635700	6588540.00
1997/08/14	3.23	3.36	3.23	3.34	847900	8749066.00
1997/08/15	3.38	3.39	3.19	3.22	803100	8201883.00
1997/08/18	3.22	3.22	3.03	3.11	966000	9371368.00
1997/08/19	3.09	3.19	3.07	3.10	467300	4583801.00
1997/08/20	3.11	3.19	3.11	3.19	421400	4164443.00
1997/08/21	3.22	3.30	3.19	3.28	797400	8117097.00
1997/08/22	3.27	3.32	3.22	3.30	748600	7684042.00
1997/08/26	3.59	3.59	3.59	3.59	210900	2410587.00
1997/08/27	3.91	3.91	3.91	3.91	1557600	19580064.00
1997/08/28	4.26	4.26	4.09	4.26	17786900	244577552.00
1997/08/29	4.26	4.34	4.12	4.22	8226700	113130448.00
1997/09/01	4.17	4.17	4.03	4.11	4393300	58240808.00
1997/09/02	4.04	4.25	4.03	4.22	3157600	42263272.00
1997/09/03	4.22	4.22	4.15	4.17	1926100	26090772.00
1997/09/04	4.17	4.18	4.11	4.15	1757400	23633868.00
1997/09/05	4.15	4.20	4.11	4.18	1655900	22212048.00
1997/09/08	4.16	4.16	4.06	4.08	1121800	14859349.00
1997/09/09	4.09	4.15	4.03	4.04	747800	9922031.00
1997/09/10	4.04	4.09	3.97	4.04	1299400	16785470.00
1997/09/11	4.06	4.17	4.04	4.08	1258500	16597718.00
1997/09/12	4.08	4.08	3.95	3.96	831800	10725640.00
1997/09/15	3.92	3.92	3.78	3.79	1148900	14106825.00
1997/09/16	3.78	3.86	3.77	3.80	649500	7918148.00
1997/09/17	3.80	3.83	3.72	3.74	698700	8410943.00
1997/09/18	3.75	3.86	3.74	3.80	515800	6297824.00
1997/09/19	3.83	3.86	3.79	3.82	379400	4658281.00
1997/09/22	3.82	3.83	3.58	3.60	781400	9175424.00
1997/09/23	3.55	3.56	3.29	3.33	1281500	14001927.00
1997/09/24	3.47	3.62	3.41	3.62	1567400	17573812.00
1997/09/25	3.74	3.91	3.71	3.78	2614400	31815484.00
1997/09/26	3.72	3.75	3.63	3.70	1206800	14256903.00
1997/09/29	3.58	3.67	3.57	3.57	893800	10256824.00
1997/09/30	3.55	3.65	3.47	3.64	590400	6801432.00
1997/10/06	3.66	3.68	3.58	3.63	284500	3286698.00
1997/10/07	3.55	3.64	3.55	3.62	252900	2884562.00
1997/10/08	3.71	3.82	3.67	3.75	806400	9663783.00
1997/10/09	3.76	3.77	3.67	3.67	378500	4478471.00
1997/10/10	3.67	3.72	3.63	3.70	307900	3633987.00
1997/10/13	3.71	3.74	3.62	3.64	343200	4010658.00
1997/10/14	3.64	3.65	3.58	3.64	326300	3750120.00
1997/10/15	3.64	3.74	3.61	3.69	238800	2793291.00
1997/10/16	3.72	3.87	3.70	3.82	1701500	20864668.00
1997/10/17	3.87	3.99	3.86	3.92	2255200	28541936.00
1997/10/20	3.94	4.00	3.86	3.92	1680200	21319228.00
1997/10/21	3.92	4.02	3.85	4.00	1462600	18503728.00
1997/10/22	4.00	4.02	3.86	3.89	1863900	23660138.00
1997/10/23	3.87	3.96	3.78	3.88	1233400	15347652.00
1997/10/24	3.88	4.00	3.86	3.97	1563800	19952650.00
1997/10/27	3.98	4.16	3.98	4.14	2812000	37278800.00
1997/10/28	4.14	4.17	3.83	3.90	1729800	22254046.00
1997/10/29	3.86	3.93	3.81	3.92	1287800	16020477.00
1997/10/30	3.93	4.14	3.93	3.96	2582000	33843212.00
1997/10/31	3.92	3.99	3.86	3.98	955000	12031446.00
1997/11/03	3.97	3.99	3.89	3.91	500200	6328261.00
1997/11/04	3.89	3.91	3.88	3.89	571500	7151333.00
1997/11/05	3.89	4.02	3.89	3.97	847100	10759963.00
1997/11/06	3.98	4.06	3.92	3.92	1111200	14346216.00
1997/11/07	3.95	4.06	3.91	4.02	1219400	15721333.00
1997/11/10	4.36	4.38	4.32	4.38	3828200	54618800.00
1997/11/11	4.72	4.75	4.47	4.50	18020700	271268000.00
1997/11/12	4.45	4.91	4.39	4.78	12567400	194957904.00
1997/11/13	4.75	4.84	4.59	4.78	6908100	106613584.00
1997/11/14	4.75	4.82	4.64	4.67	3978100	61739728.00
1997/11/17	4.73	4.73	4.53	4.56	2468100	37286536.00
1997/11/18	4.53	4.67	4.45	4.57	2267300	33725684.00
1997/11/19	4.58	4.64	4.48	4.53	1068200	15944276.00
1997/11/20	4.53	4.53	4.39	4.40	2130600	30904034.00
1997/11/21	4.36	4.42	4.31	4.35	1987000	28252546.00
1997/11/24	4.31	4.45	4.26	4.35	1471700	20930276.00
1997/11/25	4.34	4.50	4.31	4.49	1349600	19417692.00
1997/11/26	4.52	4.54	4.42	4.49	898500	13129899.00
1997/11/27	4.46	4.48	4.31	4.35	1104700	15818516.00
1997/11/28	4.32	4.47	4.29	4.46	971400	13852253.00
1997/12/01	4.46	4.55	4.41	4.53	900400	13160517.00
1997/12/02	4.52	4.71	4.48	4.58	2079300	31461184.00
1997/12/03	4.58	4.61	4.53	4.58	878400	13175104.00
1997/12/04	4.59	4.77	4.57	4.69	1909200	29362588.00
1997/12/05	4.73	4.76	4.56	4.57	1507200	23174936.00
1997/12/08	4.61	4.75	4.61	4.70	1230600	18962412.00
1997/12/09	4.70	4.78	4.69	4.75	1288100	20020178.00
1997/12/10	4.78	4.82	4.71	4.74	1303000	20417066.00
1997/12/11	4.73	4.77	4.63	4.70	1290300	19719114.00
1997/12/12	4.73	4.91	4.70	4.81	3103300	49288400.00
1997/12/15	4.90	5.24	4.87	5.17	4568500	77224832.00
1997/12/16	5.03	5.12	4.88	4.94	8114300	132740008.00
1997/12/17	4.87	5.05	4.73	4.87	5513600	87788912.00
1997/12/18	4.85	4.92	4.82	4.83	1852600	29716590.00
1997/12/19	4.83	4.92	4.73	4.87	2180500	34488136.00
1997/12/22	4.86	5.09	4.77	5.01	2982100	48762696.00
1997/12/23	5.03	5.09	4.92	4.95	1977500	32544380.00
1997/12/24	4.95	5.00	4.81	4.87	1509700	24465940.00
1997/12/25	4.81	4.89	4.81	4.87	1873900	29837908.00
1997/12/26	4.88	5.07	4.88	4.92	1801800	29655168.00
