600097 开创国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/19	10.36	10.81	9.33	9.51	19750800	300818304.00
1997/06/20	9.31	10.58	9.26	10.58	8962300	136590976.00
1997/06/23	11.58	11.76	11.21	11.76	12516700	214781584.00
1997/06/24	12.18	12.22	11.22	11.69	7152400	123720344.00
1997/06/25	11.69	12.29	11.46	12.01	3554300	62081620.00
1997/06/26	11.84	12.07	11.56	11.73	2199100	38110884.00
1997/06/27	11.65	12.44	11.58	11.99	3799300	66763048.00
1997/07/02	12.16	12.84	11.43	12.44	4628400	83261960.00
1997/07/03	12.44	12.48	11.43	11.46	2689000	46592820.00
1997/07/04	11.22	11.56	10.71	10.79	2583300	42257412.00
1997/07/07	10.71	10.81	9.59	9.77	1753700	26566180.00
1997/07/08	9.77	10.67	9.70	10.64	1432600	21832044.00
1997/07/09	10.67	10.80	10.26	10.63	1042900	16383199.00
1997/07/10	10.64	11.07	10.52	10.63	1150000	18537896.00
1997/07/11	10.56	11.26	10.52	11.24	1297100	21041020.00
1997/07/14	11.43	11.49	10.98	11.31	2001900	33180244.00
1997/07/15	11.24	11.28	10.79	11.00	1250900	20309150.00
1997/07/16	10.90	12.22	10.83	11.83	2909400	50096504.00
1997/07/17	11.73	12.18	11.50	11.73	1658600	28661578.00
1997/07/18	11.81	11.95	11.50	11.95	1230700	21043980.00
1997/07/21	11.99	12.07	11.35	11.43	948100	16336769.00
1997/07/22	11.35	11.58	10.81	11.46	1152000	19000240.00
1997/07/23	11.69	11.69	11.01	11.12	862200	14318083.00
1997/07/24	10.98	11.19	10.81	10.89	991200	16013393.00
1997/07/25	10.75	11.05	10.49	10.92	1094000	17383632.00
1997/07/28	10.73	11.03	10.67	10.86	562800	9024262.00
1997/07/29	10.80	11.11	10.75	10.95	492000	7946010.00
1997/07/30	11.05	11.37	10.88	11.37	839700	13864668.00
1997/07/31	11.46	11.49	11.17	11.43	727200	12162771.00
1997/08/01	11.49	11.82	11.45	11.47	1385100	23643408.00
1997/08/04	11.47	11.47	11.09	11.16	600400	9931652.00
1997/08/05	11.16	11.24	10.98	11.05	531400	8661244.00
