600098 广州发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/18	2.16	2.40	2.16	2.28	59467900	961043200.00
1997/07/21	2.27	2.38	2.08	2.09	16142800	259761168.00
1997/07/22	2.09	2.17	1.95	2.10	9635100	147578432.00
1997/07/23	2.11	2.15	1.95	1.98	6122200	92998224.00
1997/07/24	1.98	2.10	1.96	1.99	3537100	53731832.00
1997/07/25	1.98	2.11	1.97	2.04	3459500	52708620.00
1997/07/28	2.05	2.06	1.78	1.80	4090900	60084964.00
1997/07/29	1.78	1.84	1.69	1.76	4367600	61098204.00
1997/07/30	1.80	1.88	1.76	1.83	2325400	33282048.00
1997/07/31	1.86	1.87	1.80	1.81	1829800	26094556.00
1997/08/01	1.82	1.82	1.76	1.80	1574800	22301806.00
1997/08/04	1.85	1.89	1.79	1.82	1784300	25581132.00
1997/08/05	1.83	1.85	1.79	1.80	1479300	21051556.00
1997/08/06	1.82	1.95	1.81	1.82	2891400	42244576.00
1997/08/07	1.82	1.87	1.78	1.86	1626200	23190524.00
1997/08/08	1.88	1.89	1.78	1.80	1698900	24189538.00
1997/08/11	1.79	1.79	1.66	1.66	2395100	32749812.00
1997/08/12	1.65	1.65	1.52	1.53	1917500	25274256.00
1997/08/13	1.51	1.54	1.35	1.35	1900700	23855328.00
1997/08/14	1.37	1.53	1.37	1.52	1455200	18268746.00
1997/08/15	1.42	1.58	1.37	1.44	924900	11806261.00
1997/08/18	1.42	1.48	1.37	1.47	928700	11563791.00
1997/08/19	1.49	1.51	1.44	1.45	540400	6857098.00
1997/08/20	1.45	1.49	1.45	1.49	561300	7141006.00
1997/08/21	1.50	1.58	1.48	1.57	1043400	13522528.00
1997/08/22	1.54	1.58	1.51	1.54	834800	10913498.00
1997/08/25	1.55	1.55	1.51	1.53	950400	12337796.00
1997/08/26	1.54	1.55	1.50	1.51	1379300	17816204.00
1997/08/27	1.51	1.61	1.51	1.55	1000800	13108324.00
1997/08/28	1.56	1.57	1.50	1.52	921600	11914204.00
1997/08/29	1.53	1.59	1.49	1.57	1121900	14501473.00
1997/09/01	1.58	1.65	1.57	1.60	1262400	16863148.00
1997/09/02	1.62	1.63	1.53	1.56	805500	10609096.00
1997/09/03	1.57	1.63	1.56	1.60	963100	12749022.00
1997/09/04	1.60	1.67	1.58	1.67	1725300	23137964.00
1997/09/05	1.67	1.67	1.63	1.64	839700	11346900.00
