600099 林海股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/07/04	4.23	4.75	4.22	4.45	27683100	349019424.00
1997/07/07	4.54	4.74	4.40	4.48	13103700	168069184.00
1997/07/08	4.54	4.90	4.50	4.78	9434000	125727912.00
1997/07/09	4.78	4.82	4.56	4.68	5660600	74635696.00
1997/07/10	4.71	4.78	4.59	4.60	4275400	56027224.00
1997/07/11	4.58	4.99	4.54	4.98	7153700	98232424.00
1997/07/14	5.09	5.22	4.96	5.07	7821000	111810056.00
1997/07/15	5.06	5.12	4.87	5.01	4168500	58511564.00
1997/07/16	5.01	5.29	4.93	5.19	4665000	67735720.00
1997/07/17	5.17	5.25	5.11	5.24	3500600	51292312.00
1997/07/18	5.24	5.25	5.06	5.12	2410800	35069336.00
1997/07/21	5.09	5.09	4.86	4.90	3040000	42764576.00
1997/07/22	4.87	4.99	4.66	4.90	2705800	36728424.00
1997/07/23	4.95	5.01	4.73	4.76	2160500	29444712.00
1997/07/24	4.75	4.88	4.73	4.76	1328600	17927196.00
1997/07/25	4.73	4.85	4.70	4.79	1351200	18192476.00
1997/07/28	4.79	4.83	4.56	4.61	869000	11516261.00
1997/07/29	4.59	4.69	4.53	4.63	1046800	13538075.00
1997/07/30	4.66	4.78	4.63	4.76	802700	10661139.00
1997/07/31	4.78	4.82	4.67	4.75	832800	11073054.00
1997/08/01	4.74	4.80	4.69	4.78	562300	7495146.00
1997/08/04	4.72	4.88	4.72	4.81	843000	11413152.00
1997/08/05	4.83	4.85	4.73	4.76	497500	6714080.00
1997/08/06	4.73	4.74	4.65	4.69	824000	10848708.00
1997/08/07	4.64	4.74	4.59	4.73	804100	10469176.00
1997/08/08	4.76	4.78	4.63	4.63	885000	11595391.00
1997/08/11	4.64	4.66	4.38	4.39	1443200	18004388.00
1997/08/12	4.39	4.46	4.31	4.33	595500	7313807.00
1997/08/13	4.30	4.42	4.13	4.14	671800	7969789.00
1997/08/14	4.16	4.39	4.16	4.39	591100	7015668.00
1997/08/15	4.29	4.39	4.20	4.24	529000	6294158.00
1997/08/18	4.23	4.36	4.18	4.34	507100	5996261.00
1997/08/19	4.35	4.35	4.30	4.30	252500	3052753.00
1997/08/20	4.48	4.48	4.32	4.36	187700	2283639.00
1997/08/21	4.38	4.38	4.33	4.36	430900	5251676.00
1997/08/22	4.36	4.38	4.26	4.33	566700	6836644.00
1997/08/25	4.33	4.40	4.28	4.36	651200	7876978.00
1997/08/26	4.36	4.42	4.35	4.39	535100	6570362.00
1997/08/27	4.40	4.45	4.37	4.39	588100	7261217.00
1997/08/28	4.43	4.45	4.35	4.43	610300	7484151.00
1997/08/29	4.42	4.43	4.35	4.37	517600	6347221.00
1997/09/01	4.40	4.60	4.40	4.49	608600	7658379.00
1997/09/02	4.50	4.52	4.41	4.49	419900	5254248.00
1997/09/03	4.48	4.54	4.44	4.52	454100	5728818.00
1997/09/04	4.59	4.61	4.53	4.56	631500	8124485.00
1997/09/05	4.56	4.59	4.48	4.51	302400	3832182.00
1997/09/08	4.54	4.56	4.43	4.47	326200	4083017.00
1997/09/09	4.49	4.49	4.39	4.39	337000	4178421.00
1997/09/10	4.40	4.45	4.36	4.44	425800	5225230.00
1997/09/11	4.43	4.45	4.36	4.37	401400	4936959.00
1997/09/12	4.36	4.43	4.28	4.28	318200	3868659.00
1997/09/15	4.28	4.31	4.20	4.23	271600	3218962.00
1997/09/16	4.23	4.28	4.20	4.22	200600	2366910.00
1997/09/17	4.26	4.35	4.22	4.30	682100	8135916.00
1997/09/18	4.30	4.37	4.28	4.33	321000	3887677.00
1997/09/19	4.32	4.37	4.31	4.33	187200	2267148.00
1997/09/22	4.33	4.33	4.05	4.05	386300	4470214.00
1997/09/23	3.98	4.06	3.76	3.80	424400	4647027.00
1997/09/24	3.90	3.99	3.86	3.98	428300	4656887.00
1997/09/25	3.99	4.03	3.92	3.97	416000	4593986.00
1997/09/26	3.97	4.00	3.87	3.93	209400	2273182.00
1997/09/29	3.91	3.91	3.78	3.79	209900	2220843.00
1997/09/30	3.78	3.90	3.78	3.86	188300	2015050.00
1997/10/06	3.89	3.93	3.83	3.89	139900	1502451.00
1997/10/07	3.89	3.89	3.82	3.86	137100	1456892.00
1997/10/08	3.93	4.05	3.92	3.99	250200	2768235.00
1997/10/09	3.99	3.99	3.90	3.90	166600	1825969.00
1997/10/10	3.92	3.99	3.92	3.96	142600	1563370.00
1997/10/13	3.97	4.03	3.91	3.93	160900	1766735.00
1997/10/14	3.87	3.93	3.86	3.90	131400	1413650.00
1997/10/15	3.96	4.00	3.90	3.97	201900	2209252.00
1997/10/16	4.01	4.10	3.99	4.09	387200	4370272.00
1997/10/17	4.12	4.21	4.07	4.17	506700	5828339.00
1997/10/20	4.20	4.20	4.07	4.14	453300	5228006.00
1997/10/21	4.15	4.16	4.07	4.11	412300	4699265.00
1997/10/22	4.15	4.16	4.02	4.04	579000	6565968.00
1997/10/23	4.03	4.13	4.02	4.06	505500	5724641.00
1997/10/24	4.06	4.09	3.96	4.06	559300	6246420.00
1997/10/27	4.11	4.32	4.09	4.32	1336700	15831189.00
1997/10/28	4.30	4.33	4.10	4.10	711900	8334980.00
1997/10/29	4.10	4.14	4.05	4.09	344900	3922918.00
1997/10/30	4.11	4.23	4.08	4.08	598100	6913656.00
1997/10/31	4.01	4.10	3.96	4.10	290000	3248837.00
1997/11/03	4.08	4.10	4.01	4.03	215700	2422238.00
1997/11/04	4.03	4.09	4.03	4.06	243900	2754047.00
1997/11/05	4.05	4.19	3.98	4.16	622800	7067491.00
1997/11/06	4.19	4.23	4.06	4.06	419700	4881698.00
1997/11/07	4.10	4.28	4.06	4.26	788200	9282565.00
1997/11/10	4.36	4.61	4.36	4.46	3453600	43625064.00
1997/11/11	4.46	4.46	4.30	4.44	1007700	12366398.00
1997/11/12	4.43	4.43	4.30	4.31	525800	6401040.00
1997/11/13	4.26	4.38	4.22	4.38	557800	6637904.00
1997/11/14	4.36	4.46	4.31	4.35	664300	8164033.00
1997/11/17	4.46	4.46	4.32	4.32	312800	3835654.00
1997/11/18	4.30	4.36	4.25	4.26	298400	3581805.00
1997/11/19	4.25	4.36	4.23	4.26	269300	3227397.00
1997/11/20	4.26	4.30	4.21	4.22	282900	3355760.00
1997/11/21	4.18	4.23	4.12	4.13	435500	5038454.00
1997/11/24	4.08	4.08	4.03	4.03	370900	4174923.00
1997/11/25	4.01	4.08	4.00	4.05	270700	3025270.00
1997/11/26	4.04	4.10	4.01	4.10	208900	2352429.00
1997/11/27	4.09	4.10	4.00	4.00	199900	2247239.00
1997/11/28	4.00	4.20	4.00	4.15	170200	1924960.00
1997/12/01	4.11	4.16	4.05	4.11	169200	1930913.00
1997/12/02	4.10	4.18	4.10	4.13	142700	1644562.00
1997/12/03	4.11	4.13	4.06	4.09	121800	1386682.00
1997/12/04	4.06	4.19	4.06	4.18	244200	2831489.00
1997/12/05	4.20	4.23	4.11	4.13	215000	2513368.00
1997/12/08	4.13	4.24	4.13	4.23	252800	2960053.00
1997/12/09	4.21	4.28	4.20	4.26	282300	3354835.00
1997/12/10	4.27	4.31	4.23	4.26	340100	4063770.00
1997/12/11	4.26	4.28	4.18	4.22	284200	3328428.00
1997/12/12	4.23	4.35	4.21	4.28	640500	7673665.00
1997/12/15	4.29	4.45	4.29	4.43	910000	11191413.00
1997/12/16	4.45	4.45	4.35	4.42	514600	6324557.00
1997/12/17	4.40	4.40	4.23	4.24	621900	7449244.00
