600100 同方股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
1997/06/27	1.46	1.93	1.38	1.75	31141000	898341952.00
1997/07/02	1.71	1.86	1.65	1.83	11913000	410083872.00
1997/07/03	1.82	1.82	1.68	1.69	6759700	225770320.00
1997/07/04	1.66	1.71	1.59	1.59	4785600	150679808.00
1997/07/07	1.58	1.59	1.46	1.46	4847200	138569744.00
1997/07/08	1.44	1.57	1.41	1.55	4436700	124289344.00
1997/07/09	1.54	1.56	1.50	1.52	2541100	73583544.00
1997/07/10	1.53	1.59	1.51	1.51	2172300	63707112.00
1997/07/11	1.52	1.58	1.50	1.57	2595500	76182088.00
1997/07/14	1.59	1.60	1.54	1.57	2321100	68926080.00
1997/07/15	1.57	1.57	1.52	1.53	1981100	57328704.00
1997/07/16	1.53	1.56	1.51	1.55	1898300	55383824.00
1997/07/17	1.56	1.62	1.55	1.56	2650100	80018376.00
1997/07/18	1.57	1.59	1.54	1.55	1250300	36817384.00
1997/07/21	1.57	1.57	1.50	1.51	1681600	48344764.00
1997/07/22	1.49	1.53	1.48	1.52	1389500	39304120.00
1997/07/23	1.53	1.53	1.49	1.50	1083100	30690826.00
1997/07/24	1.50	1.51	1.48	1.49	707200	19781910.00
1997/07/25	1.48	1.48	1.45	1.46	1149900	31421582.00
1997/07/28	1.45	1.45	1.38	1.39	1169000	30776708.00
1997/07/29	1.38	1.42	1.36	1.40	663400	17170220.00
1997/07/30	1.39	1.41	1.39	1.41	681000	17763796.00
1997/07/31	1.41	1.45	1.41	1.42	593400	15880583.00
1997/08/01	1.42	1.43	1.40	1.41	450900	11809323.00
1997/08/04	1.42	1.42	1.39	1.40	543500	14139767.00
1997/08/05	1.39	1.43	1.38	1.40	437000	11467224.00
1997/08/06	1.40	1.42	1.38	1.39	464300	12084291.00
1997/08/07	1.39	1.41	1.38	1.40	471300	12171703.00
1997/08/08	1.40	1.42	1.39	1.40	647300	16926640.00
1997/08/11	1.39	1.40	1.28	1.28	1932900	45989528.00
1997/08/12	1.24	1.26	1.18	1.18	1443700	31912088.00
1997/08/13	1.16	1.21	1.15	1.17	828200	17606658.00
1997/08/14	1.18	1.26	1.17	1.26	905500	19649292.00
1997/08/15	1.27	1.29	1.21	1.23	1203200	27554648.00
1997/08/18	1.22	1.24	1.19	1.22	487400	10609493.00
1997/08/19	1.22	1.25	1.22	1.23	382200	8530218.00
1997/08/20	1.23	1.25	1.22	1.24	395300	8831955.00
1997/08/21	1.24	1.31	1.24	1.29	1034700	24119970.00
1997/08/22	1.29	1.34	1.28	1.30	1025300	24762160.00
1997/08/25	1.31	1.31	1.27	1.27	684500	16087461.00
1997/08/26	1.27	1.31	1.27	1.30	471100	11168563.00
1997/08/27	1.32	1.36	1.32	1.36	1739300	43218364.00
1997/08/28	1.35	1.35	1.32	1.32	691700	16911258.00
1997/08/29	1.22	1.27	1.22	1.22	2496000	55276000.00
1997/09/01	1.20	1.24	1.18	1.23	1125100	24377428.00
1997/09/02	1.22	1.26	1.22	1.26	744800	16859044.00
1997/09/03	1.26	1.30	1.26	1.28	772100	18076396.00
1997/09/04	1.29	1.30	1.27	1.27	407900	9481353.00
1997/09/05	1.28	1.28	1.26	1.27	334300	7699680.00
1997/09/08	1.26	1.26	1.23	1.25	451200	10164849.00
1997/09/09	1.25	1.27	1.24	1.25	321800	7293431.00
1997/09/10	1.26	1.27	1.25	1.25	330200	7525198.00
1997/09/11	1.25	1.29	1.24	1.26	525700	12068516.00
1997/09/12	1.25	1.28	1.24	1.26	363400	8321107.00
1997/09/15	1.26	1.27	1.23	1.24	223400	5045981.00
1997/09/16	1.24	1.25	1.22	1.24	211900	4721209.00
1997/09/17	1.24	1.24	1.21	1.23	284600	6306904.00
1997/09/18	1.22	1.24	1.22	1.23	159600	3541848.00
1997/09/19	1.24	1.24	1.23	1.24	118900	2652009.00
1997/09/22	1.23	1.23	1.18	1.18	349100	7524727.00
1997/09/23	1.17	1.18	1.10	1.12	454500	9233285.00
1997/09/24	1.14	1.20	1.14	1.20	888800	18547536.00
1997/09/25	1.20	1.24	1.19	1.21	507900	11103088.00
1997/09/26	1.21	1.22	1.19	1.22	256000	5538279.00
1997/09/29	1.20	1.21	1.18	1.18	181600	3858086.00
1997/09/30	1.19	1.21	1.19	1.20	159700	3436269.00
1997/10/06	1.19	1.21	1.18	1.20	110000	2366000.00
1997/10/07	1.19	1.21	1.17	1.21	232800	4930759.00
1997/10/08	1.22	1.24	1.21	1.22	461800	10181612.00
1997/10/09	1.22	1.23	1.21	1.21	174400	3835395.00
1997/10/10	1.22	1.26	1.22	1.24	672200	15225957.00
1997/10/13	1.26	1.27	1.24	1.25	519500	11856516.00
1997/10/14	1.24	1.25	1.23	1.25	234500	5261916.00
1997/10/15	1.26	1.29	1.25	1.27	742700	17237636.00
